  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0141   0.03588   0.01193  -0.0110   1.0000   1.0000
   0.500   0.0450   0.03634   0.01207  -0.0085   1.0000   1.0000
   1.000   0.0758   0.03699   0.01242  -0.0063   1.0000   1.0000
   1.500   0.1063   0.03783   0.01313  -0.0043   1.0000   1.0000
   2.000   0.1362   0.03888   0.01414  -0.0027   1.0000   1.0000
   2.500   0.1652   0.04018   0.01547  -0.0013   1.0000   1.0000
   3.000   0.1931   0.04175   0.01712  -0.0003   1.0000   1.0000
   3.500   0.2198   0.04362   0.01915   0.0003   1.0000   1.0000
   4.000   0.2449   0.04583   0.02165   0.0005   1.0000   1.0000
   4.500   0.2686   0.04841   0.02449   0.0002   1.0000   1.0000
   5.000   0.2906   0.05139   0.02778  -0.0005   1.0000   1.0000
   5.500   0.3110   0.05483   0.03156  -0.0017   1.0000   1.0000
   6.000   0.3296   0.05877   0.03602  -0.0035   1.0000   1.0000
   6.500   0.3464   0.06322   0.04086  -0.0057   1.0000   1.0000
   7.000   0.3617   0.06822   0.04624  -0.0083   1.0000   1.0000
   7.500   0.3757   0.07373   0.05213  -0.0114   1.0000   1.0000
   8.000   0.3893   0.07970   0.05845  -0.0147   1.0000   1.0000
   8.500   0.4028   0.08602   0.06511  -0.0181   1.0000   1.0000
   9.000   0.4167   0.09261   0.07201  -0.0215   1.0000   1.0000
   9.500   0.4310   0.09942   0.07912  -0.0250   1.0000   1.0000
  10.000   0.4457   0.10642   0.08640  -0.0285   1.0000   1.0000
  10.500   0.4608   0.11356   0.09407  -0.0320   1.0000   1.0000
  11.000   0.4763   0.12083   0.10158  -0.0355   1.0000   1.0000
  11.500   0.4925   0.12814   0.10911  -0.0390   1.0000   1.0000
  12.000   0.5091   0.13553   0.11670  -0.0425   1.0000   1.0000
  12.500   0.5263   0.14290   0.12425  -0.0460   1.0000   1.0000
  13.000   0.5439   0.15027   0.13179  -0.0496   1.0000   1.0000
  13.500   0.5620   0.15765   0.13933  -0.0532   1.0000   1.0000
  14.000   0.5804   0.16503   0.14686  -0.0568   1.0000   1.0000
  14.500   0.5991   0.17238   0.15435  -0.0604   1.0000   1.0000
  15.000   0.6281   0.18206   0.16423  -0.0669   0.9872   1.0000
  15.500   0.6754   0.19605   0.17854  -0.0775   0.9329   1.0000
  16.000   0.7087   0.20621   0.18891  -0.0840   0.8920   1.0000
  16.500   0.7376   0.21491   0.19818  -0.0891   0.8532   1.0000
  17.000   0.7692   0.22558   0.20904  -0.0942   0.8089   1.0000
  17.500   0.7940   0.23220   0.21581  -0.0976   0.7629   1.0000
  18.000   0.8196   0.24116   0.22490  -0.1012   0.7266   1.0000
  18.500   0.8415   0.24835   0.23221  -0.1044   0.6958   1.0000
  19.000   0.8647   0.25686   0.24083  -0.1078   0.6663   1.0000
  19.500   0.8870   0.26536   0.24944  -0.1111   0.6382   1.0000
  20.000   0.9073   0.27258   0.25673  -0.1141   0.6119   1.0000
  20.500   0.9266   0.27929   0.26350  -0.1172   0.5863   1.0000
  21.000   0.9494   0.28912   0.27342  -0.1203   0.5569   1.0000
  21.500   0.9675   0.29512   0.27969  -0.1231   0.5282   1.0000
  22.000   0.9861   0.30189   0.28651  -0.1261   0.5013   1.0000
  22.500   1.0037   0.30798   0.29266  -0.1292   0.4788   1.0000
  23.000   1.0210   0.31465   0.29936  -0.1326   0.4606   1.0000
  23.500   1.0368   0.31956   0.30431  -0.1360   0.4418   1.0000
  24.000   1.0565   0.32938   0.31421  -0.1395   0.4237   1.0000
  24.500   1.0722   0.33524   0.32008  -0.1431   0.4084   1.0000
  25.000   1.0866   0.33944   0.32433  -0.1468   0.3936   1.0000
  25.500   1.1015   0.34446   0.32939  -0.1506   0.3790   1.0000
  26.000   1.1165   0.34998   0.33511  -0.1545   0.3651   1.0000
  26.500   1.1312   0.35549   0.34071  -0.1584   0.3515   1.0000
  27.000   1.1457   0.36084   0.34611  -0.1624   0.3377   1.0000
  27.500   1.1599   0.36611   0.35144  -0.1664   0.3239   1.0000
  28.000   1.1737   0.37149   0.35691  -0.1705   0.3112   1.0000
  28.500   1.1875   0.37727   0.36275  -0.1747   0.2991   1.0000
  29.000   1.2015   0.38418   0.36975  -0.1787   0.2875   1.0000
  29.500   1.2166   0.39394   0.37972  -0.1827   0.2759   1.0000
  30.000   1.2251   0.39124   0.37709  -0.1877   0.2677   1.0000
