  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0490   0.03805   0.01558  -0.0360   1.0000   1.0000
   0.500   0.0896   0.03881   0.01559  -0.0354   1.0000   1.0000
   1.000   0.1293   0.03976   0.01593  -0.0348   1.0000   1.0000
   1.500   0.1676   0.04091   0.01666  -0.0343   1.0000   1.0000
   2.000   0.2047   0.04228   0.01771  -0.0339   1.0000   1.0000
   2.500   0.2402   0.04390   0.01915  -0.0336   1.0000   1.0000
   3.000   0.2741   0.04579   0.02096  -0.0335   1.0000   1.0000
   3.500   0.3061   0.04798   0.02315  -0.0336   1.0000   1.0000
   4.000   0.3363   0.05049   0.02577  -0.0340   1.0000   1.0000
   4.500   0.3644   0.05338   0.02884  -0.0346   1.0000   1.0000
   5.000   0.3907   0.05666   0.03234  -0.0356   1.0000   1.0000
   5.500   0.4150   0.06036   0.03632  -0.0369   1.0000   1.0000
   6.000   0.4374   0.06451   0.04083  -0.0386   1.0000   1.0000
   6.500   0.4580   0.06910   0.04577  -0.0406   1.0000   1.0000
   7.000   0.4771   0.07417   0.05121  -0.0429   1.0000   1.0000
   7.500   0.4949   0.07968   0.05718  -0.0456   1.0000   1.0000
   8.000   0.5116   0.08564   0.06353  -0.0485   1.0000   1.0000
   8.500   0.5275   0.09200   0.07030  -0.0517   1.0000   1.0000
   9.000   0.5427   0.09873   0.07743  -0.0550   1.0000   1.0000
   9.500   0.5576   0.10579   0.08488  -0.0585   1.0000   1.0000
  10.000   0.5723   0.11311   0.09266  -0.0621   1.0000   1.0000
  10.500   0.5870   0.12065   0.10057  -0.0658   1.0000   1.0000
  11.000   0.6021   0.12834   0.10861  -0.0696   1.0000   1.0000
  11.500   0.6176   0.13615   0.11674  -0.0734   1.0000   1.0000
  12.000   0.6336   0.14402   0.12491  -0.0773   1.0000   1.0000
  12.500   0.6501   0.15194   0.13319  -0.0813   1.0000   1.0000
  13.000   0.6673   0.15988   0.14139  -0.0853   1.0000   1.0000
  13.500   0.6849   0.16781   0.14957  -0.0893   1.0000   1.0000
  14.000   0.7029   0.17573   0.15772  -0.0933   1.0000   1.0000
  14.500   0.7213   0.18366   0.16586  -0.0973   1.0000   1.0000
  15.000   0.7455   0.19335   0.17587  -0.1029   0.9945   1.0000
  15.500   0.7873   0.20526   0.18815  -0.1129   0.9483   1.0000
  16.000   0.8208   0.21641   0.19958  -0.1201   0.9120   1.0000
  16.500   0.8530   0.22671   0.21021  -0.1262   0.8699   1.0000
  17.000   0.8764   0.23253   0.21624  -0.1304   0.8356   1.0000
  17.500   0.9029   0.24142   0.22534  -0.1350   0.8027   1.0000
  18.000   0.9288   0.25021   0.23433  -0.1392   0.7678   1.0000
  18.500   0.9516   0.25702   0.24131  -0.1428   0.7344   1.0000
  19.000   0.9741   0.26484   0.24936  -0.1465   0.7065   1.0000
  19.500   0.9967   0.27263   0.25731  -0.1501   0.6761   1.0000
  20.000   1.0190   0.28065   0.26549  -0.1535   0.6453   1.0000
  20.500   1.0393   0.28774   0.27271  -0.1569   0.6193   1.0000
  21.000   1.0612   0.29693   0.28203  -0.1605   0.5946   1.0000
  21.500   1.0838   0.30710   0.29241  -0.1640   0.5675   1.0000
  22.000   1.0992   0.31009   0.29550  -0.1671   0.5431   1.0000
  22.500   1.1190   0.31881   0.30432  -0.1707   0.5220   1.0000
  23.000   1.1355   0.32367   0.30928  -0.1741   0.5004   1.0000
  23.500   1.1559   0.33390   0.31961  -0.1776   0.4793   1.0000
  24.000   1.1702   0.33677   0.32256  -0.1812   0.4596   1.0000
  24.500   1.1879   0.34428   0.33025  -0.1848   0.4404   1.0000
  25.000   1.2067   0.35429   0.34039  -0.1884   0.4229   1.0000
  25.500   1.2224   0.36036   0.34651  -0.1923   0.4067   1.0000
  26.000   1.2364   0.36452   0.35075  -0.1962   0.3911   1.0000
  26.500   1.2512   0.36990   0.35621  -0.2002   0.3761   1.0000
  27.000   1.2663   0.37633   0.36273  -0.2042   0.3620   1.0000
  27.500   1.2813   0.38344   0.37001  -0.2082   0.3483   1.0000
  28.000   1.2963   0.39108   0.37776  -0.2122   0.3346   1.0000
  28.500   1.3095   0.39592   0.38272  -0.2163   0.3214   1.0000
  29.000   1.3203   0.39643   0.38330  -0.2211   0.3104   1.0000
  29.500   1.3328   0.40084   0.38779  -0.2257   0.3002   1.0000
  30.000   1.3465   0.40921   0.39627  -0.2298   0.2899   1.0000
