  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0399   0.03700   0.01416  -0.0256   1.0000   1.0000
   0.500   0.0756   0.03781   0.01433  -0.0245   1.0000   1.0000
   1.000   0.1104   0.03883   0.01479  -0.0236   1.0000   1.0000
   1.500   0.1443   0.04007   0.01566  -0.0229   1.0000   1.0000
   2.000   0.1769   0.04156   0.01690  -0.0225   1.0000   1.0000
   2.500   0.2083   0.04332   0.01847  -0.0223   1.0000   1.0000
   3.000   0.2380   0.04538   0.02044  -0.0223   1.0000   1.0000
   3.500   0.2664   0.04773   0.02280  -0.0226   1.0000   1.0000
   4.000   0.2932   0.05042   0.02558  -0.0233   1.0000   1.0000
   4.500   0.3188   0.05346   0.02874  -0.0242   1.0000   1.0000
   5.000   0.3429   0.05686   0.03231  -0.0255   1.0000   1.0000
   5.500   0.3657   0.06062   0.03629  -0.0270   1.0000   1.0000
   6.000   0.3875   0.06475   0.04077  -0.0289   1.0000   1.0000
   6.500   0.4081   0.06925   0.04556  -0.0309   1.0000   1.0000
   7.000   0.4278   0.07411   0.05074  -0.0332   1.0000   1.0000
   7.500   0.4468   0.07934   0.05631  -0.0357   1.0000   1.0000
   8.000   0.4650   0.08490   0.06235  -0.0384   1.0000   1.0000
   8.500   0.4827   0.09080   0.06863  -0.0412   1.0000   1.0000
   9.000   0.4999   0.09699   0.07521  -0.0442   1.0000   1.0000
   9.500   0.5167   0.10347   0.08208  -0.0472   1.0000   1.0000
  10.000   0.5333   0.11020   0.08934  -0.0504   1.0000   1.0000
  10.500   0.5498   0.11713   0.09667  -0.0537   1.0000   1.0000
  11.000   0.5661   0.12425   0.10418  -0.0571   1.0000   1.0000
  11.500   0.5826   0.13153   0.11185  -0.0605   1.0000   1.0000
  12.000   0.5992   0.13894   0.11964  -0.0641   1.0000   1.0000
  12.500   0.6159   0.14647   0.12754  -0.0678   1.0000   1.0000
  13.000   0.6330   0.15412   0.13553  -0.0716   1.0000   1.0000
  13.500   0.6504   0.16185   0.14375  -0.0754   1.0000   1.0000
  14.000   0.6680   0.16964   0.15185  -0.0793   1.0000   1.0000
  14.500   0.6858   0.17751   0.16000  -0.0833   1.0000   1.0000
  15.000   0.7041   0.18545   0.16822  -0.0873   1.0000   1.0000
  15.500   0.7508   0.20111   0.18437  -0.0989   0.9561   1.0000
  16.000   0.7861   0.21105   0.19468  -0.1066   0.9040   1.0000
  16.500   0.8178   0.22156   0.20547  -0.1126   0.8577   1.0000
  17.000   0.8503   0.23266   0.21684  -0.1180   0.8054   1.0000
  17.500   0.8717   0.23877   0.22329  -0.1214   0.7702   1.0000
  18.000   0.8971   0.24810   0.23278  -0.1253   0.7336   1.0000
  18.500   0.9213   0.25645   0.24126  -0.1286   0.6919   1.0000
  19.000   0.9451   0.26535   0.25028  -0.1320   0.6575   1.0000
  19.500   0.9662   0.27342   0.25844  -0.1353   0.6299   1.0000
  20.000   0.9885   0.28231   0.26741  -0.1386   0.6012   1.0000
  20.500   1.0093   0.29034   0.27546  -0.1416   0.5713   1.0000
  21.000   1.0292   0.29789   0.28306  -0.1447   0.5438   1.0000
  21.500   1.0463   0.30319   0.28841  -0.1478   0.5210   1.0000
  22.000   1.0658   0.31142   0.29685  -0.1514   0.5018   1.0000
  22.500   1.0819   0.31632   0.30179  -0.1547   0.4823   1.0000
  23.000   1.1033   0.32736   0.31289  -0.1581   0.4621   1.0000
  23.500   1.1170   0.32974   0.31529  -0.1616   0.4437   1.0000
  24.000   1.1354   0.33765   0.32328  -0.1651   0.4240   1.0000
  24.500   1.1540   0.34686   0.33253  -0.1688   0.4071   1.0000
  25.000   1.1689   0.35150   0.33722  -0.1726   0.3925   1.0000
  25.500   1.1848   0.35775   0.34354  -0.1766   0.3788   1.0000
  26.000   1.2002   0.36438   0.35036  -0.1804   0.3655   1.0000
  26.500   1.2158   0.37115   0.35720  -0.1843   0.3521   1.0000
  27.000   1.2315   0.37847   0.36460  -0.1884   0.3389   1.0000
  27.500   1.2447   0.38216   0.36839  -0.1926   0.3264   1.0000
  28.000   1.2566   0.38421   0.37049  -0.1970   0.3150   1.0000
  28.500   1.2695   0.38821   0.37455  -0.2015   0.3045   1.0000
  29.000   1.2831   0.39437   0.38079  -0.2058   0.2945   1.0000
  29.500   1.2985   0.40450   0.39113  -0.2099   0.2838   1.0000
  30.000   1.3085   0.40445   0.39117  -0.2146   0.2746   1.0000
