  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0241   0.03668   0.01447  -0.0244   1.0000   1.0000
   0.500   0.0602   0.03748   0.01471  -0.0237   1.0000   1.0000
   1.000   0.0958   0.03849   0.01526  -0.0231   1.0000   1.0000
   1.500   0.1307   0.03972   0.01616  -0.0227   1.0000   1.0000
   2.000   0.1645   0.04117   0.01739  -0.0224   1.0000   1.0000
   2.500   0.1971   0.04289   0.01898  -0.0224   1.0000   1.0000
   3.000   0.2284   0.04489   0.02095  -0.0226   1.0000   1.0000
   3.500   0.2580   0.04721   0.02331  -0.0231   1.0000   1.0000
   4.000   0.2858   0.04990   0.02613  -0.0239   1.0000   1.0000
   4.500   0.3117   0.05299   0.02939  -0.0251   1.0000   1.0000
   5.000   0.3357   0.05654   0.03314  -0.0267   1.0000   1.0000
   5.500   0.3577   0.06056   0.03745  -0.0287   1.0000   1.0000
   6.000   0.3779   0.06506   0.04222  -0.0310   1.0000   1.0000
   6.500   0.3966   0.07002   0.04746  -0.0337   1.0000   1.0000
   7.000   0.4144   0.07541   0.05314  -0.0366   1.0000   1.0000
   7.500   0.4317   0.08117   0.05924  -0.0396   1.0000   1.0000
   8.000   0.4486   0.08725   0.06560  -0.0428   1.0000   1.0000
   8.500   0.4655   0.09358   0.07222  -0.0460   1.0000   1.0000
   9.000   0.4824   0.10015   0.07907  -0.0492   1.0000   1.0000
   9.500   0.4996   0.10689   0.08616  -0.0525   1.0000   1.0000
  10.000   0.5168   0.11378   0.09333  -0.0558   1.0000   1.0000
  10.500   0.5342   0.12078   0.10062  -0.0591   1.0000   1.0000
  11.000   0.5518   0.12790   0.10802  -0.0624   1.0000   1.0000
  11.500   0.5697   0.13510   0.11555  -0.0658   1.0000   1.0000
  12.000   0.5877   0.14238   0.12311  -0.0693   1.0000   1.0000
  12.500   0.6061   0.14975   0.13075  -0.0729   1.0000   1.0000
  13.000   0.6246   0.15719   0.13845  -0.0765   1.0000   1.0000
  13.500   0.6433   0.16468   0.14625  -0.0802   1.0000   1.0000
  14.000   0.6621   0.17226   0.15408  -0.0840   1.0000   1.0000
  14.500   0.6810   0.17987   0.16194  -0.0878   1.0000   1.0000
  15.000   0.7001   0.18759   0.16988  -0.0917   1.0000   1.0000
  15.500   0.7505   0.20249   0.18525  -0.1037   0.9453   1.0000
  16.000   0.7882   0.21499   0.19813  -0.1114   0.8982   1.0000
  16.500   0.8171   0.22301   0.20639  -0.1165   0.8506   1.0000
  17.000   0.8471   0.23363   0.21726  -0.1216   0.8098   1.0000
  17.500   0.8698   0.23989   0.22368  -0.1250   0.7711   1.0000
  18.000   0.8972   0.25057   0.23458  -0.1291   0.7336   1.0000
  18.500   0.9185   0.25723   0.24137  -0.1324   0.7017   1.0000
  19.000   0.9408   0.26473   0.24900  -0.1355   0.6672   1.0000
  19.500   0.9629   0.27271   0.25709  -0.1389   0.6372   1.0000
  20.000   0.9834   0.28007   0.26455  -0.1420   0.6095   1.0000
  20.500   1.0042   0.28766   0.27228  -0.1453   0.5818   1.0000
  21.000   1.0262   0.29706   0.28177  -0.1487   0.5564   1.0000
  21.500   1.0450   0.30364   0.28844  -0.1518   0.5319   1.0000
  22.000   1.0627   0.30973   0.29457  -0.1551   0.5101   1.0000
  22.500   1.0834   0.31871   0.30365  -0.1585   0.4869   1.0000
  23.000   1.1009   0.32544   0.31050  -0.1620   0.4687   1.0000
  23.500   1.1163   0.32941   0.31453  -0.1655   0.4499   1.0000
  24.000   1.1344   0.33656   0.32175  -0.1691   0.4307   1.0000
  24.500   1.1528   0.34548   0.33077  -0.1726   0.4132   1.0000
  25.000   1.1710   0.35456   0.33994  -0.1764   0.3973   1.0000
  25.500   1.1870   0.36123   0.34665  -0.1802   0.3824   1.0000
  26.500   1.2167   0.37107   0.35674  -0.1882   0.3542   1.0000
  27.000   1.2293   0.37349   0.35920  -0.1924   0.3418   1.0000
  27.500   1.2426   0.37736   0.36313  -0.1968   0.3305   1.0000
  28.000   1.2567   0.38348   0.36933  -0.2010   0.3198   1.0000
  28.500   1.2728   0.39274   0.37868  -0.2051   0.3083   1.0000
  29.000   1.2857   0.39756   0.38370  -0.2093   0.2965   1.0000
  29.500   1.2966   0.39844   0.38463  -0.2142   0.2877   1.0000
  30.000   1.3110   0.40720   0.39350  -0.2185   0.2786   1.0000
