  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0300   0.04207   0.02102  -0.0415   1.0000   1.0000
   0.500   0.0713   0.04302   0.02090  -0.0411   1.0000   1.0000
   1.000   0.1114   0.04415   0.02121  -0.0407   1.0000   1.0000
   1.500   0.1504   0.04548   0.02187  -0.0404   1.0000   1.0000
   2.000   0.1882   0.04701   0.02290  -0.0401   1.0000   1.0000
   2.500   0.2247   0.04876   0.02427  -0.0400   1.0000   1.0000
   3.000   0.2597   0.05074   0.02600  -0.0399   1.0000   1.0000
   3.500   0.2932   0.05299   0.02810  -0.0400   1.0000   1.0000
   4.000   0.3251   0.05551   0.03058  -0.0403   1.0000   1.0000
   4.500   0.3551   0.05836   0.03347  -0.0407   1.0000   1.0000
   5.000   0.3833   0.06155   0.03677  -0.0414   1.0000   1.0000
   5.500   0.4095   0.06512   0.04054  -0.0424   1.0000   1.0000
   6.000   0.4336   0.06910   0.04475  -0.0436   1.0000   1.0000
   6.500   0.4558   0.07351   0.04944  -0.0451   1.0000   1.0000
   7.000   0.4762   0.07838   0.05467  -0.0470   1.0000   1.0000
   7.500   0.4949   0.08371   0.06033  -0.0493   1.0000   1.0000
   8.000   0.5121   0.08948   0.06645  -0.0518   1.0000   1.0000
   8.500   0.5283   0.09565   0.07298  -0.0546   1.0000   1.0000
   9.000   0.5437   0.10216   0.07991  -0.0576   1.0000   1.0000
   9.500   0.5588   0.10897   0.08708  -0.0608   1.0000   1.0000
  10.000   0.5737   0.11599   0.09445  -0.0641   1.0000   1.0000
  10.500   0.5889   0.12317   0.10196  -0.0675   1.0000   1.0000
  11.000   0.6044   0.13047   0.10965  -0.0710   1.0000   1.0000
  11.500   0.6203   0.13784   0.11733  -0.0746   1.0000   1.0000
  12.000   0.6366   0.14525   0.12505  -0.0782   1.0000   1.0000
  12.500   0.6534   0.15273   0.13282  -0.0820   1.0000   1.0000
  13.000   0.6707   0.16021   0.14064  -0.0857   1.0000   1.0000
  13.500   0.6883   0.16774   0.14845  -0.0896   1.0000   1.0000
  14.000   0.7062   0.17529   0.15627  -0.0935   1.0000   1.0000
  14.500   0.7244   0.18288   0.16412  -0.0974   1.0000   1.0000
  15.000   0.7428   0.19051   0.17206  -0.1014   1.0000   1.0000
  15.500   0.7817   0.20377   0.18571  -0.1108   0.9720   1.0000
  16.000   0.8118   0.21169   0.19398  -0.1177   0.9380   1.0000
  16.500   0.8443   0.22251   0.20516  -0.1245   0.9019   1.0000
  17.000   0.8701   0.23026   0.21318  -0.1296   0.8711   1.0000
  17.500   0.8948   0.23710   0.22027  -0.1341   0.8373   1.0000
  18.000   0.9194   0.24525   0.22870  -0.1387   0.8080   1.0000
  18.500   0.9434   0.25300   0.23667  -0.1429   0.7773   1.0000
  19.000   0.9667   0.26087   0.24475  -0.1469   0.7479   1.0000
  19.500   0.9904   0.26978   0.25392  -0.1510   0.7203   1.0000
  20.000   1.0136   0.27837   0.26270  -0.1548   0.6913   1.0000
  20.500   1.0335   0.28445   0.26898  -0.1582   0.6647   1.0000
  21.000   1.0518   0.28978   0.27446  -0.1616   0.6400   1.0000
  21.500   1.0736   0.29878   0.28367  -0.1653   0.6145   1.0000
  22.000   1.0924   0.30503   0.29009  -0.1687   0.5901   1.0000
  22.500   1.1109   0.31186   0.29706  -0.1722   0.5679   1.0000
  23.000   1.1303   0.31936   0.30473  -0.1756   0.5437   1.0000
  23.500   1.1484   0.32687   0.31243  -0.1792   0.5238   1.0000
  24.000   1.1637   0.33073   0.31641  -0.1827   0.5028   1.0000
  24.500   1.1838   0.34101   0.32687  -0.1863   0.4814   1.0000
  25.000   1.2002   0.34768   0.33364  -0.1899   0.4637   1.0000
  25.500   1.2141   0.35097   0.33703  -0.1937   0.4460   1.0000
  26.000   1.2290   0.35588   0.34211  -0.1974   0.4280   1.0000
  26.500   1.2443   0.36183   0.34818  -0.2013   0.4111   1.0000
  27.000   1.2593   0.36781   0.35428  -0.2051   0.3951   1.0000
  27.500   1.2738   0.37364   0.36021  -0.2091   0.3796   1.0000
  28.000   1.2878   0.37910   0.36578  -0.2131   0.3653   1.0000
  28.500   1.3014   0.38465   0.37148  -0.2173   0.3520   1.0000
  29.000   1.3151   0.39103   0.37797  -0.2214   0.3392   1.0000
  29.500   1.3293   0.39894   0.38600  -0.2254   0.3263   1.0000
  30.000   1.3445   0.40940   0.39658  -0.2292   0.3128   1.0000
