  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0288   0.04262   0.01726  -0.0021   1.0000   1.0000
   0.500  -0.0117   0.04298   0.01739   0.0023   1.0000   1.0000
   1.000   0.0064   0.04350   0.01774   0.0063   1.0000   1.0000
   1.500   0.0254   0.04418   0.01830   0.0101   1.0000   1.0000
   2.000   0.0453   0.04503   0.01908   0.0135   1.0000   1.0000
   2.500   0.0660   0.04606   0.02011   0.0165   1.0000   1.0000
   3.000   0.0873   0.04728   0.02139   0.0192   1.0000   1.0000
   3.500   0.1090   0.04871   0.02293   0.0215   1.0000   1.0000
   4.000   0.1307   0.05036   0.02479   0.0233   1.0000   1.0000
   4.500   0.1521   0.05227   0.02693   0.0248   1.0000   1.0000
   5.000   0.1730   0.05445   0.02939   0.0259   1.0000   1.0000
   5.500   0.1930   0.05696   0.03228   0.0266   1.0000   1.0000
   6.000   0.2119   0.05982   0.03551   0.0269   1.0000   1.0000
   6.500   0.2294   0.06307   0.03917   0.0267   1.0000   1.0000
   7.000   0.2454   0.06675   0.04334   0.0261   1.0000   1.0000
   7.500   0.2598   0.07089   0.04792   0.0250   1.0000   1.0000
   8.000   0.2730   0.07550   0.05298   0.0234   1.0000   1.0000
   8.500   0.2852   0.08057   0.05848   0.0215   1.0000   1.0000
   9.000   0.2966   0.08607   0.06440   0.0192   1.0000   1.0000
   9.500   0.3077   0.09194   0.07072   0.0166   1.0000   1.0000
  10.000   0.3188   0.09812   0.07727   0.0139   1.0000   1.0000
  10.500   0.3302   0.10453   0.08403   0.0110   1.0000   1.0000
  11.000   0.3420   0.11115   0.09097   0.0081   1.0000   1.0000
  11.500   0.3545   0.11787   0.09803   0.0051   1.0000   1.0000
  12.000   0.3676   0.12470   0.10510   0.0020   1.0000   1.0000
  12.500   0.3815   0.13156   0.11219  -0.0011   1.0000   1.0000
  13.000   0.3962   0.13844   0.11926  -0.0041   1.0000   1.0000
  13.500   0.4115   0.14531   0.12630  -0.0072   1.0000   1.0000
  14.000   0.4275   0.15216   0.13329  -0.0103   1.0000   1.0000
  14.500   0.4440   0.15900   0.14026  -0.0135   1.0000   1.0000
  15.000   0.4787   0.17092   0.15245  -0.0214   0.9800   1.0000
  15.500   0.5186   0.18331   0.16508  -0.0302   0.9373   1.0000
  16.000   0.5531   0.19456   0.17651  -0.0369   0.8962   1.0000
  16.500   0.5803   0.20245   0.18455  -0.0416   0.8570   1.0000
  17.000   0.6090   0.21280   0.19506  -0.0463   0.8239   1.0000
  17.500   0.6301   0.21847   0.20080  -0.0492   0.7904   1.0000
  18.000   0.6534   0.22598   0.20839  -0.0525   0.7578   1.0000
  18.500   0.6756   0.23342   0.21589  -0.0556   0.7291   1.0000
  19.000   0.6975   0.24083   0.22342  -0.0586   0.6993   1.0000
  19.500   0.7185   0.24800   0.23065  -0.0615   0.6713   1.0000
  20.000   0.7402   0.25615   0.23885  -0.0645   0.6455   1.0000
  20.500   0.7638   0.26621   0.24898  -0.0677   0.6189   1.0000
  21.000   0.7781   0.26877   0.25156  -0.0698   0.5952   1.0000
  21.500   0.7980   0.27658   0.25942  -0.0727   0.5721   1.0000
  22.000   0.8165   0.28307   0.26603  -0.0755   0.5485   1.0000
  22.500   0.8349   0.29039   0.27338  -0.0785   0.5288   1.0000
  23.000   0.8501   0.29439   0.27741  -0.0812   0.5086   1.0000
  23.500   0.8707   0.30417   0.28728  -0.0843   0.4876   1.0000
  24.000   0.8858   0.30888   0.29201  -0.0873   0.4701   1.0000
  24.500   0.9001   0.31273   0.29596  -0.0903   0.4523   1.0000
  25.000   0.9158   0.31821   0.30148  -0.0935   0.4353   1.0000
  25.500   0.9315   0.32417   0.30750  -0.0967   0.4189   1.0000
  26.000   0.9472   0.33030   0.31368  -0.1001   0.4031   1.0000
  26.500   0.9620   0.33591   0.31935  -0.1035   0.3883   1.0000
  27.000   0.9763   0.34104   0.32453  -0.1070   0.3740   1.0000
  27.500   0.9898   0.34570   0.32932  -0.1106   0.3609   1.0000
  28.000   1.0034   0.35066   0.33433  -0.1143   0.3488   1.0000
  28.500   1.0176   0.35711   0.34084  -0.1180   0.3374   1.0000
  29.000   1.0329   0.36563   0.34945  -0.1216   0.3252   1.0000
  29.500   1.0450   0.36921   0.35312  -0.1255   0.3131   1.0000
  30.000   1.0550   0.37021   0.35416  -0.1297   0.3039   1.0000
