  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0211   0.07178   0.06494   0.0081   1.0000   1.0000
   0.500  -0.0226   0.07105   0.06426   0.0086   1.0000   1.0000
   1.000  -0.0241   0.07029   0.06354   0.0092   1.0000   1.0000
   1.500  -0.0257   0.06949   0.06278   0.0098   1.0000   1.0000
   2.000  -0.0274   0.06864   0.06197   0.0105   1.0000   1.0000
   2.500  -0.0293   0.06773   0.06111   0.0113   1.0000   1.0000
   3.000  -0.0314   0.06676   0.06018   0.0122   1.0000   1.0000
   3.500  -0.0337   0.06571   0.05917   0.0132   1.0000   1.0000
   4.000  -0.0363   0.06457   0.05807   0.0143   1.0000   1.0000
   4.500  -0.0392   0.06331   0.05685   0.0157   1.0000   1.0000
   5.000  -0.0425   0.06189   0.05548   0.0172   1.0000   1.0000
   5.500  -0.0462   0.06028   0.05392   0.0190   1.0000   1.0000
   6.000  -0.0504   0.05843   0.05211   0.0210   1.0000   1.0000
   6.500  -0.0553   0.05626   0.05000   0.0234   1.0000   1.0000
   7.000  -0.0608   0.05371   0.04750   0.0261   1.0000   1.0000
   7.500  -0.0664   0.05077   0.04459   0.0289   1.0000   1.0000
   8.000  -0.0677   0.04803   0.04179   0.0292   1.0000   1.0000
   8.500  -0.0557   0.04685   0.04033   0.0219   1.0000   1.0000
   9.000  -0.0284   0.04770   0.04060   0.0059   1.0000   1.0000
   9.500   0.0052   0.04973   0.04173  -0.0134   1.0000   1.0000
  10.000   0.0311   0.05166   0.04267  -0.0280   1.0000   1.0000
  10.500   0.0492   0.05324   0.04342  -0.0379   1.0000   1.0000
  11.000   0.0638   0.05466   0.04418  -0.0458   1.0000   1.0000
  11.500   0.0769   0.05603   0.04498  -0.0528   1.0000   1.0000
  12.000   0.0890   0.05737   0.04583  -0.0593   1.0000   1.0000
  12.500   0.1005   0.05870   0.04673  -0.0655   1.0000   1.0000
  13.000   0.1115   0.06003   0.04767  -0.0715   1.0000   1.0000
  13.500   0.1223   0.06135   0.04865  -0.0773   1.0000   1.0000
  14.000   0.1327   0.06268   0.04966  -0.0830   1.0000   1.0000
  14.500   0.1430   0.06401   0.05071  -0.0886   1.0000   1.0000
  15.000   0.1529   0.06533   0.05177  -0.0941   1.0000   1.0000
  15.500   0.1627   0.06666   0.05286  -0.0995   1.0000   1.0000
  16.000   0.1723   0.06799   0.05398  -0.1048   1.0000   1.0000
  16.500   0.1818   0.06931   0.05511  -0.1101   1.0000   1.0000
  17.000   0.1910   0.07064   0.05626  -0.1153   1.0000   1.0000
  17.500   0.2002   0.07197   0.05743  -0.1204   1.0000   1.0000
  18.000   0.2091   0.07329   0.05861  -0.1255   1.0000   1.0000
  18.500   0.2179   0.07461   0.05981  -0.1305   1.0000   1.0000
  19.000   0.2266   0.07593   0.06102  -0.1354   1.0000   1.0000
  19.500   0.2351   0.07725   0.06224  -0.1403   1.0000   1.0000
  20.000   0.2434   0.07856   0.06347  -0.1452   1.0000   1.0000
  20.500   0.2516   0.07987   0.06470  -0.1499   1.0000   1.0000
  21.000   0.2597   0.08122   0.06600  -0.1546   1.0000   1.0000
