  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0021   0.04205   0.01749   0.0008   1.0000   1.0000
   0.500   0.0103   0.04227   0.01767   0.0059   1.0000   1.0000
   1.000   0.0199   0.04274   0.01809   0.0106   1.0000   1.0000
   1.500   0.0312   0.04346   0.01878   0.0149   1.0000   1.0000
   2.000   0.0442   0.04443   0.01973   0.0187   1.0000   1.0000
   2.500   0.0593   0.04563   0.02097   0.0218   1.0000   1.0000
   3.000   0.0764   0.04709   0.02249   0.0243   1.0000   1.0000
   3.500   0.0950   0.04879   0.02431   0.0262   1.0000   1.0000
   4.000   0.1148   0.05076   0.02649   0.0275   1.0000   1.0000
   4.500   0.1352   0.05301   0.02898   0.0282   1.0000   1.0000
   5.000   0.1557   0.05557   0.03182   0.0285   1.0000   1.0000
   5.500   0.1761   0.05847   0.03510   0.0283   1.0000   1.0000
   6.000   0.1958   0.06174   0.03876   0.0277   1.0000   1.0000
   6.500   0.2146   0.06543   0.04287   0.0266   1.0000   1.0000
   7.000   0.2320   0.06959   0.04752   0.0250   1.0000   1.0000
   7.500   0.2480   0.07424   0.05263   0.0231   1.0000   1.0000
   8.000   0.2625   0.07944   0.05828   0.0207   1.0000   1.0000
   8.500   0.2756   0.08519   0.06447   0.0179   1.0000   1.0000
   9.000   0.2874   0.09150   0.07124   0.0147   1.0000   1.0000
   9.500   0.2982   0.09834   0.07844   0.0113   1.0000   1.0000
  10.000   0.3088   0.10556   0.08595   0.0077   1.0000   1.0000
  10.500   0.3204   0.11296   0.09357   0.0041   1.0000   1.0000
  11.000   0.3335   0.12033   0.10111   0.0006   1.0000   1.0000
  11.500   0.3481   0.12761   0.10852  -0.0028   1.0000   1.0000
  12.000   0.3641   0.13479   0.11584  -0.0062   1.0000   1.0000
  12.500   0.3810   0.14188   0.12301  -0.0095   1.0000   1.0000
  13.000   0.3988   0.14890   0.13012  -0.0128   1.0000   1.0000
  13.500   0.4172   0.15590   0.13719  -0.0161   1.0000   1.0000
  14.000   0.4361   0.16288   0.14422  -0.0195   1.0000   1.0000
  14.500   0.4731   0.17480   0.15635  -0.0277   0.9822   1.0000
  15.000   0.5204   0.18862   0.17041  -0.0380   0.9331   1.0000
  15.500   0.5560   0.19904   0.18097  -0.0446   0.8881   1.0000
  16.000   0.5833   0.20662   0.18867  -0.0489   0.8490   1.0000
  16.500   0.6125   0.21617   0.19832  -0.0535   0.8132   1.0000
  17.000   0.6413   0.22633   0.20854  -0.0578   0.7790   1.0000
  17.500   0.6640   0.23307   0.21534  -0.0608   0.7470   1.0000
  18.000   0.6884   0.24146   0.22383  -0.0642   0.7171   1.0000
  18.500   0.7133   0.25062   0.23304  -0.0676   0.6875   1.0000
  19.000   0.7327   0.25594   0.23841  -0.0702   0.6593   1.0000
  19.500   0.7518   0.26160   0.24408  -0.0729   0.6339   1.0000
  20.000   0.7764   0.27193   0.25451  -0.0764   0.6092   1.0000
  20.500   0.7932   0.27594   0.25854  -0.0790   0.5858   1.0000
  21.000   0.8167   0.28616   0.26881  -0.0825   0.5628   1.0000
  21.500   0.8326   0.28966   0.27233  -0.0853   0.5412   1.0000
  22.000   0.8547   0.29907   0.28181  -0.0887   0.5195   1.0000
  22.500   0.8741   0.30677   0.28959  -0.0921   0.5013   1.0000
  23.000   0.8898   0.31069   0.29353  -0.0954   0.4835   1.0000
  23.500   0.9068   0.31592   0.29880  -0.0988   0.4652   1.0000
  24.000   0.9245   0.32217   0.30510  -0.1023   0.4474   1.0000
  24.500   0.9421   0.32865   0.31163  -0.1059   0.4309   1.0000
  25.000   0.9590   0.33466   0.31775  -0.1097   0.4157   1.0000
  25.500   0.9753   0.34038   0.32351  -0.1136   0.4014   1.0000
  26.000   0.9915   0.34612   0.32930  -0.1175   0.3876   1.0000
  26.500   1.0076   0.35215   0.33538  -0.1215   0.3742   1.0000
  27.000   1.0239   0.35888   0.34217  -0.1255   0.3612   1.0000
  27.500   1.0409   0.36724   0.35066  -0.1296   0.3482   1.0000
  28.000   1.0572   0.37484   0.35838  -0.1336   0.3351   1.0000
  28.500   1.0685   0.37439   0.35794  -0.1383   0.3250   1.0000
  29.000   1.0828   0.38009   0.36370  -0.1427   0.3153   1.0000
  29.500   1.0996   0.39086   0.37456  -0.1468   0.3040   1.0000
  30.000   1.1110   0.39088   0.37465  -0.1517   0.2935   1.0000
