  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.4575   0.09168   0.07952   0.0526   1.0000   0.7900
   0.500  -0.4422   0.08772   0.07527   0.0496   1.0000   0.7929
   1.000  -0.4030   0.08520   0.07247   0.0437   1.0000   0.8133
   1.500  -0.3090   0.08521   0.07244   0.0281   1.0000   0.8742
   2.000  -0.1784   0.08707   0.07400  -0.0005   1.0000   1.0000
   2.500  -0.1566   0.08535   0.07147  -0.0059   1.0000   1.0000
   3.000  -0.0941   0.08772   0.07235  -0.0183   1.0000   1.0000
   3.500  -0.0235   0.09201   0.07483  -0.0303   1.0000   1.0000
   4.000   0.0334   0.09637   0.07742  -0.0372   1.0000   1.0000
   4.500   0.0748   0.10028   0.07998  -0.0399   1.0000   1.0000
   5.000   0.1093   0.10401   0.08270  -0.0412   1.0000   1.0000
   5.500   0.1409   0.10773   0.08562  -0.0420   1.0000   1.0000
   6.000   0.1708   0.11150   0.08877  -0.0426   1.0000   1.0000
   6.500   0.1995   0.11536   0.09210  -0.0432   1.0000   1.0000
   7.000   0.2274   0.11930   0.09562  -0.0438   1.0000   1.0000
   7.500   0.2544   0.12334   0.09930  -0.0444   1.0000   1.0000
   8.000   0.2807   0.12747   0.10315  -0.0452   1.0000   1.0000
   8.500   0.3064   0.13171   0.10716  -0.0460   1.0000   1.0000
   9.000   0.3314   0.13605   0.11132  -0.0469   1.0000   1.0000
   9.500   0.3558   0.14049   0.11562  -0.0480   1.0000   1.0000
  10.000   0.3796   0.14504   0.12008  -0.0491   1.0000   1.0000
  10.500   0.4028   0.14969   0.12468  -0.0504   1.0000   1.0000
  11.000   0.4256   0.15445   0.12940  -0.0517   1.0000   1.0000
  11.500   0.4479   0.15930   0.13425  -0.0532   1.0000   1.0000
  12.000   0.4697   0.16425   0.13921  -0.0549   1.0000   1.0000
  12.500   0.4913   0.16927   0.14427  -0.0566   1.0000   1.0000
  13.000   0.5124   0.17438   0.14944  -0.0584   1.0000   1.0000
  13.500   0.5334   0.17956   0.15471  -0.0604   1.0000   1.0000
  14.500   0.5900   0.19465   0.17007  -0.0684   0.9840   1.0000
  15.000   0.6211   0.20130   0.17691  -0.0733   0.9625   1.0000
  15.500   0.6515   0.20917   0.18495  -0.0780   0.9407   1.0000
  16.000   0.6799   0.21610   0.19210  -0.0822   0.9170   1.0000
  17.000   0.7305   0.22865   0.20506  -0.0894   0.8726   1.0000
  17.500   0.7510   0.23265   0.20923  -0.0922   0.8529   1.0000
  18.000   0.7752   0.23931   0.21615  -0.0957   0.8294   1.0000
  18.500   0.7963   0.24501   0.22203  -0.0987   0.8097   1.0000
  19.000   0.8163   0.24926   0.22648  -0.1015   0.7874   1.0000
  19.500   0.8409   0.25887   0.23635  -0.1052   0.7670   1.0000
  20.000   0.8564   0.26052   0.23817  -0.1074   0.7484   1.0000
  20.500   0.8747   0.26518   0.24303  -0.1103   0.7304   1.0000
  21.000   0.8946   0.27135   0.24941  -0.1133   0.7116   1.0000
  21.500   0.9142   0.27789   0.25622  -0.1164   0.6948   1.0000
  22.000   0.9308   0.28239   0.26093  -0.1193   0.6807   1.0000
  22.500   0.9482   0.28767   0.26642  -0.1222   0.6656   1.0000
  23.000   0.9670   0.29460   0.27358  -0.1254   0.6491   1.0000
  23.500   0.9825   0.29865   0.27792  -0.1283   0.6351   1.0000
  24.000   0.9964   0.30158   0.28104  -0.1312   0.6227   1.0000
  24.500   1.0117   0.30602   0.28571  -0.1342   0.6089   1.0000
  25.000   1.0275   0.31108   0.29100  -0.1373   0.5936   1.0000
  25.500   1.0418   0.31523   0.29545  -0.1405   0.5810   1.0000
  26.000   1.0564   0.32043   0.30086  -0.1437   0.5697   1.0000
  26.500   1.0717   0.32629   0.30698  -0.1471   0.5565   1.0000
  27.000   1.0871   0.33251   0.31344  -0.1504   0.5428   1.0000
  27.500   1.1030   0.34004   0.32126  -0.1538   0.5296   1.0000
  28.000   1.1117   0.33878   0.32018  -0.1570   0.5196   1.0000
  28.500   1.1243   0.34325   0.32496  -0.1604   0.5089   1.0000
  29.000   1.1387   0.35003   0.33201  -0.1639   0.4966   1.0000
  29.500   1.1535   0.35803   0.34030  -0.1674   0.4839   1.0000
  30.000   1.1608   0.35588   0.33835  -0.1709   0.4751   1.0000
