  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3917   0.09791   0.08660   0.0291   1.0000   0.6544
   0.500  -0.3468   0.09429   0.08269   0.0191   1.0000   0.6636
   1.000  -0.2961   0.09170   0.07985   0.0107   1.0000   0.6854
   1.500  -0.2434   0.08995   0.07792   0.0034   1.0000   0.7242
   2.000  -0.1932   0.08859   0.07662  -0.0016   1.0000   0.7935
   3.000   0.0243   0.09094   0.07593  -0.0534   1.0000   1.0000
   3.500   0.0733   0.09526   0.07801  -0.0582   1.0000   1.0000
   4.000   0.1081   0.09924   0.08074  -0.0599   1.0000   1.0000
   4.500   0.1400   0.10328   0.08385  -0.0612   1.0000   1.0000
   5.000   0.1707   0.10741   0.08724  -0.0625   1.0000   1.0000
   5.500   0.2004   0.11165   0.09085  -0.0638   1.0000   1.0000
   6.000   0.2295   0.11598   0.09465  -0.0651   1.0000   1.0000
   6.500   0.2579   0.12041   0.09863  -0.0664   1.0000   1.0000
   7.000   0.2859   0.12495   0.10277  -0.0679   1.0000   1.0000
   7.500   0.3133   0.12958   0.10707  -0.0694   1.0000   1.0000
   8.000   0.3402   0.13431   0.11151  -0.0710   1.0000   1.0000
   8.500   0.3667   0.13914   0.11610  -0.0727   1.0000   1.0000
   9.000   0.3928   0.14406   0.12083  -0.0745   1.0000   1.0000
   9.500   0.4184   0.14908   0.12568  -0.0764   1.0000   1.0000
  10.000   0.4437   0.15420   0.13066  -0.0784   1.0000   1.0000
  10.500   0.4687   0.15940   0.13575  -0.0805   1.0000   1.0000
  11.000   0.4934   0.16468   0.14094  -0.0828   1.0000   1.0000
  11.500   0.5178   0.17004   0.14623  -0.0851   1.0000   1.0000
  12.000   0.5420   0.17546   0.15161  -0.0876   1.0000   1.0000
  12.500   0.5661   0.18094   0.15706  -0.0901   1.0000   1.0000
  13.000   0.5900   0.18646   0.16257  -0.0927   1.0000   1.0000
  13.500   0.6137   0.19203   0.16814  -0.0954   1.0000   1.0000
  14.000   0.6413   0.19802   0.17417  -0.0992   0.9951   1.0000
  14.500   0.6814   0.20745   0.18368  -0.1060   0.9713   1.0000
  15.000   0.7157   0.21513   0.19145  -0.1113   0.9485   1.0000
  15.500   0.7496   0.22428   0.20068  -0.1164   0.9273   1.0000
  16.000   0.7737   0.22646   0.20297  -0.1194   0.9055   1.0000
  16.500   0.8003   0.23158   0.20823  -0.1229   0.8858   1.0000
  17.000   0.8266   0.23708   0.21385  -0.1265   0.8667   1.0000
  17.500   0.8532   0.24311   0.22007  -0.1301   0.8466   1.0000
  18.000   0.8784   0.24879   0.22591  -0.1336   0.8281   1.0000
  18.500   0.9013   0.25346   0.23078  -0.1368   0.8118   1.0000
  19.000   0.9247   0.25870   0.23622  -0.1402   0.7939   1.0000
  19.500   0.9473   0.26384   0.24157  -0.1435   0.7764   1.0000
  20.000   0.9688   0.26874   0.24673  -0.1469   0.7610   1.0000
  20.500   0.9904   0.27399   0.25222  -0.1503   0.7436   1.0000
  21.000   1.0115   0.27938   0.25787  -0.1538   0.7268   1.0000
  21.500   1.0323   0.28501   0.26379  -0.1575   0.7101   1.0000
  22.000   1.0523   0.29024   0.26929  -0.1611   0.6921   1.0000
  22.500   1.0718   0.29570   0.27506  -0.1648   0.6745   1.0000
  23.000   1.0906   0.30073   0.28036  -0.1685   0.6558   1.0000
  23.500   1.1090   0.30592   0.28581  -0.1723   0.6373   1.0000
  24.000   1.1270   0.31111   0.29129  -0.1762   0.6184   1.0000
  24.500   1.1447   0.31639   0.29681  -0.1801   0.5997   1.0000
  25.000   1.1619   0.32164   0.30230  -0.1841   0.5821   1.0000
  25.500   1.1787   0.32695   0.30787  -0.1881   0.5652   1.0000
  26.000   1.1956   0.33274   0.31388  -0.1922   0.5492   1.0000
  26.500   1.2135   0.34035   0.32172  -0.1965   0.5341   1.0000
  27.000   1.2329   0.35060   0.33224  -0.2007   0.5182   1.0000
  27.500   1.2442   0.34914   0.33100  -0.2048   0.5044   1.0000
  28.000   1.2571   0.35160   0.33365  -0.2091   0.4928   1.0000
  28.500   1.2748   0.36129   0.34360  -0.2136   0.4808   1.0000
  29.000   1.2886   0.36440   0.34695  -0.2179   0.4676   1.0000
  29.500   1.2999   0.36560   0.34837  -0.2225   0.4582   1.0000
  30.000   1.3186   0.37876   0.36179  -0.2269   0.4464   1.0000
