  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1327   0.05307   0.03174  -0.0447   1.0000   1.0000
   0.500   0.1659   0.05547   0.03345  -0.0451   1.0000   1.0000
   1.000   0.1980   0.05810   0.03556  -0.0456   1.0000   1.0000
   1.500   0.2289   0.06097   0.03801  -0.0462   1.0000   1.0000
   2.000   0.2587   0.06410   0.04081  -0.0470   1.0000   1.0000
   2.500   0.2873   0.06749   0.04396  -0.0479   1.0000   1.0000
   3.000   0.3148   0.07114   0.04744  -0.0489   1.0000   1.0000
   3.500   0.3412   0.07505   0.05124  -0.0500   1.0000   1.0000
   4.000   0.3666   0.07922   0.05536  -0.0512   1.0000   1.0000
   4.500   0.3911   0.08366   0.05980  -0.0526   1.0000   1.0000
   5.000   0.4146   0.08834   0.06452  -0.0541   1.0000   1.0000
   5.500   0.4372   0.09328   0.06956  -0.0557   1.0000   1.0000
   6.000   0.4589   0.09846   0.07484  -0.0574   1.0000   1.0000
   6.500   0.4798   0.10386   0.08039  -0.0593   1.0000   1.0000
   7.000   0.5001   0.10948   0.08620  -0.0612   1.0000   1.0000
   7.500   0.5198   0.11528   0.09218  -0.0633   1.0000   1.0000
   8.000   0.5392   0.12123   0.09832  -0.0656   1.0000   1.0000
   8.500   0.5584   0.12731   0.10460  -0.0679   1.0000   1.0000
   9.000   0.5776   0.13348   0.11105  -0.0703   1.0000   1.0000
   9.500   0.5969   0.13973   0.11752  -0.0729   1.0000   1.0000
  10.000   0.6162   0.14605   0.12407  -0.0755   1.0000   1.0000
  10.500   0.6356   0.15245   0.13072  -0.0783   1.0000   1.0000
  11.000   0.6549   0.15895   0.13749  -0.0812   1.0000   1.0000
  11.500   0.6742   0.16557   0.14439  -0.0843   1.0000   1.0000
  12.000   0.6934   0.17235   0.15158  -0.0875   1.0000   1.0000
  12.500   0.7124   0.17931   0.15883  -0.0910   1.0000   1.0000
  13.000   0.7311   0.18647   0.16629  -0.0946   1.0000   1.0000
  13.500   0.7495   0.19388   0.17400  -0.0985   1.0000   1.0000
  14.000   0.7737   0.20318   0.18362  -0.1041   0.9940   1.0000
  14.500   0.8198   0.21580   0.19666  -0.1153   0.9357   1.0000
  15.000   0.8554   0.22681   0.20796  -0.1227   0.8832   1.0000
  15.500   0.8814   0.23375   0.21529  -0.1273   0.8396   1.0000
  16.000   0.9109   0.24451   0.22628  -0.1324   0.8016   1.0000
  16.500   0.9308   0.24879   0.23068  -0.1354   0.7660   1.0000
  17.000   0.9534   0.25623   0.23829  -0.1391   0.7378   1.0000
  17.500   0.9748   0.26353   0.24574  -0.1427   0.7143   1.0000
  18.000   0.9970   0.27134   0.25372  -0.1463   0.6883   1.0000
  18.500   1.0187   0.27881   0.26135  -0.1498   0.6613   1.0000
  19.000   1.0402   0.28653   0.26946  -0.1533   0.6368   1.0000
  19.500   1.0578   0.29201   0.27509  -0.1567   0.6192   1.0000
  20.000   1.0750   0.29697   0.28021  -0.1601   0.6010   1.0000
  20.500   1.0947   0.30455   0.28798  -0.1639   0.5831   1.0000
  21.000   1.1165   0.31507   0.29868  -0.1678   0.5657   1.0000
  21.500   1.1302   0.31672   0.30048  -0.1712   0.5475   1.0000
  22.000   1.1499   0.32478   0.30873  -0.1749   0.5262   1.0000
  22.500   1.1689   0.33351   0.31762  -0.1787   0.5096   1.0000
  23.000   1.1846   0.33844   0.32290  -0.1826   0.4950   1.0000
  23.500   1.2004   0.34369   0.32831  -0.1866   0.4804   1.0000
  24.000   1.2162   0.34920   0.33396  -0.1907   0.4660   1.0000
  24.500   1.2314   0.35399   0.33889  -0.1948   0.4507   1.0000
  25.000   1.2469   0.35907   0.34410  -0.1989   0.4328   1.0000
  25.500   1.2638   0.36666   0.35183  -0.2029   0.4156   1.0000
  26.000   1.2785   0.37181   0.35710  -0.2072   0.4024   1.0000
  26.500   1.2926   0.37650   0.36190  -0.2117   0.3901   1.0000
  27.000   1.3066   0.38156   0.36719  -0.2162   0.3784   1.0000
  27.500   1.3207   0.38709   0.37283  -0.2207   0.3659   1.0000
  28.000   1.3346   0.39267   0.37852  -0.2252   0.3530   1.0000
  28.500   1.3485   0.39905   0.38502  -0.2297   0.3407   1.0000
  29.000   1.3637   0.40871   0.39482  -0.2341   0.3290   1.0000
  29.500   1.3738   0.40827   0.39450  -0.2392   0.3194   1.0000
  30.000   1.3854   0.41258   0.39891  -0.2443   0.3115   1.0000
