  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0409   0.04580   0.02795  -0.0171   1.0000   1.0000
   0.500  -0.0200   0.04767   0.02875  -0.0159   1.0000   1.0000
   1.000   0.0018   0.04971   0.02974  -0.0151   1.0000   1.0000
   1.500   0.0246   0.05192   0.03115  -0.0146   1.0000   1.0000
   2.000   0.0482   0.05432   0.03284  -0.0145   1.0000   1.0000
   2.500   0.0723   0.05689   0.03480  -0.0145   1.0000   1.0000
   3.000   0.0968   0.05963   0.03696  -0.0148   1.0000   1.0000
   3.500   0.1214   0.06256   0.03945  -0.0152   1.0000   1.0000
   4.000   0.1460   0.06567   0.04219  -0.0157   1.0000   1.0000
   4.500   0.1704   0.06897   0.04515  -0.0164   1.0000   1.0000
   5.000   0.1947   0.07247   0.04838  -0.0172   1.0000   1.0000
   5.500   0.2187   0.07615   0.05187  -0.0182   1.0000   1.0000
   6.000   0.2424   0.08004   0.05561  -0.0192   1.0000   1.0000
   6.500   0.2657   0.08413   0.05958  -0.0204   1.0000   1.0000
   7.000   0.2887   0.08840   0.06379  -0.0217   1.0000   1.0000
   7.500   0.3111   0.09287   0.06824  -0.0230   1.0000   1.0000
   8.000   0.3333   0.09751   0.07294  -0.0245   1.0000   1.0000
   8.500   0.3550   0.10233   0.07782  -0.0261   1.0000   1.0000
   9.000   0.3764   0.10728   0.08285  -0.0278   1.0000   1.0000
   9.500   0.3975   0.11238   0.08817  -0.0296   1.0000   1.0000
  10.000   0.4185   0.11758   0.09350  -0.0315   1.0000   1.0000
  10.500   0.4393   0.12289   0.09895  -0.0335   1.0000   1.0000
  11.000   0.4600   0.12828   0.10449  -0.0356   1.0000   1.0000
  11.500   0.4807   0.13371   0.11011  -0.0378   1.0000   1.0000
  12.000   0.5013   0.13922   0.11584  -0.0400   1.0000   1.0000
  12.500   0.5219   0.14478   0.12162  -0.0424   1.0000   1.0000
  13.000   0.5424   0.15039   0.12775  -0.0448   1.0000   1.0000
  13.500   0.5629   0.15606   0.13369  -0.0473   1.0000   1.0000
  14.000   0.5833   0.16178   0.13969  -0.0499   1.0000   1.0000
  14.500   0.6036   0.16758   0.14580  -0.0526   1.0000   1.0000
  15.000   0.6236   0.17347   0.15203  -0.0554   1.0000   1.0000
  15.500   0.6434   0.17949   0.15841  -0.0584   1.0000   1.0000
  16.000   0.6628   0.18564   0.16494  -0.0615   1.0000   1.0000
  16.500   0.6820   0.19197   0.17167  -0.0647   1.0000   1.0000
  17.000   0.7238   0.20513   0.18545  -0.0743   0.9669   1.0000
  17.500   0.7638   0.21738   0.19866  -0.0829   0.9155   1.0000
  18.000   0.7913   0.22380   0.20559  -0.0883   0.8668   1.0000
  18.500   0.8193   0.23279   0.21502  -0.0934   0.8156   1.0000
  19.000   0.8457   0.24197   0.22455  -0.0978   0.7628   1.0000
  19.500   0.8716   0.25212   0.23499  -0.1017   0.7125   1.0000
  20.000   0.8929   0.25943   0.24253  -0.1047   0.6656   1.0000
  20.500   0.9139   0.26840   0.25167  -0.1080   0.6316   1.0000
  21.000   0.9356   0.27774   0.26116  -0.1111   0.5927   1.0000
  21.500   0.9517   0.28262   0.26614  -0.1137   0.5603   1.0000
  22.000   0.9698   0.29042   0.27399  -0.1169   0.5356   1.0000
  22.500   0.9895   0.29982   0.28343  -0.1202   0.5117   1.0000
  23.000   1.0074   0.30729   0.29123  -0.1232   0.4851   1.0000
  23.500   1.0238   0.31310   0.29709  -0.1263   0.4610   1.0000
  24.000   1.0411   0.32136   0.30536  -0.1297   0.4451   1.0000
  24.500   1.0562   0.32703   0.31107  -0.1333   0.4312   1.0000
  25.000   1.0718   0.33358   0.31766  -0.1369   0.4179   1.0000
  25.500   1.0875   0.34031   0.32444  -0.1406   0.4047   1.0000
  26.000   1.1026   0.34663   0.33080  -0.1443   0.3913   1.0000
  26.500   1.1171   0.35231   0.33653  -0.1480   0.3778   1.0000
  27.000   1.1320   0.35882   0.34310  -0.1518   0.3646   1.0000
  27.500   1.1443   0.36160   0.34612  -0.1558   0.3528   1.0000
  28.000   1.1558   0.36364   0.34821  -0.1600   0.3431   1.0000
  28.500   1.1695   0.36991   0.35455  -0.1641   0.3348   1.0000
  29.000   1.1852   0.37954   0.36433  -0.1681   0.3250   1.0000
  29.500   1.1943   0.37881   0.36363  -0.1727   0.3183   1.0000
  30.000   1.2094   0.38916   0.37410  -0.1767   0.3104   1.0000
