  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0685   0.05511   0.03691   0.0083   1.0000   1.0000
   0.500  -0.0643   0.05696   0.03823   0.0109   1.0000   1.0000
   1.000  -0.0573   0.05907   0.03981   0.0130   1.0000   1.0000
   1.500  -0.0477   0.06141   0.04166   0.0145   1.0000   1.0000
   2.000  -0.0360   0.06397   0.04375   0.0155   1.0000   1.0000
   2.500  -0.0225   0.06674   0.04608   0.0162   1.0000   1.0000
   3.000  -0.0075   0.06971   0.04865   0.0166   1.0000   1.0000
   3.500   0.0087   0.07287   0.05143   0.0167   1.0000   1.0000
   4.000   0.0259   0.07621   0.05441   0.0166   1.0000   1.0000
   4.500   0.0438   0.07972   0.05759   0.0164   1.0000   1.0000
   5.000   0.0624   0.08338   0.06096   0.0159   1.0000   1.0000
   5.500   0.0814   0.08719   0.06450   0.0154   1.0000   1.0000
   6.000   0.1007   0.09115   0.06823   0.0147   1.0000   1.0000
   6.500   0.1203   0.09524   0.07211   0.0139   1.0000   1.0000
   7.000   0.1401   0.09945   0.07615   0.0129   1.0000   1.0000
   7.500   0.1601   0.10377   0.08030   0.0119   1.0000   1.0000
   8.000   0.1802   0.10819   0.08459   0.0107   1.0000   1.0000
   8.500   0.2003   0.11270   0.08899   0.0095   1.0000   1.0000
   9.000   0.2205   0.11729   0.09348   0.0081   1.0000   1.0000
   9.500   0.2408   0.12195   0.09808   0.0066   1.0000   1.0000
  10.000   0.2611   0.12667   0.10274   0.0051   1.0000   1.0000
  10.500   0.2815   0.13143   0.10747   0.0034   1.0000   1.0000
  11.000   0.3019   0.13626   0.11228   0.0016   1.0000   1.0000
  11.500   0.3223   0.14115   0.11717  -0.0002   1.0000   1.0000
  12.000   0.3427   0.14608   0.12214  -0.0022   1.0000   1.0000
  12.500   0.3630   0.15106   0.12714  -0.0043   1.0000   1.0000
  13.000   0.3833   0.15610   0.13222  -0.0065   1.0000   1.0000
  13.500   0.4034   0.16120   0.13738  -0.0088   1.0000   1.0000
  14.000   0.4235   0.16634   0.14265  -0.0111   1.0000   1.0000
  14.500   0.4435   0.17156   0.14797  -0.0136   1.0000   1.0000
  15.000   0.4783   0.18122   0.15785  -0.0201   0.9833   1.0000
  15.500   0.5200   0.19374   0.17057  -0.0281   0.9495   1.0000
  16.000   0.5537   0.20250   0.17961  -0.0341   0.9147   1.0000
  16.500   0.5787   0.20645   0.18374  -0.0379   0.8814   1.0000
  17.000   0.6070   0.21468   0.19216  -0.0423   0.8505   1.0000
  17.500   0.6319   0.22051   0.19822  -0.0459   0.8176   1.0000
  18.000   0.6598   0.23047   0.20838  -0.0501   0.7880   1.0000
  18.500   0.6780   0.23311   0.21122  -0.0525   0.7591   1.0000
  19.000   0.7013   0.24018   0.21849  -0.0558   0.7292   1.0000
  19.500   0.7282   0.25149   0.23003  -0.0597   0.7012   1.0000
  20.000   0.7470   0.25692   0.23562  -0.0624   0.6768   1.0000
  20.500   0.7643   0.26112   0.23997  -0.0650   0.6530   1.0000
  21.000   0.7825   0.26643   0.24548  -0.0677   0.6299   1.0000
  21.500   0.8009   0.27238   0.25159  -0.0706   0.6076   1.0000
  22.000   0.8197   0.27916   0.25855  -0.0737   0.5862   1.0000
  22.500   0.8395   0.28744   0.26703  -0.0768   0.5655   1.0000
  23.000   0.8579   0.29453   0.27437  -0.0799   0.5451   1.0000
  23.500   0.8685   0.29349   0.27343  -0.0825   0.5282   1.0000
  24.000   0.8827   0.29724   0.27733  -0.0855   0.5129   1.0000
  24.500   0.9008   0.30555   0.28584  -0.0889   0.4977   1.0000
  25.000   0.9212   0.31666   0.29722  -0.0924   0.4801   1.0000
  25.500   0.9288   0.31281   0.29348  -0.0954   0.4675   1.0000
  26.000   0.9458   0.32122   0.30207  -0.0989   0.4552   1.0000
  26.500   0.9609   0.32651   0.30762  -0.1024   0.4401   1.0000
  27.000   0.9717   0.32804   0.30930  -0.1059   0.4303   1.0000
  27.500   0.9926   0.34328   0.32486  -0.1096   0.4163   1.0000
  28.000   0.9982   0.33691   0.31859  -0.1132   0.4072   1.0000
  29.000   1.0238   0.34606   0.32819  -0.1208   0.3863   1.0000
  30.000   1.0483   0.35519   0.33778  -0.1286   0.3668   1.0000
