  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0507   0.03853   0.01523  -0.0068   1.0000   1.0000
   0.500   0.0807   0.03918   0.01543  -0.0040   1.0000   1.0000
   1.000   0.1109   0.04000   0.01593  -0.0014   1.0000   1.0000
   1.500   0.1408   0.04102   0.01673   0.0008   1.0000   1.0000
   2.000   0.1698   0.04230   0.01791   0.0026   1.0000   1.0000
   2.500   0.1973   0.04392   0.01951   0.0039   1.0000   1.0000
   3.000   0.2218   0.04600   0.02169   0.0048   1.0000   1.0000
   3.500   0.2418   0.04874   0.02459   0.0048   1.0000   1.0000
   4.000   0.2565   0.05234   0.02836   0.0039   1.0000   1.0000
   4.500   0.2679   0.05670   0.03285   0.0021   1.0000   1.0000
   5.000   0.2794   0.06147   0.03774  -0.0002   1.0000   1.0000
   5.500   0.2926   0.06642   0.04277  -0.0026   1.0000   1.0000
   6.000   0.3073   0.07148   0.04791  -0.0050   1.0000   1.0000
   6.500   0.3231   0.07665   0.05317  -0.0073   1.0000   1.0000
   7.000   0.3398   0.08195   0.05856  -0.0096   1.0000   1.0000
   7.500   0.3570   0.08738   0.06414  -0.0119   1.0000   1.0000
   8.000   0.3745   0.09293   0.06981  -0.0141   1.0000   1.0000
   8.500   0.3921   0.09860   0.07562  -0.0164   1.0000   1.0000
   9.000   0.4099   0.10439   0.08156  -0.0187   1.0000   1.0000
   9.500   0.4277   0.11030   0.08769  -0.0210   1.0000   1.0000
  10.000   0.4456   0.11631   0.09388  -0.0234   1.0000   1.0000
  10.500   0.4635   0.12243   0.10019  -0.0259   1.0000   1.0000
  11.000   0.4814   0.12864   0.10666  -0.0284   1.0000   1.0000
  11.500   0.4994   0.13494   0.11318  -0.0311   1.0000   1.0000
  12.000   0.5174   0.14135   0.11981  -0.0339   1.0000   1.0000
  12.500   0.5355   0.14785   0.12655  -0.0368   1.0000   1.0000
  13.000   0.5537   0.15445   0.13342  -0.0398   1.0000   1.0000
  13.500   0.5719   0.16112   0.14034  -0.0429   1.0000   1.0000
  14.000   0.5902   0.16789   0.14734  -0.0461   1.0000   1.0000
  14.500   0.6086   0.17475   0.15443  -0.0495   1.0000   1.0000
  15.000   0.6271   0.18169   0.16165  -0.0529   1.0000   1.0000
  15.500   0.6457   0.18871   0.16889  -0.0565   1.0000   1.0000
  16.000   0.6964   0.20538   0.18602  -0.0687   0.9570   1.0000
  16.500   0.7304   0.21382   0.19487  -0.0757   0.9043   1.0000
  17.000   0.7587   0.22235   0.20367  -0.0809   0.8634   1.0000
  17.500   0.7870   0.23172   0.21330  -0.0856   0.8221   1.0000
  18.000   0.8143   0.24112   0.22293  -0.0899   0.7795   1.0000
  18.500   0.8354   0.24740   0.22947  -0.0930   0.7449   1.0000
  19.000   0.8633   0.25911   0.24143  -0.0971   0.7072   1.0000
  19.500   0.8810   0.26362   0.24607  -0.0995   0.6737   1.0000
  20.000   0.9016   0.27099   0.25361  -0.1025   0.6440   1.0000
  20.500   0.9215   0.27810   0.26094  -0.1055   0.6138   1.0000
  21.000   0.9411   0.28510   0.26811  -0.1084   0.5834   1.0000
  21.500   0.9614   0.29350   0.27666  -0.1116   0.5571   1.0000
  22.000   0.9838   0.30448   0.28784  -0.1149   0.5305   1.0000
  23.000   1.0158   0.31462   0.29825  -0.1210   0.4836   1.0000
  23.500   1.0318   0.31986   0.30361  -0.1243   0.4625   1.0000
  24.000   1.0527   0.33171   0.31560  -0.1277   0.4413   1.0000
  24.500   1.0654   0.33365   0.31762  -0.1312   0.4229   1.0000
  25.000   1.0809   0.33910   0.32318  -0.1348   0.4045   1.0000
  25.500   1.0971   0.34580   0.33006  -0.1386   0.3875   1.0000
  26.000   1.1136   0.35325   0.33763  -0.1424   0.3707   1.0000
  26.500   1.1294   0.36036   0.34484  -0.1462   0.3550   1.0000
  27.000   1.1435   0.36511   0.34968  -0.1504   0.3413   1.0000
  27.500   1.1571   0.36958   0.35423  -0.1547   0.3289   1.0000
  28.000   1.1712   0.37516   0.35990  -0.1590   0.3168   1.0000
  28.500   1.1860   0.38245   0.36736  -0.1633   0.3050   1.0000
  29.000   1.2023   0.39334   0.37838  -0.1673   0.2928   1.0000
  29.500   1.2130   0.39277   0.37790  -0.1723   0.2826   1.0000
  30.000   1.2256   0.39778   0.38299  -0.1771   0.2741   1.0000
