
         XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0562   0.03528   0.01080  -0.0055   1.0000   1.0000
   0.500   0.0888   0.03566   0.01091  -0.0025   1.0000   1.0000
   1.000   0.1212   0.03618   0.01130   0.0003   1.0000   1.0000
   1.500   0.1533   0.03686   0.01195   0.0029   1.0000   1.0000
   2.000   0.1848   0.03773   0.01290   0.0052   1.0000   1.0000
   2.500   0.2152   0.03885   0.01421   0.0072   1.0000   1.0000
   3.000   0.2437   0.04029   0.01595   0.0087   1.0000   1.0000
   3.500   0.2689   0.04222   0.01826   0.0096   1.0000   1.0000
   4.000   0.2881   0.04495   0.02139   0.0096   1.0000   1.0000
   4.500   0.2999   0.04879   0.02562   0.0081   1.0000   1.0000
   5.000   0.3081   0.05353   0.03058   0.0055   1.0000   1.0000
   5.500   0.3180   0.05862   0.03585   0.0024   1.0000   1.0000
   6.000   0.3303   0.06384   0.04124  -0.0006   1.0000   1.0000
   6.500   0.3442   0.06918   0.04677  -0.0035   1.0000   1.0000
   7.000   0.3593   0.07466   0.05252  -0.0064   1.0000   1.0000
   7.500   0.3750   0.08033   0.05840  -0.0091   1.0000   1.0000
   8.000   0.3910   0.08619   0.06448  -0.0118   1.0000   1.0000
   8.500   0.4071   0.09224   0.07075  -0.0145   1.0000   1.0000
   9.000   0.4232   0.09848   0.07730  -0.0172   1.0000   1.0000
   9.500   0.4393   0.10490   0.08396  -0.0199   1.0000   1.0000
  10.000   0.4553   0.11149   0.09080  -0.0227   1.0000   1.0000
  10.500   0.4714   0.11824   0.09778  -0.0255   1.0000   1.0000
  11.000   0.4876   0.12511   0.10489  -0.0285   1.0000   1.0000
  11.500   0.5039   0.13208   0.11215  -0.0314   1.0000   1.0000
  12.000   0.5205   0.13913   0.11942  -0.0345   1.0000   1.0000
  12.500   0.5374   0.14625   0.12675  -0.0376   1.0000   1.0000
  13.000   0.5547   0.15342   0.13411  -0.0408   1.0000   1.0000
  13.500   0.5722   0.16063   0.14151  -0.0441   1.0000   1.0000
  14.000   0.5900   0.16788   0.14899  -0.0474   1.0000   1.0000
  14.500   0.6081   0.17517   0.15645  -0.0509   1.0000   1.0000
  15.000   0.6265   0.18249   0.16393  -0.0544   1.0000   1.0000
  15.500   0.6652   0.19512   0.17686  -0.0635   0.9742   1.0000
  16.000   0.7107   0.20911   0.19118  -0.0735   0.9160   1.0000
  16.500   0.7414   0.21756   0.19991  -0.0789   0.8629   1.0000
  17.000   0.7729   0.22806   0.21060  -0.0839   0.8104   1.0000
  17.500   0.7994   0.23718   0.21987  -0.0877   0.7675   1.0000
  18.000   0.8269   0.24775   0.23063  -0.0914   0.7260   1.0000
  18.500   0.8464   0.25323   0.23627  -0.0936   0.6862   1.0000
  19.000   0.8678   0.26087   0.24400  -0.0963   0.6499   1.0000
  19.500   0.8879   0.26800   0.25123  -0.0989   0.6178   1.0000
  20.000   0.9086   0.27592   0.25926  -0.1017   0.5867   1.0000
  20.500   0.9296   0.28450   0.26794  -0.1045   0.5557   1.0000
  21.000   0.9482   0.29143   0.27502  -0.1072   0.5274   1.0000
  21.500   0.9651   0.29743   0.28109  -0.1100   0.5037   1.0000
  22.000   0.9863   0.30794   0.29170  -0.1132   0.4802   1.0000
  22.500   1.0004   0.31121   0.29503  -0.1161   0.4582   1.0000
  23.000   1.0204   0.32151   0.30541  -0.1193   0.4365   1.0000
  23.500   1.0340   0.32453   0.30849  -0.1227   0.4174   1.0000
  24.000   1.0507   0.33121   0.31534  -0.1261   0.3990   1.0000
  24.500   1.0679   0.33918   0.32340  -0.1297   0.3821   1.0000
  25.000   1.0856   0.34851   0.33283  -0.1332   0.3657   1.0000
  25.500   1.1017   0.35615   0.34053  -0.1370   0.3505   1.0000
  26.000   1.1169   0.36266   0.34711  -0.1408   0.3361   1.0000
  26.500   1.1296   0.36511   0.34966  -0.1450   0.3231   1.0000
  27.000   1.1421   0.36764   0.35233  -0.1494   0.3120   1.0000
  27.500   1.1560   0.37301   0.35777  -0.1538   0.3015   1.0000
  28.000   1.1712   0.38117   0.36603  -0.1579   0.2905   1.0000
  28.500   1.1875   0.39234   0.37736  -0.1619   0.2781   1.0000
  29.000   1.1971   0.38950   0.37455  -0.1671   0.2692   1.0000
  29.500   1.2107   0.39640   0.38154  -0.1716   0.2607   1.0000
  30.000   1.2251   0.40542   0.39080  -0.1758   0.2501   1.0000
