  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0106   0.04285   0.02016  -0.0062   1.0000   1.0000
   0.500   0.0093   0.04239   0.01989  -0.0021   1.0000   1.0000
   1.000   0.0284   0.04202   0.01978   0.0021   1.0000   1.0000
   1.500   0.0466   0.04175   0.01984   0.0064   1.0000   1.0000
   2.000   0.0641   0.04160   0.02009   0.0106   1.0000   1.0000
   2.500   0.0833   0.04162   0.02056   0.0142   1.0000   1.0000
   3.000   0.1062   0.04191   0.02140   0.0168   1.0000   1.0000
   3.500   0.1327   0.04257   0.02270   0.0181   1.0000   1.0000
   4.000   0.1608   0.04375   0.02467   0.0181   1.0000   1.0000
   4.500   0.1861   0.04581   0.02759   0.0167   1.0000   1.0000
   5.000   0.2009   0.04948   0.03207   0.0130   1.0000   1.0000
   5.500   0.2051   0.05516   0.03829   0.0065   1.0000   1.0000
   6.000   0.2109   0.06173   0.04526  -0.0011   1.0000   1.0000
   6.500   0.2226   0.06846   0.05228  -0.0083   1.0000   1.0000
   7.500   0.3644   0.09263   0.07738  -0.0423   0.8584   1.0000
   8.000   0.3909   0.10066   0.08556  -0.0483   0.8439   1.0000
   8.500   0.3925   0.10669   0.09167  -0.0509   0.8726   1.0000
   9.500   0.3499   0.11084   0.09574  -0.0439   1.0000   1.0000
  10.000   0.3747   0.11825   0.10328  -0.0493   1.0000   1.0000
  10.500   0.4000   0.12574   0.11090  -0.0547   1.0000   1.0000
  11.000   0.4257   0.13330   0.11857  -0.0601   1.0000   1.0000
  11.500   0.4517   0.14093   0.12630  -0.0655   1.0000   1.0000
  12.000   0.4780   0.14862   0.13409  -0.0710   1.0000   1.0000
  12.500   0.5045   0.15636   0.14196  -0.0765   1.0000   1.0000
  13.000   0.5312   0.16418   0.14987  -0.0822   1.0000   1.0000
  13.500   0.5579   0.17206   0.15784  -0.0878   1.0000   1.0000
  14.000   0.5848   0.18000   0.16591  -0.0935   1.0000   1.0000
  14.500   0.6116   0.18799   0.17399  -0.0993   1.0000   1.0000
  15.000   0.6383   0.19605   0.18213  -0.1051   1.0000   1.0000
  15.500   0.6741   0.20543   0.19169  -0.1133   0.9856   1.0000
  16.000   0.7180   0.21570   0.20213  -0.1231   0.9450   1.0000
  16.500   0.7564   0.22423   0.21077  -0.1309   0.9015   1.0000
  17.000   0.7928   0.23265   0.21933  -0.1378   0.8568   1.0000
  17.500   0.8305   0.24322   0.23001  -0.1446   0.8139   1.0000
  18.000   0.8586   0.24855   0.23543  -0.1493   0.7741   1.0000
  18.500   0.8948   0.26045   0.24747  -0.1553   0.7340   1.0000
  19.000   0.9194   0.26514   0.25223  -0.1594   0.6981   1.0000
  19.500   0.9460   0.27198   0.25914  -0.1638   0.6639   1.0000
  20.000   0.9735   0.28034   0.26762  -0.1685   0.6329   1.0000
  20.500   1.0017   0.29019   0.27756  -0.1732   0.6023   1.0000
  21.000   1.0224   0.29392   0.28137  -0.1772   0.5739   1.0000
  21.500   1.0452   0.30056   0.28810  -0.1817   0.5488   1.0000
  22.000   1.0690   0.30823   0.29588  -0.1862   0.5232   1.0000
  22.500   1.0929   0.31731   0.30502  -0.1909   0.5022   1.0000
  23.000   1.1108   0.32035   0.30817  -0.1954   0.4819   1.0000
  23.500   1.1308   0.32597   0.31387  -0.2000   0.4610   1.0000
  24.000   1.1520   0.33330   0.32130  -0.2048   0.4411   1.0000
  24.500   1.1721   0.34027   0.32836  -0.2095   0.4232   1.0000
  25.000   1.1905   0.34566   0.33387  -0.2145   0.4074   1.0000
  25.500   1.2081   0.35069   0.33898  -0.2195   0.3924   1.0000
  26.000   1.2257   0.35600   0.34437  -0.2246   0.3777   1.0000
  26.500   1.2434   0.36200   0.35045  -0.2297   0.3641   1.0000
  27.000   1.2620   0.37026   0.35883  -0.2347   0.3509   1.0000
  27.500   1.2822   0.38176   0.37050  -0.2394   0.3368   1.0000
  28.000   1.2936   0.37847   0.36725  -0.2454   0.3262   1.0000
  28.500   1.3099   0.38484   0.37369  -0.2508   0.3160   1.0000
  29.000   1.3292   0.39862   0.38763  -0.2552   0.3032   1.0000
  29.500   1.3394   0.39359   0.38270  -0.2616   0.2941   1.0000
  30.000   1.3559   0.40370   0.39290  -0.2666   0.2852   1.0000
