  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0271   0.06480   0.05461  -0.0458   1.0000   0.5946
   0.500   0.1234   0.06315   0.05227  -0.0634   1.0000   0.6145
   1.000   0.2237   0.06375   0.05174  -0.0818   1.0000   0.6216
   1.500   0.2952   0.06453   0.05199  -0.0920   1.0000   0.6695
   2.500   0.3923   0.06964   0.05618  -0.1055   1.0000   1.0000
   3.000   0.4506   0.07518   0.05950  -0.1128   1.0000   1.0000
   3.500   0.4886   0.08020   0.06221  -0.1150   1.0000   1.0000
   4.000   0.5165   0.08516   0.06582  -0.1163   1.0000   1.0000
   4.500   0.5422   0.09025   0.06995  -0.1177   1.0000   1.0000
   5.000   0.5674   0.09548   0.07399  -0.1190   1.0000   1.0000
   5.500   0.5913   0.10083   0.07876  -0.1204   1.0000   1.0000
   6.000   0.6146   0.10630   0.08377  -0.1218   1.0000   1.0000
   6.500   0.6374   0.11187   0.08900  -0.1232   1.0000   1.0000
   7.000   0.6598   0.11754   0.09441  -0.1247   1.0000   1.0000
   7.500   0.6816   0.12329   0.09998  -0.1262   1.0000   1.0000
   8.000   0.7031   0.12912   0.10570  -0.1278   1.0000   1.0000
   8.500   0.7245   0.13501   0.11152  -0.1295   1.0000   1.0000
   9.000   0.7457   0.14097   0.11746  -0.1312   1.0000   1.0000
   9.500   0.7667   0.14699   0.12353  -0.1330   1.0000   1.0000
  10.000   0.7876   0.15307   0.12971  -0.1349   1.0000   1.0000
  10.500   0.8084   0.15922   0.13602  -0.1368   1.0000   1.0000
  11.000   0.8291   0.16542   0.14243  -0.1389   1.0000   1.0000
  11.500   0.8500   0.17171   0.14957  -0.1410   1.0000   1.0000
  12.000   0.8706   0.17805   0.15624  -0.1433   1.0000   1.0000
  12.500   0.8910   0.18446   0.16301  -0.1457   1.0000   1.0000
  13.000   0.9113   0.19094   0.17019  -0.1481   1.0000   1.0000
  13.500   0.9315   0.19751   0.17721  -0.1507   1.0000   1.0000
  14.000   0.9516   0.20418   0.18437  -0.1534   1.0000   1.0000
  14.500   0.9716   0.21095   0.19168  -0.1563   1.0000   1.0000
  15.000   0.9916   0.21783   0.19915  -0.1592   1.0000   1.0000
  15.500   1.0114   0.22483   0.20679  -0.1622   1.0000   1.0000
  16.000   1.0313   0.23196   0.21460  -0.1654   1.0000   1.0000
  16.500   1.0509   0.23879   0.22218  -0.1687   0.9992   1.0000
  17.000   1.0878   0.24726   0.23172  -0.1765   0.9625   1.0000
  17.500   1.1232   0.25844   0.24449  -0.1838   0.9184   1.0000
  18.000   1.1564   0.26874   0.25563  -0.1908   0.8392   1.0000
  18.500   1.1884   0.27933   0.26630  -0.1956   0.7175   1.0000
  19.000   1.2144   0.28974   0.27664  -0.1986   0.6373   1.0000
  19.500   1.2377   0.30005   0.28691  -0.2016   0.5860   1.0000
  20.000   1.2571   0.30716   0.29399  -0.2043   0.5437   1.0000
  20.500   1.2788   0.31701   0.30386  -0.2074   0.5099   1.0000
  21.000   1.2950   0.32313   0.30996  -0.2111   0.4906   1.0000
  21.500   1.3148   0.33239   0.31926  -0.2148   0.4699   1.0000
  22.000   1.3321   0.33980   0.32667  -0.2186   0.4529   1.0000
  22.500   1.3476   0.34472   0.33161  -0.2226   0.4354   1.0000
  23.000   1.3660   0.35304   0.33999  -0.2264   0.4175   1.0000
  23.500   1.3852   0.36356   0.35058  -0.2302   0.4016   1.0000
  24.000   1.4018   0.37094   0.35801  -0.2343   0.3880   1.0000
  24.500   1.4161   0.37492   0.36202  -0.2388   0.3760   1.0000
  25.000   1.4298   0.37867   0.36580  -0.2435   0.3664   1.0000
  25.500   1.4459   0.38662   0.37429  -0.2480   0.3583   1.0000
  26.000   1.4631   0.39642   0.38423  -0.2523   0.3484   1.0000
  26.500   1.4750   0.39772   0.38558  -0.2576   0.3414   1.0000
  27.000   1.4920   0.40897   0.39695  -0.2619   0.3334   1.0000
  27.500   1.5039   0.41032   0.39840  -0.2671   0.3255   1.0000
  28.000   1.5187   0.41880   0.40698  -0.2718   0.3189   1.0000
  28.500   1.5317   0.42312   0.41144  -0.2768   0.3106   1.0000
  29.000   1.5447   0.42929   0.41771  -0.2818   0.3048   1.0000
  29.500   1.5578   0.43521   0.42379  -0.2867   0.2965   1.0000
  30.000   1.5696   0.43994   0.42877  -0.2920   0.2910   1.0000
