  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1457   0.06599   0.05236  -0.0266   1.0000   0.6513
   0.500  -0.0655   0.06168   0.04757  -0.0369   1.0000   0.7158
   1.000  -0.0110   0.05724   0.04325  -0.0393   1.0000   0.8426
   1.500   0.2487   0.05920   0.03952  -0.0979   1.0000   1.0000
   2.000   0.2947   0.06162   0.04034  -0.0993   1.0000   1.0000
   2.500   0.3354   0.06417   0.04180  -0.1001   1.0000   1.0000
   3.000   0.3733   0.06690   0.04376  -0.1006   1.0000   1.0000
   3.500   0.4091   0.06985   0.04612  -0.1011   1.0000   1.0000
   4.000   0.4431   0.07303   0.04887  -0.1016   1.0000   1.0000
   4.500   0.4755   0.07645   0.05200  -0.1021   1.0000   1.0000
   5.000   0.5063   0.08013   0.05550  -0.1027   1.0000   1.0000
   5.500   0.5356   0.08407   0.05936  -0.1033   1.0000   1.0000
   6.000   0.5633   0.08828   0.06358  -0.1041   1.0000   1.0000
   6.500   0.5897   0.09277   0.06816  -0.1051   1.0000   1.0000
   7.000   0.6147   0.09755   0.07308  -0.1061   1.0000   1.0000
   7.500   0.6384   0.10262   0.07839  -0.1074   1.0000   1.0000
   8.000   0.6609   0.10796   0.08398  -0.1088   1.0000   1.0000
   8.500   0.6824   0.11358   0.08989  -0.1104   1.0000   1.0000
   9.000   0.7028   0.11945   0.09616  -0.1122   1.0000   1.0000
   9.500   0.7225   0.12555   0.10263  -0.1142   1.0000   1.0000
  10.000   0.7415   0.13188   0.10935  -0.1163   1.0000   1.0000
  10.500   0.7599   0.13841   0.11636  -0.1187   1.0000   1.0000
  11.000   0.7780   0.14511   0.12350  -0.1213   1.0000   1.0000
  11.500   0.7956   0.15197   0.13081  -0.1241   1.0000   1.0000
  12.000   0.8131   0.15898   0.13834  -0.1271   1.0000   1.0000
  12.500   0.8304   0.16614   0.14597  -0.1303   1.0000   1.0000
  13.000   0.8476   0.17345   0.15377  -0.1336   1.0000   1.0000
  13.500   0.8646   0.18089   0.16169  -0.1372   1.0000   1.0000
  14.000   0.8815   0.18847   0.16982  -0.1409   1.0000   1.0000
  14.500   0.8984   0.19622   0.17805  -0.1448   1.0000   1.0000
  15.000   0.9152   0.20415   0.18646  -0.1489   1.0000   1.0000
  16.000   0.9592   0.22160   0.20501  -0.1606   0.9823   1.0000
  16.500   0.9904   0.23044   0.21443  -0.1688   0.9462   1.0000
  17.000   1.0186   0.23897   0.22346  -0.1758   0.9091   1.0000
  17.500   1.0482   0.24997   0.23494  -0.1826   0.8701   1.0000
  18.000   1.0709   0.25571   0.24103  -0.1877   0.8329   1.0000
  18.500   1.0999   0.26835   0.25398  -0.1936   0.7959   1.0000
  19.000   1.1205   0.27404   0.25988  -0.1978   0.7634   1.0000
  19.500   1.1428   0.28175   0.26783  -0.2022   0.7324   1.0000
  20.000   1.1657   0.29067   0.27692  -0.2064   0.7028   1.0000
  20.500   1.1871   0.29830   0.28473  -0.2103   0.6747   1.0000
  21.000   1.2039   0.30248   0.28902  -0.2139   0.6519   1.0000
  21.500   1.2285   0.31481   0.30155  -0.2181   0.6272   1.0000
  22.000   1.2428   0.31682   0.30366  -0.2215   0.6072   1.0000
  22.500   1.2627   0.32463   0.31161  -0.2253   0.5847   1.0000
  23.000   1.2829   0.33443   0.32153  -0.2292   0.5653   1.0000
  23.500   1.2976   0.33747   0.32471  -0.2328   0.5471   1.0000
  24.000   1.3140   0.34276   0.33013  -0.2365   0.5279   1.0000
  24.500   1.3316   0.34991   0.33741  -0.2403   0.5095   1.0000
  25.000   1.3495   0.35824   0.34588  -0.2441   0.4916   1.0000
  25.500   1.3671   0.36703   0.35485  -0.2478   0.4747   1.0000
  26.000   1.3833   0.37456   0.36252  -0.2517   0.4587   1.0000
  26.500   1.3983   0.38061   0.36868  -0.2555   0.4433   1.0000
  27.000   1.4120   0.38516   0.37334  -0.2594   0.4283   1.0000
  27.500   1.4244   0.38797   0.37625  -0.2635   0.4143   1.0000
  28.000   1.4368   0.39103   0.37945  -0.2677   0.4010   1.0000
  28.500   1.4491   0.39514   0.38366  -0.2719   0.3883   1.0000
  29.000   1.4619   0.40061   0.38925  -0.2760   0.3760   1.0000
  29.500   1.4757   0.40826   0.39702  -0.2801   0.3636   1.0000
  30.000   1.4907   0.41914   0.40810  -0.2838   0.3505   1.0000
