  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0057   0.03868   0.01460  -0.0020   1.0000   1.0000
   0.500   0.0256   0.03905   0.01463   0.0005   1.0000   1.0000
   1.000   0.0587   0.03956   0.01490   0.0026   1.0000   1.0000
   1.500   0.0929   0.04023   0.01546   0.0042   1.0000   1.0000
   2.000   0.1276   0.04110   0.01632   0.0056   1.0000   1.0000
   2.500   0.1622   0.04219   0.01753   0.0066   1.0000   1.0000
   3.000   0.1956   0.04360   0.01916   0.0071   1.0000   1.0000
   3.500   0.2264   0.04546   0.02139   0.0071   1.0000   1.0000
   4.000   0.2515   0.04811   0.02448   0.0063   1.0000   1.0000
   4.500   0.2669   0.05207   0.02885   0.0042   1.0000   1.0000
   5.000   0.2768   0.05711   0.03413   0.0008   1.0000   1.0000
   5.500   0.2888   0.06238   0.03957  -0.0027   1.0000   1.0000
   6.000   0.3038   0.06763   0.04499  -0.0060   1.0000   1.0000
   6.500   0.3207   0.07294   0.05047  -0.0091   1.0000   1.0000
   7.000   0.3387   0.07837   0.05614  -0.0122   1.0000   1.0000
   7.500   0.3573   0.08396   0.06193  -0.0151   1.0000   1.0000
   8.000   0.3760   0.08973   0.06793  -0.0181   1.0000   1.0000
   8.500   0.3948   0.09568   0.07412  -0.0211   1.0000   1.0000
   9.000   0.4134   0.10183   0.08057  -0.0241   1.0000   1.0000
   9.500   0.4320   0.10815   0.08715  -0.0271   1.0000   1.0000
  10.000   0.4504   0.11465   0.09392  -0.0302   1.0000   1.0000
  10.500   0.4688   0.12130   0.10085  -0.0334   1.0000   1.0000
  11.000   0.4873   0.12811   0.10798  -0.0367   1.0000   1.0000
  11.500   0.5057   0.13505   0.11520  -0.0401   1.0000   1.0000
  12.000   0.5243   0.14213   0.12254  -0.0436   1.0000   1.0000
  12.500   0.5431   0.14933   0.13001  -0.0472   1.0000   1.0000
  13.000   0.5620   0.15665   0.13764  -0.0509   1.0000   1.0000
  13.500   0.5811   0.16407   0.14530  -0.0548   1.0000   1.0000
  14.000   0.6004   0.17160   0.15307  -0.0587   1.0000   1.0000
  14.500   0.6199   0.17922   0.16092  -0.0627   1.0000   1.0000
  15.000   0.6396   0.18694   0.16885  -0.0669   1.0000   1.0000
  15.500   0.6884   0.20261   0.18497  -0.0787   0.9583   1.0000
  16.000   0.7224   0.21246   0.19510  -0.0859   0.9121   1.0000
  16.500   0.7572   0.22449   0.20738  -0.0926   0.8649   1.0000
  17.000   0.7808   0.23082   0.21389  -0.0965   0.8268   1.0000
  17.500   0.8075   0.23958   0.22287  -0.1009   0.7877   1.0000
  18.000   0.8364   0.25021   0.23367  -0.1053   0.7474   1.0000
  18.500   0.8571   0.25574   0.23931  -0.1084   0.7138   1.0000
  19.000   0.8861   0.26763   0.25138  -0.1126   0.6761   1.0000
  19.500   0.9044   0.27169   0.25557  -0.1152   0.6427   1.0000
  20.000   0.9262   0.27896   0.26295  -0.1185   0.6114   1.0000
  20.500   0.9479   0.28658   0.27068  -0.1218   0.5811   1.0000
  21.000   0.9692   0.29422   0.27842  -0.1251   0.5513   1.0000
  21.500   0.9891   0.30117   0.28545  -0.1285   0.5246   1.0000
  22.000   1.0115   0.31132   0.29578  -0.1322   0.5007   1.0000
  22.500   1.0283   0.31568   0.30023  -0.1356   0.4774   1.0000
  23.000   1.0490   0.32515   0.30978  -0.1393   0.4558   1.0000
  23.500   1.0647   0.32889   0.31360  -0.1431   0.4355   1.0000
  24.000   1.0837   0.33671   0.32153  -0.1470   0.4164   1.0000
  24.500   1.1031   0.34595   0.33089  -0.1510   0.3991   1.0000
  25.000   1.1216   0.35487   0.33995  -0.1551   0.3828   1.0000
  25.500   1.1375   0.36034   0.34550  -0.1593   0.3675   1.0000
  26.000   1.1542   0.36719   0.35244  -0.1637   0.3528   1.0000
  26.500   1.1698   0.37259   0.35797  -0.1682   0.3391   1.0000
  27.000   1.1830   0.37420   0.35964  -0.1731   0.3273   1.0000
  27.500   1.1976   0.37885   0.36437  -0.1780   0.3163   1.0000
  28.000   1.2135   0.38618   0.37187  -0.1827   0.3052   1.0000
  28.500   1.2309   0.39728   0.38309  -0.1871   0.2931   1.0000
  29.000   1.2428   0.39705   0.38297  -0.1925   0.2828   1.0000
  29.500   1.2567   0.40246   0.38847  -0.1977   0.2748   1.0000
  30.000   1.2738   0.41569   0.40189  -0.2020   0.2641   1.0000
