  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0520   0.04302   0.02078  -0.0136   1.0000   1.0000
   0.500  -0.0204   0.04365   0.02083  -0.0116   1.0000   1.0000
   1.000   0.0126   0.04445   0.02115  -0.0100   1.0000   1.0000
   1.500   0.0465   0.04542   0.02176  -0.0086   1.0000   1.0000
   2.000   0.0810   0.04657   0.02264  -0.0076   1.0000   1.0000
   2.500   0.1158   0.04791   0.02381  -0.0067   1.0000   1.0000
   3.000   0.1504   0.04945   0.02527  -0.0061   1.0000   1.0000
   3.500   0.1847   0.05120   0.02703  -0.0058   1.0000   1.0000
   4.000   0.2183   0.05319   0.02913  -0.0056   1.0000   1.0000
   4.500   0.2509   0.05545   0.03159  -0.0057   1.0000   1.0000
   5.000   0.2821   0.05804   0.03446  -0.0060   1.0000   1.0000
   5.500   0.3114   0.06102   0.03780  -0.0067   1.0000   1.0000
   6.000   0.3378   0.06453   0.04176  -0.0078   1.0000   1.0000
   6.500   0.3600   0.06876   0.04649  -0.0094   1.0000   1.0000
   7.000   0.3763   0.07400   0.05226  -0.0119   1.0000   1.0000
   7.500   0.3861   0.08050   0.05925  -0.0154   1.0000   1.0000
   8.000   0.3926   0.08789   0.06701  -0.0196   1.0000   1.0000
   8.500   0.4003   0.09553   0.07492  -0.0238   1.0000   1.0000
   9.000   0.4105   0.10309   0.08270  -0.0278   1.0000   1.0000
   9.500   0.4230   0.11052   0.09031  -0.0315   1.0000   1.0000
  10.000   0.4375   0.11785   0.09781  -0.0351   1.0000   1.0000
  10.500   0.4533   0.12509   0.10519  -0.0387   1.0000   1.0000
  11.000   0.4703   0.13227   0.11249  -0.0421   1.0000   1.0000
  11.500   0.4881   0.13941   0.11974  -0.0456   1.0000   1.0000
  12.000   0.5067   0.14653   0.12699  -0.0491   1.0000   1.0000
  12.500   0.5259   0.15363   0.13419  -0.0526   1.0000   1.0000
  13.000   0.5454   0.16073   0.14138  -0.0562   1.0000   1.0000
  13.500   0.5654   0.16784   0.14858  -0.0598   1.0000   1.0000
  14.000   0.5856   0.17496   0.15582  -0.0635   1.0000   1.0000
  14.500   0.6222   0.18673   0.16777  -0.0714   0.9840   1.0000
  15.000   0.6571   0.19590   0.17714  -0.0788   0.9519   1.0000
  15.500   0.6886   0.20493   0.18631  -0.0849   0.9212   1.0000
  16.000   0.7217   0.21615   0.19767  -0.0912   0.8918   1.0000
  16.500   0.7442   0.22113   0.20278  -0.0949   0.8635   1.0000
  17.000   0.7748   0.23242   0.21420  -0.1003   0.8366   1.0000
  17.500   0.7945   0.23624   0.21814  -0.1033   0.8104   1.0000
  18.000   0.8235   0.24698   0.22903  -0.1082   0.7832   1.0000
  18.500   0.8440   0.25233   0.23444  -0.1115   0.7595   1.0000
  19.000   0.8658   0.25826   0.24050  -0.1149   0.7336   1.0000
  19.500   0.8945   0.27067   0.25305  -0.1196   0.7083   1.0000
  20.000   0.9108   0.27290   0.25535  -0.1223   0.6859   1.0000
  20.500   0.9320   0.27923   0.26182  -0.1259   0.6612   1.0000
  21.000   0.9589   0.29180   0.27452  -0.1301   0.6374   1.0000
  21.500   0.9747   0.29411   0.27693  -0.1332   0.6168   1.0000
  22.000   0.9930   0.29871   0.28163  -0.1366   0.5945   1.0000
  22.500   1.0139   0.30621   0.28928  -0.1403   0.5723   1.0000
  23.000   1.0367   0.31675   0.29998  -0.1442   0.5511   1.0000
  23.500   1.0550   0.32297   0.30627  -0.1479   0.5322   1.0000
  24.000   1.0714   0.32711   0.31054  -0.1515   0.5137   1.0000
  24.500   1.0884   0.33215   0.31570  -0.1553   0.4954   1.0000
  25.000   1.1054   0.33755   0.32124  -0.1592   0.4776   1.0000
  25.500   1.1224   0.34346   0.32727  -0.1632   0.4604   1.0000
  26.000   1.1395   0.34998   0.33392  -0.1672   0.4439   1.0000
  26.500   1.1569   0.35739   0.34149  -0.1713   0.4278   1.0000
  27.000   1.1744   0.36559   0.34983  -0.1754   0.4117   1.0000
  27.500   1.1899   0.37107   0.35551  -0.1796   0.3961   1.0000
  28.000   1.2017   0.37117   0.35570  -0.1841   0.3829   1.0000
  28.500   1.2157   0.37554   0.36018  -0.1887   0.3706   1.0000
  29.000   1.2318   0.38409   0.36890  -0.1931   0.3580   1.0000
  29.500   1.2488   0.39484   0.37986  -0.1973   0.3437   1.0000
  30.000   1.2579   0.39119   0.37631  -0.2026   0.3333   1.0000
