  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2010   0.07374   0.05665  -0.0034   1.0000   1.0000
   0.500  -0.1820   0.07542   0.05766  -0.0040   1.0000   1.0000
   1.000  -0.1588   0.07768   0.05928  -0.0050   1.0000   1.0000
   1.500  -0.1332   0.08037   0.06138  -0.0064   1.0000   1.0000
   2.000  -0.1064   0.08339   0.06387  -0.0079   1.0000   1.0000
   2.500  -0.0789   0.08670   0.06669  -0.0096   1.0000   1.0000
   3.000  -0.0509   0.09024   0.06979  -0.0114   1.0000   1.0000
   3.500  -0.0228   0.09400   0.07316  -0.0132   1.0000   1.0000
   4.000   0.0054   0.09795   0.07674  -0.0152   1.0000   1.0000
   4.500   0.0335   0.10207   0.08053  -0.0172   1.0000   1.0000
   5.000   0.0616   0.10635   0.08451  -0.0193   1.0000   1.0000
   5.500   0.0896   0.11076   0.08866  -0.0215   1.0000   1.0000
   6.000   0.1176   0.11530   0.09296  -0.0238   1.0000   1.0000
   6.500   0.1453   0.11996   0.09741  -0.0261   1.0000   1.0000
   7.000   0.1730   0.12473   0.10199  -0.0285   1.0000   1.0000
   7.500   0.2005   0.12961   0.10670  -0.0310   1.0000   1.0000
   8.000   0.2279   0.13458   0.11153  -0.0336   1.0000   1.0000
   8.500   0.2552   0.13964   0.11648  -0.0363   1.0000   1.0000
   9.000   0.2823   0.14480   0.12154  -0.0391   1.0000   1.0000
   9.500   0.3093   0.15005   0.12670  -0.0419   1.0000   1.0000
  10.000   0.3361   0.15537   0.13197  -0.0449   1.0000   1.0000
  10.500   0.3627   0.16079   0.13734  -0.0479   1.0000   1.0000
  11.000   0.3892   0.16628   0.14282  -0.0511   1.0000   1.0000
  11.500   0.4155   0.17186   0.14838  -0.0543   1.0000   1.0000
  12.000   0.4415   0.17753   0.15406  -0.0576   1.0000   1.0000
  12.500   0.4674   0.18327   0.15983  -0.0610   1.0000   1.0000
  13.000   0.4931   0.18910   0.16570  -0.0645   1.0000   1.0000
  13.500   0.5186   0.19501   0.17165  -0.0681   1.0000   1.0000
  14.000   0.5643   0.20633   0.18311  -0.0768   0.9768   1.0000
  14.500   0.6044   0.21358   0.19049  -0.0838   0.9407   1.0000
  15.000   0.6414   0.22098   0.19802  -0.0898   0.9040   1.0000
  15.500   0.6751   0.22863   0.20579  -0.0949   0.8723   1.0000
  16.000   0.7096   0.23776   0.21506  -0.1001   0.8416   1.0000
  16.500   0.7340   0.24082   0.21824  -0.1033   0.8132   1.0000
  17.000   0.7671   0.25106   0.22864  -0.1082   0.7858   1.0000
  17.500   0.7907   0.25553   0.23323  -0.1116   0.7636   1.0000
  18.000   0.8137   0.25925   0.23709  -0.1148   0.7388   1.0000
  18.500   0.8399   0.26620   0.24422  -0.1187   0.7157   1.0000
  19.000   0.8648   0.27300   0.25119  -0.1226   0.6957   1.0000
  19.500   0.8906   0.28105   0.25944  -0.1266   0.6751   1.0000
  20.000   0.9145   0.28814   0.26671  -0.1305   0.6559   1.0000
  20.500   0.9341   0.29146   0.27020  -0.1340   0.6391   1.0000
  21.000   0.9545   0.29593   0.27486  -0.1377   0.6218   1.0000
  21.500   0.9744   0.30032   0.27943  -0.1415   0.6053   1.0000
  22.000   0.9939   0.30509   0.28440  -0.1455   0.5914   1.0000
  22.500   1.0155   0.31232   0.29184  -0.1498   0.5771   1.0000
  23.000   1.0389   0.32194   0.30171  -0.1542   0.5615   1.0000
  23.500   1.0563   0.32450   0.30450  -0.1582   0.5471   1.0000
  24.000   1.0723   0.32671   0.30690  -0.1624   0.5354   1.0000
  24.500   1.0930   0.33505   0.31550  -0.1670   0.5228   1.0000
  25.000   1.1137   0.34310   0.32383  -0.1714   0.5088   1.0000
  25.500   1.1268   0.34237   0.32330  -0.1759   0.4987   1.0000
  26.000   1.1475   0.35254   0.33373  -0.1806   0.4873   1.0000
  26.500   1.1633   0.35503   0.33648  -0.1852   0.4747   1.0000
  27.000   1.1787   0.35882   0.34051  -0.1901   0.4661   1.0000
  27.500   1.2005   0.37239   0.35441  -0.1948   0.4533   1.0000
  28.000   1.2104   0.36744   0.34965  -0.1999   0.4445   1.0000
  28.500   1.2309   0.38109   0.36361  -0.2048   0.4344   1.0000
  29.000   1.2418   0.37762   0.36038  -0.2099   0.4241   1.0000
  29.500   1.2590   0.38706   0.37010  -0.2150   0.4156   1.0000
  30.000   1.2722   0.38828   0.37159  -0.2203   0.4048   1.0000
