  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1113   0.05204   0.03326  -0.0026   1.0000   1.0000
   0.500  -0.1053   0.05396   0.03464  -0.0007   1.0000   1.0000
   1.000  -0.0951   0.05610   0.03624   0.0005   1.0000   1.0000
   1.500  -0.0815   0.05839   0.03803   0.0013   1.0000   1.0000
   2.000  -0.0654   0.06086   0.03999   0.0017   1.0000   1.0000
   2.500  -0.0472   0.06348   0.04216   0.0019   1.0000   1.0000
   3.000  -0.0277   0.06626   0.04451   0.0019   1.0000   1.0000
   3.500  -0.0072   0.06921   0.04707   0.0017   1.0000   1.0000
   4.000   0.0142   0.07231   0.04981   0.0014   1.0000   1.0000
   4.500   0.0361   0.07558   0.05276   0.0009   1.0000   1.0000
   5.000   0.0584   0.07901   0.05591   0.0003   1.0000   1.0000
   5.500   0.0810   0.08260   0.05924  -0.0004   1.0000   1.0000
   6.000   0.1037   0.08633   0.06275  -0.0012   1.0000   1.0000
   6.500   0.1265   0.09021   0.06644  -0.0022   1.0000   1.0000
   7.000   0.1493   0.09421   0.07029  -0.0032   1.0000   1.0000
   7.500   0.1721   0.09835   0.07430  -0.0044   1.0000   1.0000
   8.000   0.1948   0.10261   0.07846  -0.0056   1.0000   1.0000
   8.500   0.2174   0.10698   0.08277  -0.0069   1.0000   1.0000
   9.000   0.2400   0.11147   0.08720  -0.0084   1.0000   1.0000
   9.500   0.2624   0.11604   0.09176  -0.0099   1.0000   1.0000
  10.000   0.2847   0.12072   0.09643  -0.0116   1.0000   1.0000
  10.500   0.3069   0.12547   0.10123  -0.0133   1.0000   1.0000
  11.000   0.3290   0.13032   0.10611  -0.0152   1.0000   1.0000
  11.500   0.3509   0.13524   0.11109  -0.0172   1.0000   1.0000
  12.000   0.3727   0.14024   0.11619  -0.0192   1.0000   1.0000
  12.500   0.3944   0.14532   0.12136  -0.0214   1.0000   1.0000
  13.000   0.4159   0.15047   0.12665  -0.0237   1.0000   1.0000
  13.500   0.4373   0.15569   0.13200  -0.0261   1.0000   1.0000
  14.000   0.4584   0.16099   0.13745  -0.0286   1.0000   1.0000
  14.500   0.4794   0.16639   0.14303  -0.0312   1.0000   1.0000
  15.000   0.5002   0.17185   0.14866  -0.0339   1.0000   1.0000
  15.500   0.5208   0.17739   0.15441  -0.0367   1.0000   1.0000
  16.000   0.5546   0.18699   0.16429  -0.0431   0.9844   1.0000
  16.500   0.5933   0.19697   0.17461  -0.0507   0.9489   1.0000
  17.000   0.6253   0.20484   0.18277  -0.0565   0.9148   1.0000
  17.500   0.6547   0.21235   0.19059  -0.0614   0.8812   1.0000
  18.000   0.6832   0.22084   0.19937  -0.0660   0.8506   1.0000
  18.500   0.7122   0.23026   0.20908  -0.0706   0.8181   1.0000
  19.000   0.7330   0.23411   0.21322  -0.0737   0.7884   1.0000
  19.500   0.7550   0.24002   0.21939  -0.0770   0.7598   1.0000
  20.000   0.7821   0.25083   0.23051  -0.0812   0.7311   1.0000
  20.500   0.7989   0.25323   0.23315  -0.0837   0.7035   1.0000
  21.000   0.8227   0.26290   0.24310  -0.0875   0.6774   1.0000
  21.500   0.8394   0.26616   0.24662  -0.0902   0.6509   1.0000
  22.000   0.8631   0.27706   0.25778  -0.0939   0.6255   1.0000
  22.500   0.8771   0.27891   0.25986  -0.0966   0.6022   1.0000
  23.000   0.8969   0.28649   0.26769  -0.0999   0.5772   1.0000
  23.500   0.9180   0.29704   0.27846  -0.1035   0.5548   1.0000
  24.000   0.9315   0.29934   0.28093  -0.1065   0.5344   1.0000
  24.500   0.9467   0.30373   0.28552  -0.1098   0.5136   1.0000
  25.000   0.9631   0.30956   0.29155  -0.1131   0.4929   1.0000
  25.500   0.9795   0.31601   0.29817  -0.1166   0.4736   1.0000
  26.000   0.9955   0.32236   0.30472  -0.1201   0.4555   1.0000
  26.500   1.0104   0.32770   0.31020  -0.1237   0.4388   1.0000
  27.000   1.0245   0.33251   0.31514  -0.1274   0.4234   1.0000
  27.500   1.0386   0.33782   0.32061  -0.1311   0.4091   1.0000
  28.000   1.0540   0.34524   0.32817  -0.1349   0.3955   1.0000
  28.500   1.0716   0.35650   0.33959  -0.1387   0.3809   1.0000
  29.000   1.0812   0.35486   0.33808  -0.1427   0.3687   1.0000
  29.500   1.0936   0.35943   0.34276  -0.1468   0.3584   1.0000
