  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1050   0.04932   0.02743  -0.0089   1.0000   1.0000
   0.500  -0.0845   0.05024   0.02771  -0.0064   1.0000   1.0000
   1.000  -0.0615   0.05139   0.02829  -0.0044   1.0000   1.0000
   1.500  -0.0368   0.05276   0.02916  -0.0029   1.0000   1.0000
   2.000  -0.0109   0.05434   0.03031  -0.0017   1.0000   1.0000
   2.500   0.0158   0.05614   0.03174  -0.0008   1.0000   1.0000
   3.000   0.0429   0.05814   0.03345  -0.0001   1.0000   1.0000
   3.500   0.0701   0.06035   0.03544   0.0003   1.0000   1.0000
   4.000   0.0972   0.06279   0.03771   0.0004   1.0000   1.0000
   4.500   0.1240   0.06546   0.04028   0.0004   1.0000   1.0000
   5.000   0.1501   0.06838   0.04316   0.0002   1.0000   1.0000
   5.500   0.1755   0.07155   0.04634  -0.0003   1.0000   1.0000
   6.000   0.2002   0.07498   0.04982  -0.0009   1.0000   1.0000
   6.500   0.2241   0.07868   0.05363  -0.0018   1.0000   1.0000
   7.000   0.2472   0.08263   0.05770  -0.0028   1.0000   1.0000
   7.500   0.2698   0.08681   0.06204  -0.0039   1.0000   1.0000
   8.000   0.2919   0.09118   0.06660  -0.0052   1.0000   1.0000
   8.500   0.3138   0.09572   0.07137  -0.0066   1.0000   1.0000
   9.000   0.3354   0.10042   0.07630  -0.0081   1.0000   1.0000
   9.500   0.3568   0.10525   0.08140  -0.0097   1.0000   1.0000
  10.000   0.3781   0.11021   0.08667  -0.0114   1.0000   1.0000
  10.500   0.3992   0.11531   0.09210  -0.0132   1.0000   1.0000
  11.000   0.4199   0.12056   0.09773  -0.0152   1.0000   1.0000
  11.500   0.4402   0.12599   0.10356  -0.0173   1.0000   1.0000
  12.000   0.4599   0.13167   0.10967  -0.0196   1.0000   1.0000
  12.500   0.4784   0.13769   0.11620  -0.0223   1.0000   1.0000
  13.000   0.4954   0.14426   0.12326  -0.0253   1.0000   1.0000
  13.500   0.5098   0.15164   0.13111  -0.0291   1.0000   1.0000
  14.000   0.5220   0.15995   0.13974  -0.0336   1.0000   1.0000
  14.500   0.5352   0.16843   0.14839  -0.0382   1.0000   1.0000
  15.000   0.5858   0.18533   0.16565  -0.0519   0.9479   1.0000
  15.500   0.6270   0.19869   0.17918  -0.0607   0.8884   1.0000
  16.000   0.6530   0.20604   0.18666  -0.0653   0.8454   1.0000
  16.500   0.6804   0.21532   0.19604  -0.0698   0.8108   1.0000
  17.000   0.7102   0.22644   0.20728  -0.0746   0.7779   1.0000
  17.500   0.7277   0.23072   0.21160  -0.0771   0.7539   1.0000
  18.000   0.7500   0.23778   0.21873  -0.0805   0.7281   1.0000
  18.500   0.7765   0.24840   0.22945  -0.0846   0.7050   1.0000
  19.000   0.7965   0.25486   0.23597  -0.0877   0.6852   1.0000
  19.500   0.8149   0.26000   0.24116  -0.0907   0.6656   1.0000
  20.000   0.8342   0.26593   0.24715  -0.0939   0.6464   1.0000
  20.500   0.8538   0.27218   0.25349  -0.0971   0.6276   1.0000
  21.000   0.8735   0.27865   0.26004  -0.1005   0.6095   1.0000
  21.500   0.8930   0.28530   0.26676  -0.1040   0.5924   1.0000
  22.000   0.9124   0.29210   0.27366  -0.1075   0.5756   1.0000
  22.500   0.9320   0.29939   0.28104  -0.1111   0.5593   1.0000
  23.000   0.9524   0.30781   0.28958  -0.1148   0.5432   1.0000
  23.500   0.9737   0.31771   0.29960  -0.1186   0.5268   1.0000
  24.000   0.9869   0.31843   0.30041  -0.1220   0.5123   1.0000
  24.500   1.0022   0.32223   0.30430  -0.1257   0.4989   1.0000
  25.000   1.0198   0.32920   0.31137  -0.1296   0.4862   1.0000
  25.500   1.0406   0.34047   0.32279  -0.1335   0.4722   1.0000
  26.000   1.0540   0.34174   0.32418  -0.1374   0.4588   1.0000
  26.500   1.0683   0.34546   0.32799  -0.1415   0.4477   1.0000
  27.000   1.0868   0.35518   0.33785  -0.1456   0.4355   1.0000
  27.500   1.1023   0.36026   0.34309  -0.1496   0.4224   1.0000
  28.000   1.1147   0.36201   0.34492  -0.1540   0.4128   1.0000
  28.500   1.1326   0.37271   0.35579  -0.1582   0.4016   1.0000
  29.000   1.1456   0.37489   0.35812  -0.1625   0.3896   1.0000
  29.500   1.1583   0.37818   0.36153  -0.1671   0.3805   1.0000
  30.000   1.1761   0.39102   0.37454  -0.1712   0.3693   1.0000
