  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1385   0.09011   0.06899  -0.0060   1.0000   1.0000
   0.500  -0.1454   0.08921   0.06782  -0.0023   1.0000   1.0000
   1.000  -0.1509   0.08847   0.06680   0.0016   1.0000   1.0000
   1.500  -0.1542   0.08796   0.06598   0.0054   1.0000   1.0000
   2.000  -0.1549   0.08773   0.06543   0.0092   1.0000   1.0000
   2.500  -0.1525   0.08782   0.06519   0.0127   1.0000   1.0000
   3.000  -0.1470   0.08823   0.06528   0.0160   1.0000   1.0000
   3.500  -0.1388   0.08895   0.06567   0.0189   1.0000   1.0000
   4.000  -0.1283   0.08995   0.06637   0.0215   1.0000   1.0000
   4.500  -0.1158   0.09122   0.06736   0.0238   1.0000   1.0000
   5.000  -0.1017   0.09272   0.06861   0.0258   1.0000   1.0000
   5.500  -0.0863   0.09443   0.07011   0.0276   1.0000   1.0000
   6.000  -0.0701   0.09636   0.07184   0.0291   1.0000   1.0000
   6.500  -0.0530   0.09846   0.07378   0.0304   1.0000   1.0000
   7.000  -0.0353   0.10075   0.07594   0.0315   1.0000   1.0000
   7.500  -0.0172   0.10321   0.07830   0.0324   1.0000   1.0000
   8.000   0.0011   0.10582   0.08084   0.0332   1.0000   1.0000
   8.500   0.0197   0.10860   0.08357   0.0337   1.0000   1.0000
   9.000   0.0384   0.11153   0.08649   0.0341   1.0000   1.0000
   9.500   0.0572   0.11461   0.08958   0.0342   1.0000   1.0000
  10.000   0.0760   0.11785   0.09285   0.0342   1.0000   1.0000
  10.500   0.0947   0.12123   0.09629   0.0340   1.0000   1.0000
  11.000   0.1134   0.12476   0.09990   0.0336   1.0000   1.0000
  11.500   0.1319   0.12844   0.10368   0.0330   1.0000   1.0000
  12.000   0.1502   0.13226   0.10761   0.0323   1.0000   1.0000
  12.500   0.1683   0.13623   0.11171   0.0313   1.0000   1.0000
  13.000   0.1862   0.14034   0.11595   0.0302   1.0000   1.0000
  13.500   0.2039   0.14459   0.12036   0.0289   1.0000   1.0000
  14.000   0.2214   0.14897   0.12489   0.0274   1.0000   1.0000
  14.500   0.2388   0.15348   0.12956   0.0257   1.0000   1.0000
  15.000   0.2560   0.15812   0.13438   0.0239   1.0000   1.0000
  15.500   0.2730   0.16290   0.13932   0.0219   1.0000   1.0000
  16.500   0.3533   0.18532   0.16232   0.0062   0.9295   1.0000
  17.000   0.3858   0.19503   0.17227   0.0007   0.8926   1.0000
  17.500   0.4121   0.20181   0.17925  -0.0033   0.8583   1.0000
  18.000   0.4330   0.20585   0.18345  -0.0061   0.8267   1.0000
  18.500   0.4544   0.21168   0.18943  -0.0090   0.7995   1.0000
  19.000   0.4798   0.22023   0.19816  -0.0125   0.7708   1.0000
  19.500   0.4974   0.22447   0.20249  -0.0148   0.7478   1.0000
  20.000   0.5158   0.22906   0.20723  -0.0172   0.7238   1.0000
  20.500   0.5377   0.23657   0.21488  -0.0203   0.7010   1.0000
  21.000   0.5601   0.24535   0.22380  -0.0234   0.6806   1.0000
  21.500   0.5774   0.25033   0.22887  -0.0259   0.6619   1.0000
  22.000   0.5946   0.25534   0.23398  -0.0284   0.6441   1.0000
  22.500   0.6121   0.26083   0.23957  -0.0311   0.6266   1.0000
  23.000   0.6305   0.26718   0.24605  -0.0339   0.6095   1.0000
  23.500   0.6469   0.27184   0.25083  -0.0365   0.5932   1.0000
  24.000   0.6605   0.27402   0.25307  -0.0390   0.5781   1.0000
  24.500   0.6745   0.27710   0.25622  -0.0416   0.5644   1.0000
  25.000   0.6902   0.28199   0.26121  -0.0445   0.5511   1.0000
  25.500   0.7081   0.28917   0.26849  -0.0477   0.5378   1.0000
  26.500   0.7380   0.29731   0.27685  -0.0536   0.5106   1.0000
  27.000   0.7520   0.30132   0.28092  -0.0568   0.4996   1.0000
  27.500   0.7705   0.31023   0.28994  -0.0602   0.4872   1.0000
  28.000   0.7833   0.31233   0.29215  -0.0633   0.4746   1.0000
  28.500   0.7954   0.31488   0.29478  -0.0665   0.4648   1.0000
  29.000   0.8137   0.32477   0.30479  -0.0700   0.4532   1.0000
  29.500   0.8239   0.32434   0.30445  -0.0733   0.4421   1.0000
  30.000   0.8372   0.32903   0.30922  -0.0768   0.4329   1.0000
