  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0002   0.04356   0.02079   0.0082   1.0000   1.0000
   0.500   0.0071   0.04367   0.02074   0.0134   1.0000   1.0000
   1.000   0.0171   0.04390   0.02085   0.0182   1.0000   1.0000
   1.500   0.0301   0.04429   0.02116   0.0224   1.0000   1.0000
   2.000   0.0453   0.04488   0.02172   0.0262   1.0000   1.0000
   2.500   0.0614   0.04570   0.02259   0.0294   1.0000   1.0000
   3.000   0.0776   0.04687   0.02387   0.0321   1.0000   1.0000
   3.500   0.0918   0.04852   0.02572   0.0341   1.0000   1.0000
   4.000   0.1016   0.05088   0.02826   0.0352   1.0000   1.0000
   4.500   0.1082   0.05395   0.03144   0.0353   1.0000   1.0000
   5.000   0.1162   0.05739   0.03496   0.0348   1.0000   1.0000
   5.500   0.1266   0.06107   0.03879   0.0338   1.0000   1.0000
   6.000   0.1383   0.06504   0.04291   0.0324   1.0000   1.0000
   6.500   0.1501   0.06942   0.04745   0.0306   1.0000   1.0000
   7.000   0.1616   0.07425   0.05248   0.0284   1.0000   1.0000
   7.500   0.1731   0.07951   0.05788   0.0260   1.0000   1.0000
   8.000   0.1851   0.08509   0.06357   0.0234   1.0000   1.0000
   8.500   0.1986   0.09072   0.06926   0.0209   1.0000   1.0000
   9.000   0.2137   0.09631   0.07494   0.0185   1.0000   1.0000
   9.500   0.2299   0.10188   0.08055   0.0161   1.0000   1.0000
  10.000   0.2471   0.10738   0.08611   0.0138   1.0000   1.0000
  10.500   0.2651   0.11288   0.09168   0.0116   1.0000   1.0000
  11.000   0.2835   0.11838   0.09730   0.0093   1.0000   1.0000
  11.500   0.3023   0.12389   0.10291   0.0069   1.0000   1.0000
  12.000   0.3215   0.12942   0.10853   0.0045   1.0000   1.0000
  12.500   0.3408   0.13497   0.11421   0.0020   1.0000   1.0000
  13.000   0.3603   0.14059   0.11997  -0.0005   1.0000   1.0000
  13.500   0.3798   0.14626   0.12587  -0.0032   1.0000   1.0000
  14.000   0.3993   0.15200   0.13178  -0.0059   1.0000   1.0000
  14.500   0.4188   0.15785   0.13782  -0.0088   1.0000   1.0000
  15.000   0.4381   0.16381   0.14396  -0.0118   1.0000   1.0000
  15.500   0.4620   0.17115   0.15155  -0.0161   0.9952   1.0000
  16.000   0.5110   0.18570   0.16651  -0.0271   0.9479   1.0000
  16.500   0.5527   0.19884   0.18012  -0.0354   0.8943   1.0000
  17.000   0.5808   0.20708   0.18860  -0.0403   0.8531   1.0000
  17.500   0.6104   0.21721   0.19891  -0.0451   0.8082   1.0000
  18.000   0.6363   0.22589   0.20773  -0.0488   0.7653   1.0000
  18.500   0.6557   0.23103   0.21305  -0.0515   0.7307   1.0000
  19.000   0.6810   0.24056   0.22269  -0.0549   0.6927   1.0000
  19.500   0.7008   0.24630   0.22851  -0.0575   0.6580   1.0000
  20.000   0.7228   0.25429   0.23660  -0.0604   0.6267   1.0000
  20.500   0.7417   0.26043   0.24280  -0.0632   0.6003   1.0000
  21.000   0.7616   0.26791   0.25037  -0.0663   0.5780   1.0000
  21.500   0.7836   0.27709   0.25973  -0.0694   0.5523   1.0000
  22.000   0.8016   0.28261   0.26533  -0.0721   0.5262   1.0000
  22.500   0.8179   0.28691   0.26968  -0.0748   0.5016   1.0000
  23.000   0.8355   0.29314   0.27594  -0.0778   0.4801   1.0000
  23.500   0.8544   0.30054   0.28343  -0.0810   0.4586   1.0000
  24.000   0.8719   0.30770   0.29063  -0.0842   0.4406   1.0000
  24.500   0.8864   0.31151   0.29447  -0.0875   0.4232   1.0000
  25.000   0.9023   0.31709   0.30021  -0.0908   0.4050   1.0000
  25.500   0.9199   0.32487   0.30805  -0.0942   0.3871   1.0000
  26.000   0.9378   0.33409   0.31735  -0.0976   0.3708   1.0000
  26.500   0.9524   0.33927   0.32257  -0.1012   0.3566   1.0000
  27.000   0.9645   0.34126   0.32458  -0.1051   0.3444   1.0000
  27.500   0.9775   0.34482   0.32817  -0.1090   0.3329   1.0000
  28.000   0.9913   0.34996   0.33336  -0.1130   0.3221   1.0000
  28.500   1.0062   0.35698   0.34052  -0.1169   0.3107   1.0000
  29.000   1.0220   0.36604   0.34966  -0.1207   0.2985   1.0000
  29.500   1.0324   0.36602   0.34971  -0.1250   0.2880   1.0000
  30.000   1.0441   0.36954   0.35327  -0.1294   0.2794   1.0000
