  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0548   0.05019   0.03342   0.0123   1.0000   1.0000
   0.500  -0.0822   0.05167   0.03471   0.0153   1.0000   1.0000
   1.000  -0.0926   0.05383   0.03656   0.0157   1.0000   1.0000
   1.500  -0.0895   0.05646   0.03886   0.0145   1.0000   1.0000
   2.000  -0.0783   0.05941   0.04150   0.0128   1.0000   1.0000
   2.500  -0.0624   0.06263   0.04443   0.0108   1.0000   1.0000
   3.000  -0.0437   0.06609   0.04762   0.0086   1.0000   1.0000
   3.500  -0.0231   0.06977   0.05106   0.0064   1.0000   1.0000
   4.000  -0.0013   0.07368   0.05475   0.0041   1.0000   1.0000
   4.500   0.0212   0.07780   0.05867   0.0018   1.0000   1.0000
   5.000   0.0442   0.08212   0.06281  -0.0005   1.0000   1.0000
   5.500   0.0675   0.08661   0.06715  -0.0029   1.0000   1.0000
   6.000   0.0910   0.09127   0.07166  -0.0052   1.0000   1.0000
   6.500   0.1146   0.09607   0.07633  -0.0076   1.0000   1.0000
   7.000   0.1383   0.10099   0.08116  -0.0101   1.0000   1.0000
   7.500   0.1621   0.10603   0.08610  -0.0125   1.0000   1.0000
   8.000   0.1859   0.11117   0.09117  -0.0150   1.0000   1.0000
   8.500   0.2097   0.11640   0.09633  -0.0176   1.0000   1.0000
   9.000   0.2336   0.12172   0.10159  -0.0203   1.0000   1.0000
   9.500   0.2575   0.12712   0.10697  -0.0230   1.0000   1.0000
  10.000   0.2813   0.13259   0.11242  -0.0257   1.0000   1.0000
  10.500   0.3050   0.13816   0.11798  -0.0286   1.0000   1.0000
  11.000   0.3287   0.14381   0.12364  -0.0316   1.0000   1.0000
  11.500   0.3524   0.14955   0.12940  -0.0346   1.0000   1.0000
  12.000   0.3758   0.15539   0.13528  -0.0378   1.0000   1.0000
  12.500   0.3991   0.16133   0.14126  -0.0410   1.0000   1.0000
  13.000   0.4222   0.16737   0.14737  -0.0443   1.0000   1.0000
  13.500   0.4452   0.17353   0.15359  -0.0478   1.0000   1.0000
  14.000   0.4680   0.17980   0.15992  -0.0514   1.0000   1.0000
  14.500   0.5211   0.19345   0.17380  -0.0626   0.9558   1.0000
  15.000   0.5628   0.20392   0.18441  -0.0702   0.9063   1.0000
  15.500   0.5965   0.21208   0.19269  -0.0755   0.8595   1.0000
  16.000   0.6273   0.22033   0.20100  -0.0800   0.8182   1.0000
  16.500   0.6600   0.23106   0.21182  -0.0847   0.7798   1.0000
  17.000   0.6831   0.23574   0.21655  -0.0875   0.7434   1.0000
  17.500   0.7154   0.24841   0.22929  -0.0920   0.7107   1.0000
  18.000   0.7335   0.25100   0.23190  -0.0942   0.6825   1.0000
  18.500   0.7548   0.25607   0.23702  -0.0971   0.6543   1.0000
  19.000   0.7771   0.26225   0.24324  -0.1001   0.6275   1.0000
  19.500   0.7990   0.26860   0.24965  -0.1033   0.6030   1.0000
  20.000   0.8202   0.27479   0.25589  -0.1065   0.5802   1.0000
  20.500   0.8410   0.28103   0.26219  -0.1097   0.5592   1.0000
  21.000   0.8622   0.28804   0.26925  -0.1132   0.5395   1.0000
  21.500   0.8847   0.29686   0.27815  -0.1167   0.5202   1.0000
  22.000   0.9092   0.30821   0.28959  -0.1204   0.5001   1.0000
  22.500   0.9215   0.30630   0.28774  -0.1235   0.4831   1.0000
  23.000   0.9380   0.31012   0.29161  -0.1272   0.4688   1.0000
  23.500   0.9599   0.32036   0.30193  -0.1309   0.4534   1.0000
  24.000   0.9779   0.32534   0.30704  -0.1346   0.4366   1.0000
  24.500   0.9914   0.32653   0.30826  -0.1386   0.4250   1.0000
  25.000   1.0149   0.34090   0.32275  -0.1424   0.4106   1.0000
  25.500   1.0255   0.33703   0.31895  -0.1466   0.3980   1.0000
  26.000   1.0456   0.34844   0.33046  -0.1506   0.3871   1.0000
  26.500   1.0583   0.34775   0.32987  -0.1549   0.3743   1.0000
  27.000   1.0770   0.35843   0.34066  -0.1590   0.3646   1.0000
  27.500   1.0891   0.35737   0.33970  -0.1636   0.3529   1.0000
  28.000   1.1089   0.37142   0.35388  -0.1676   0.3434   1.0000
  28.500   1.1184   0.36653   0.34907  -0.1726   0.3339   1.0000
  29.000   1.1407   0.38673   0.36950  -0.1763   0.3226   1.0000
  29.500   1.1475   0.37757   0.36035  -0.1817   0.3167   1.0000
  30.000   1.1620   0.38275   0.36568  -0.1863   0.3059   1.0000
