  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0163   0.03712   0.01305  -0.0035   1.0000   1.0000
   0.500   0.0405   0.03767   0.01316  -0.0005   1.0000   1.0000
   1.000   0.0665   0.03842   0.01353   0.0021   1.0000   1.0000
   1.500   0.0940   0.03935   0.01413   0.0041   1.0000   1.0000
   2.000   0.1225   0.04047   0.01505   0.0057   1.0000   1.0000
   2.500   0.1518   0.04178   0.01627   0.0069   1.0000   1.0000
   3.000   0.1812   0.04331   0.01779   0.0077   1.0000   1.0000
   3.500   0.2103   0.04508   0.01966   0.0081   1.0000   1.0000
   4.000   0.2386   0.04715   0.02192   0.0081   1.0000   1.0000
   4.500   0.2655   0.04957   0.02466   0.0078   1.0000   1.0000
   5.000   0.2906   0.05240   0.02782   0.0070   1.0000   1.0000
   5.500   0.3135   0.05571   0.03150   0.0057   1.0000   1.0000
   6.000   0.3342   0.05953   0.03584   0.0040   1.0000   1.0000
   6.500   0.3527   0.06388   0.04062   0.0019   1.0000   1.0000
   7.000   0.3694   0.06875   0.04593  -0.0007   1.0000   1.0000
   7.500   0.3846   0.07411   0.05172  -0.0035   1.0000   1.0000
   8.000   0.3989   0.07991   0.05794  -0.0066   1.0000   1.0000
   8.500   0.4127   0.08607   0.06451  -0.0098   1.0000   1.0000
   9.000   0.4262   0.09255   0.07152  -0.0131   1.0000   1.0000
   9.500   0.4397   0.09928   0.07864  -0.0165   1.0000   1.0000
  10.000   0.4534   0.10623   0.08596  -0.0199   1.0000   1.0000
  10.500   0.4673   0.11336   0.09342  -0.0233   1.0000   1.0000
  11.000   0.4817   0.12062   0.10101  -0.0268   1.0000   1.0000
  11.500   0.4966   0.12798   0.10868  -0.0303   1.0000   1.0000
  12.000   0.5120   0.13543   0.11641  -0.0339   1.0000   1.0000
  12.500   0.5280   0.14295   0.12433  -0.0375   1.0000   1.0000
  13.000   0.5446   0.15052   0.13214  -0.0412   1.0000   1.0000
  13.500   0.5618   0.15812   0.13996  -0.0450   1.0000   1.0000
  14.000   0.5795   0.16574   0.14777  -0.0488   1.0000   1.0000
  14.500   0.5976   0.17336   0.15557  -0.0526   1.0000   1.0000
  15.000   0.6354   0.18571   0.16823  -0.0618   0.9751   1.0000
  15.500   0.6798   0.20008   0.18291  -0.0719   0.9256   1.0000
  16.000   0.7133   0.20935   0.19254  -0.0781   0.8689   1.0000
  16.500   0.7412   0.21783   0.20121  -0.0827   0.8245   1.0000
  17.000   0.7707   0.22900   0.21255  -0.0876   0.7892   1.0000
  17.500   0.7909   0.23483   0.21850  -0.0906   0.7562   1.0000
  18.000   0.8173   0.24475   0.22856  -0.0944   0.7192   1.0000
  18.500   0.8415   0.25338   0.23743  -0.0976   0.6809   1.0000
  19.000   0.8629   0.26121   0.24534  -0.1007   0.6507   1.0000
  19.500   0.8853   0.27018   0.25442  -0.1040   0.6242   1.0000
  20.000   0.9028   0.27542   0.25975  -0.1069   0.5995   1.0000
  20.500   0.9206   0.28127   0.26566  -0.1099   0.5768   1.0000
  21.000   0.9409   0.28923   0.27370  -0.1132   0.5527   1.0000
  21.500   0.9615   0.29754   0.28209  -0.1165   0.5274   1.0000
  22.000   0.9824   0.30641   0.29116  -0.1198   0.5021   1.0000
  22.500   0.9975   0.30955   0.29436  -0.1230   0.4803   1.0000
  23.000   1.0173   0.31847   0.30334  -0.1266   0.4614   1.0000
  23.500   1.0324   0.32234   0.30727  -0.1302   0.4435   1.0000
  24.000   1.0504   0.32954   0.31455  -0.1339   0.4256   1.0000
  24.500   1.0708   0.34051   0.32563  -0.1377   0.4083   1.0000
  25.000   1.0849   0.34369   0.32883  -0.1416   0.3930   1.0000
  25.500   1.0996   0.34762   0.33283  -0.1456   0.3770   1.0000
  26.000   1.1152   0.35296   0.33835  -0.1497   0.3608   1.0000
  26.500   1.1309   0.35886   0.34434  -0.1538   0.3458   1.0000
  27.000   1.1460   0.36450   0.35006  -0.1581   0.3325   1.0000
  27.500   1.1611   0.37027   0.35591  -0.1626   0.3207   1.0000
  28.000   1.1765   0.37725   0.36298  -0.1670   0.3095   1.0000
  28.500   1.1928   0.38643   0.37227  -0.1713   0.2979   1.0000
  29.000   1.2056   0.38925   0.37520  -0.1760   0.2868   1.0000
  29.500   1.2175   0.39146   0.37756  -0.1810   0.2777   1.0000
  30.000   1.2315   0.39823   0.38443  -0.1857   0.2683   1.0000
