  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0112   0.03944   0.01553  -0.0016   1.0000   1.0000
   0.500   0.0129   0.03986   0.01540   0.0014   1.0000   1.0000
   1.000   0.0402   0.04046   0.01555   0.0037   1.0000   1.0000
   1.500   0.0697   0.04124   0.01595   0.0056   1.0000   1.0000
   2.000   0.1005   0.04222   0.01668   0.0070   1.0000   1.0000
   2.500   0.1319   0.04340   0.01771   0.0080   1.0000   1.0000
   3.000   0.1635   0.04481   0.01908   0.0086   1.0000   1.0000
   3.500   0.1946   0.04647   0.02082   0.0090   1.0000   1.0000
   4.000   0.2248   0.04841   0.02292   0.0090   1.0000   1.0000
   4.500   0.2536   0.05070   0.02544   0.0087   1.0000   1.0000
   5.000   0.2805   0.05339   0.02850   0.0080   1.0000   1.0000
   5.500   0.3050   0.05655   0.03203   0.0069   1.0000   1.0000
   6.000   0.3269   0.06025   0.03614   0.0053   1.0000   1.0000
   6.500   0.3462   0.06450   0.04082   0.0032   1.0000   1.0000
   7.000   0.3634   0.06928   0.04611   0.0008   1.0000   1.0000
   7.500   0.3792   0.07454   0.05179  -0.0020   1.0000   1.0000
   8.000   0.3940   0.08023   0.05789  -0.0050   1.0000   1.0000
   8.500   0.4083   0.08627   0.06434  -0.0082   1.0000   1.0000
   9.000   0.4224   0.09260   0.07108  -0.0115   1.0000   1.0000
  10.000   0.4506   0.10598   0.08534  -0.0182   1.0000   1.0000
  10.500   0.4649   0.11296   0.09270  -0.0217   1.0000   1.0000
  11.000   0.4794   0.12013   0.10022  -0.0252   1.0000   1.0000
  11.500   0.4943   0.12746   0.10788  -0.0288   1.0000   1.0000
  12.000   0.5095   0.13490   0.11564  -0.0325   1.0000   1.0000
  12.500   0.5254   0.14245   0.12356  -0.0363   1.0000   1.0000
  13.000   0.5418   0.15006   0.13144  -0.0402   1.0000   1.0000
  13.500   0.5589   0.15771   0.13932  -0.0441   1.0000   1.0000
  14.000   0.5765   0.16538   0.14719  -0.0481   1.0000   1.0000
  14.500   0.5946   0.17305   0.15505  -0.0520   1.0000   1.0000
  15.000   0.6327   0.18546   0.16779  -0.0614   0.9745   1.0000
  15.500   0.6758   0.19887   0.18160  -0.0713   0.9230   1.0000
  16.000   0.7089   0.21018   0.19316  -0.0779   0.8839   1.0000
  16.500   0.7382   0.21955   0.20269  -0.0831   0.8411   1.0000
  17.000   0.7615   0.22614   0.20945  -0.0867   0.8030   1.0000
  17.500   0.7875   0.23573   0.21919  -0.0911   0.7727   1.0000
  18.000   0.8113   0.24416   0.22784  -0.0949   0.7423   1.0000
  18.500   0.8313   0.24975   0.23355  -0.0978   0.7098   1.0000
  19.000   0.8545   0.25791   0.24183  -0.1013   0.6775   1.0000
  19.500   0.8752   0.26498   0.24901  -0.1046   0.6511   1.0000
  20.000   0.8961   0.27260   0.25673  -0.1080   0.6270   1.0000
  20.500   0.9180   0.28105   0.26529  -0.1115   0.6013   1.0000
  21.000   0.9394   0.28930   0.27374  -0.1149   0.5744   1.0000
  21.500   0.9613   0.29840   0.28294  -0.1183   0.5477   1.0000
  22.000   0.9759   0.30089   0.28550  -0.1214   0.5255   1.0000
  22.500   0.9973   0.31066   0.29537  -0.1251   0.5049   1.0000
  23.000   1.0127   0.31424   0.29902  -0.1285   0.4848   1.0000
  23.500   1.0346   0.32532   0.31020  -0.1322   0.4637   1.0000
  24.000   1.0484   0.32738   0.31231  -0.1359   0.4447   1.0000
  24.500   1.0674   0.33561   0.32076  -0.1396   0.4246   1.0000
  25.000   1.0862   0.34481   0.33004  -0.1434   0.4077   1.0000
  25.500   1.1013   0.34945   0.33475  -0.1475   0.3928   1.0000
  26.000   1.1168   0.35469   0.34008  -0.1517   0.3783   1.0000
  26.500   1.1322   0.35986   0.34533  -0.1559   0.3637   1.0000
  27.000   1.1473   0.36525   0.35080  -0.1602   0.3495   1.0000
  27.500   1.1625   0.37101   0.35665  -0.1645   0.3357   1.0000
  28.000   1.1779   0.37770   0.36352  -0.1689   0.3226   1.0000
  28.500   1.1940   0.38626   0.37220  -0.1732   0.3098   1.0000
  29.000   1.2067   0.38873   0.37478  -0.1780   0.2984   1.0000
  29.500   1.2188   0.39099   0.37711  -0.1831   0.2892   1.0000
  30.000   1.2332   0.39843   0.38465  -0.1877   0.2796   1.0000
