  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0542   0.04787   0.02618  -0.0192   1.0000   1.0000
   0.500  -0.0251   0.04920   0.02682  -0.0182   1.0000   1.0000
   1.000   0.0042   0.05075   0.02768  -0.0174   1.0000   1.0000
   1.500   0.0335   0.05253   0.02894  -0.0168   1.0000   1.0000
   2.000   0.0627   0.05452   0.03051  -0.0164   1.0000   1.0000
   2.500   0.0916   0.05672   0.03236  -0.0163   1.0000   1.0000
   3.000   0.1201   0.05915   0.03446  -0.0163   1.0000   1.0000
   3.500   0.1482   0.06178   0.03687  -0.0165   1.0000   1.0000
   4.000   0.1758   0.06462   0.03953  -0.0169   1.0000   1.0000
   4.500   0.2029   0.06766   0.04247  -0.0173   1.0000   1.0000
   5.000   0.2294   0.07091   0.04567  -0.0180   1.0000   1.0000
   5.500   0.2555   0.07437   0.04912  -0.0187   1.0000   1.0000
   6.000   0.2810   0.07803   0.05282  -0.0196   1.0000   1.0000
   6.500   0.3058   0.08191   0.05678  -0.0206   1.0000   1.0000
   7.000   0.3299   0.08601   0.06105  -0.0217   1.0000   1.0000
   7.500   0.3532   0.09035   0.06555  -0.0230   1.0000   1.0000
   8.000   0.3757   0.09492   0.07041  -0.0244   1.0000   1.0000
   8.500   0.3971   0.09976   0.07549  -0.0260   1.0000   1.0000
   9.000   0.4175   0.10488   0.08089  -0.0278   1.0000   1.0000
   9.500   0.4368   0.11029   0.08660  -0.0298   1.0000   1.0000
  10.000   0.4550   0.11599   0.09261  -0.0320   1.0000   1.0000
  10.500   0.4725   0.12196   0.09890  -0.0345   1.0000   1.0000
  11.000   0.4894   0.12816   0.10559  -0.0371   1.0000   1.0000
  11.500   0.5060   0.13454   0.11227  -0.0400   1.0000   1.0000
  12.000   0.5227   0.14107   0.11909  -0.0430   1.0000   1.0000
  12.500   0.5396   0.14772   0.12603  -0.0462   1.0000   1.0000
  13.000   0.5567   0.15447   0.13305  -0.0495   1.0000   1.0000
  13.500   0.5740   0.16129   0.14014  -0.0529   1.0000   1.0000
  14.000   0.5916   0.16821   0.14731  -0.0564   1.0000   1.0000
  14.500   0.6095   0.17519   0.15454  -0.0601   1.0000   1.0000
  15.000   0.6278   0.18224   0.16183  -0.0638   1.0000   1.0000
  15.500   0.6733   0.19585   0.17611  -0.0747   0.9601   1.0000
  16.000   0.7090   0.20649   0.18707  -0.0823   0.9180   1.0000
  16.500   0.7370   0.21435   0.19518  -0.0875   0.8800   1.0000
  17.000   0.7639   0.22234   0.20339  -0.0922   0.8435   1.0000
  17.500   0.7877   0.22982   0.21109  -0.0964   0.8161   1.0000
  18.000   0.8116   0.23735   0.21883  -0.1003   0.7870   1.0000
  18.500   0.8390   0.24762   0.22933  -0.1047   0.7554   1.0000
  19.000   0.8583   0.25276   0.23465  -0.1078   0.7309   1.0000
  19.500   0.8777   0.25884   0.24089  -0.1111   0.7106   1.0000
  20.000   0.9027   0.26935   0.25190  -0.1153   0.6879   1.0000
  20.500   0.9210   0.27405   0.25680  -0.1183   0.6630   1.0000
  21.000   0.9393   0.27919   0.26212  -0.1214   0.6390   1.0000
  21.500   0.9609   0.28825   0.27138  -0.1252   0.6198   1.0000
  22.000   0.9769   0.29216   0.27547  -0.1285   0.6017   1.0000
  22.500   0.9974   0.30053   0.28404  -0.1323   0.5828   1.0000
  23.000   1.0149   0.30648   0.29015  -0.1358   0.5642   1.0000
  23.500   1.0364   0.31629   0.30014  -0.1394   0.5396   1.0000
  24.000   1.0503   0.31841   0.30238  -0.1428   0.5202   1.0000
  24.500   1.0692   0.32654   0.31084  -0.1466   0.5022   1.0000
  25.000   1.0887   0.33639   0.32081  -0.1505   0.4856   1.0000
  25.500   1.1027   0.33931   0.32381  -0.1544   0.4698   1.0000
  26.000   1.1190   0.34476   0.32934  -0.1581   0.4491   1.0000
  26.500   1.1362   0.35205   0.33668  -0.1619   0.4298   1.0000
  27.000   1.1507   0.35612   0.34081  -0.1659   0.4139   1.0000
  27.500   1.1660   0.36184   0.34660  -0.1701   0.4002   1.0000
  28.000   1.1811   0.36772   0.35255  -0.1743   0.3872   1.0000
  28.500   1.1963   0.37415   0.35917  -0.1786   0.3749   1.0000
  29.000   1.2114   0.38078   0.36587  -0.1829   0.3623   1.0000
  29.500   1.2260   0.38716   0.37234  -0.1873   0.3494   1.0000
  30.000   1.2400   0.39322   0.37848  -0.1916   0.3363   1.0000
