  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0377   0.04082   0.01572  -0.0067   1.0000   1.0000
   0.500  -0.0091   0.04113   0.01573  -0.0036   1.0000   1.0000
   1.000   0.0210   0.04159   0.01598  -0.0008   1.0000   1.0000
   1.500   0.0521   0.04222   0.01648   0.0017   1.0000   1.0000
   2.000   0.0838   0.04301   0.01724   0.0038   1.0000   1.0000
   2.500   0.1158   0.04398   0.01827   0.0057   1.0000   1.0000
   3.000   0.1477   0.04514   0.01957   0.0074   1.0000   1.0000
   3.500   0.1791   0.04653   0.02119   0.0087   1.0000   1.0000
   4.000   0.2097   0.04817   0.02314   0.0098   1.0000   1.0000
   4.500   0.2389   0.05010   0.02550   0.0106   1.0000   1.0000
   5.000   0.2663   0.05240   0.02826   0.0111   1.0000   1.0000
   5.500   0.2910   0.05517   0.03157   0.0110   1.0000   1.0000
   6.000   0.3122   0.05856   0.03557   0.0104   1.0000   1.0000
   6.500   0.3284   0.06277   0.04037   0.0090   1.0000   1.0000
   7.000   0.3391   0.06797   0.04612   0.0067   1.0000   1.0000
   7.500   0.3457   0.07412   0.05272   0.0035   1.0000   1.0000
   8.000   0.3514   0.08089   0.05986  -0.0002   1.0000   1.0000
   8.500   0.3583   0.08792   0.06725  -0.0040   1.0000   1.0000
   9.000   0.3673   0.09503   0.07462  -0.0077   1.0000   1.0000
   9.500   0.3781   0.10214   0.08196  -0.0112   1.0000   1.0000
  10.000   0.3906   0.10924   0.08927  -0.0146   1.0000   1.0000
  10.500   0.4044   0.11631   0.09652  -0.0179   1.0000   1.0000
  11.000   0.4194   0.12335   0.10373  -0.0212   1.0000   1.0000
  11.500   0.4352   0.13036   0.11094  -0.0244   1.0000   1.0000
  12.000   0.4519   0.13735   0.11807  -0.0277   1.0000   1.0000
  12.500   0.4693   0.14432   0.12517  -0.0310   1.0000   1.0000
  13.000   0.4872   0.15129   0.13225  -0.0343   1.0000   1.0000
  13.500   0.5056   0.15824   0.13932  -0.0377   1.0000   1.0000
  14.000   0.5243   0.16520   0.14643  -0.0411   1.0000   1.0000
  14.500   0.5433   0.17216   0.15349  -0.0446   1.0000   1.0000
  15.000   0.5626   0.17914   0.16057  -0.0481   1.0000   1.0000
  15.500   0.6099   0.19421   0.17589  -0.0591   0.9661   1.0000
  16.000   0.6432   0.20289   0.18481  -0.0659   0.9289   1.0000
  16.500   0.6749   0.21299   0.19506  -0.0720   0.8972   1.0000
  17.000   0.7018   0.22053   0.20271  -0.0767   0.8640   1.0000
  17.500   0.7282   0.22771   0.21002  -0.0809   0.8277   1.0000
  18.000   0.7574   0.23795   0.22045  -0.0857   0.7945   1.0000
  18.500   0.7821   0.24591   0.22849  -0.0895   0.7644   1.0000
  19.000   0.8034   0.25155   0.23422  -0.0925   0.7334   1.0000
  19.500   0.8250   0.25763   0.24038  -0.0956   0.7018   1.0000
  20.000   0.8470   0.26461   0.24751  -0.0988   0.6720   1.0000
  20.500   0.8696   0.27275   0.25574  -0.1022   0.6450   1.0000
  21.000   0.8926   0.28151   0.26459  -0.1056   0.6173   1.0000
  21.500   0.9123   0.28774   0.27093  -0.1086   0.5898   1.0000
  22.000   0.9288   0.29156   0.27480  -0.1114   0.5649   1.0000
  22.500   0.9493   0.29970   0.28308  -0.1147   0.5418   1.0000
  23.000   0.9667   0.30486   0.28833  -0.1179   0.5194   1.0000
  23.500   0.9867   0.31354   0.29710  -0.1214   0.4985   1.0000
  24.000   1.0016   0.31668   0.30031  -0.1246   0.4776   1.0000
  24.500   1.0230   0.32758   0.31135  -0.1281   0.4562   1.0000
  25.000   1.0374   0.33125   0.31512  -0.1317   0.4391   1.0000
  25.500   1.0522   0.33533   0.31928  -0.1354   0.4224   1.0000
  26.000   1.0676   0.34035   0.32438  -0.1392   0.4061   1.0000
  26.500   1.0830   0.34567   0.32980  -0.1431   0.3901   1.0000
  27.000   1.0981   0.35112   0.33533  -0.1470   0.3746   1.0000
  27.500   1.1130   0.35650   0.34081  -0.1511   0.3601   1.0000
  28.000   1.1276   0.36205   0.34652  -0.1552   0.3468   1.0000
  28.500   1.1426   0.36886   0.35343  -0.1594   0.3346   1.0000
  29.000   1.1585   0.37778   0.36246  -0.1635   0.3220   1.0000
  29.500   1.1711   0.38086   0.36567  -0.1680   0.3098   1.0000
  30.000   1.1820   0.38204   0.36692  -0.1728   0.2997   1.0000
