  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0206   0.04057   0.01668  -0.0124   1.0000   1.0000
   0.500   0.0130   0.04101   0.01670  -0.0099   1.0000   1.0000
   1.000   0.0473   0.04160   0.01697  -0.0077   1.0000   1.0000
   1.500   0.0820   0.04236   0.01752  -0.0057   1.0000   1.0000
   2.000   0.1168   0.04328   0.01834  -0.0040   1.0000   1.0000
   2.500   0.1513   0.04439   0.01945  -0.0025   1.0000   1.0000
   3.000   0.1853   0.04571   0.02087  -0.0012   1.0000   1.0000
   3.500   0.2183   0.04727   0.02261  -0.0001   1.0000   1.0000
   4.000   0.2500   0.04911   0.02475   0.0007   1.0000   1.0000
   4.500   0.2796   0.05131   0.02731   0.0012   1.0000   1.0000
   5.000   0.3065   0.05396   0.03043   0.0012   1.0000   1.0000
   5.500   0.3295   0.05726   0.03423   0.0007   1.0000   1.0000
   6.000   0.3469   0.06141   0.03894  -0.0006   1.0000   1.0000
   6.500   0.3581   0.06663   0.04464  -0.0030   1.0000   1.0000
   7.000   0.3653   0.07275   0.05117  -0.0061   1.0000   1.0000
   7.500   0.3720   0.07942   0.05818  -0.0097   1.0000   1.0000
   8.000   0.3799   0.08636   0.06540  -0.0134   1.0000   1.0000
   8.500   0.3894   0.09342   0.07274  -0.0171   1.0000   1.0000
   9.000   0.4005   0.10054   0.08007  -0.0206   1.0000   1.0000
   9.500   0.4130   0.10766   0.08738  -0.0239   1.0000   1.0000
  10.000   0.4269   0.11475   0.09464  -0.0272   1.0000   1.0000
  10.500   0.4419   0.12182   0.10186  -0.0304   1.0000   1.0000
  11.000   0.4578   0.12886   0.10906  -0.0336   1.0000   1.0000
  11.500   0.4745   0.13588   0.11621  -0.0368   1.0000   1.0000
  12.000   0.4919   0.14289   0.12333  -0.0400   1.0000   1.0000
  12.500   0.5098   0.14988   0.13042  -0.0433   1.0000   1.0000
  13.000   0.5282   0.15687   0.13753  -0.0466   1.0000   1.0000
  13.500   0.5469   0.16385   0.14461  -0.0500   1.0000   1.0000
  14.000   0.5660   0.17083   0.15168  -0.0534   1.0000   1.0000
  14.500   0.5853   0.17783   0.15876  -0.0569   1.0000   1.0000
  15.000   0.6051   0.18477   0.16583  -0.0605   0.9996   1.0000
  15.500   0.6484   0.19790   0.17917  -0.0704   0.9678   1.0000
  16.000   0.6823   0.20736   0.18885  -0.0773   0.9332   1.0000
  16.500   0.7151   0.21762   0.19927  -0.0836   0.8991   1.0000
  17.000   0.7444   0.22666   0.20842  -0.0888   0.8657   1.0000
  17.500   0.7697   0.23369   0.21560  -0.0929   0.8333   1.0000
  18.000   0.7948   0.24095   0.22297  -0.0968   0.8005   1.0000
  18.500   0.8195   0.24858   0.23070  -0.1006   0.7686   1.0000
  19.000   0.8445   0.25703   0.23930  -0.1043   0.7377   1.0000
  19.500   0.8693   0.26585   0.24824  -0.1079   0.7065   1.0000
  20.000   0.8873   0.26950   0.25198  -0.1105   0.6778   1.0000
  20.500   0.9068   0.27524   0.25783  -0.1136   0.6516   1.0000
  21.000   0.9310   0.28525   0.26796  -0.1172   0.6245   1.0000
  21.500   0.9482   0.28921   0.27202  -0.1200   0.5983   1.0000
  22.000   0.9692   0.29765   0.28059  -0.1234   0.5749   1.0000
  22.500   0.9858   0.30175   0.28478  -0.1264   0.5516   1.0000
  23.000   1.0098   0.31431   0.29748  -0.1300   0.5282   1.0000
  23.500   1.0233   0.31597   0.29924  -0.1332   0.5088   1.0000
  24.000   1.0393   0.32055   0.30393  -0.1366   0.4886   1.0000
  24.500   1.0567   0.32695   0.31045  -0.1401   0.4691   1.0000
  25.000   1.0745   0.33441   0.31807  -0.1437   0.4503   1.0000
  25.500   1.0920   0.34214   0.32594  -0.1473   0.4325   1.0000
  26.000   1.1079   0.34832   0.33224  -0.1511   0.4161   1.0000
  26.500   1.1223   0.35269   0.33674  -0.1550   0.4008   1.0000
  27.000   1.1363   0.35687   0.34102  -0.1590   0.3861   1.0000
  27.500   1.1501   0.36116   0.34542  -0.1632   0.3722   1.0000
  28.000   1.1642   0.36649   0.35086  -0.1674   0.3594   1.0000
  28.500   1.1796   0.37437   0.35890  -0.1715   0.3468   1.0000
  29.000   1.1965   0.38567   0.37036  -0.1755   0.3329   1.0000
  29.500   1.2060   0.38316   0.36796  -0.1803   0.3214   1.0000
  30.000   1.2184   0.38761   0.37256  -0.1850   0.3114   1.0000
