  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3072   0.10902   0.09865   0.0288   1.0000   0.8797
   0.500  -0.3602   0.10630   0.09625   0.0383   1.0000   0.8436
   1.000  -0.3561   0.10357   0.09351   0.0322   1.0000   0.7911
   1.500  -0.2681   0.10198   0.09145   0.0053   1.0000   0.7246
   2.000  -0.1254   0.10187   0.09050  -0.0320   1.0000   0.6697
   2.500   0.0171   0.10299   0.09069  -0.0649   1.0000   0.6502
   3.000   0.1400   0.10486   0.09171  -0.0896   1.0000   0.6667
   3.500   0.2425   0.10706   0.09325  -0.1071   1.0000   0.7218
   4.000   0.3219   0.10828   0.09430  -0.1177   1.0000   0.8446
   4.500   0.4884   0.11655   0.10007  -0.1569   1.0000   1.0000
   5.000   0.5583   0.12312   0.10362  -0.1665   1.0000   1.0000
   5.500   0.5938   0.12789   0.10716  -0.1681   1.0000   1.0000
   6.000   0.6259   0.13265   0.11107  -0.1692   1.0000   1.0000
   6.500   0.6562   0.13747   0.11526  -0.1702   1.0000   1.0000
   7.000   0.6852   0.14238   0.11968  -0.1711   1.0000   1.0000
   7.500   0.7131   0.14736   0.12430  -0.1721   1.0000   1.0000
   8.000   0.7400   0.15244   0.12911  -0.1732   1.0000   1.0000
   8.500   0.7660   0.15759   0.13407  -0.1742   1.0000   1.0000
   9.000   0.7914   0.16285   0.13922  -0.1754   1.0000   1.0000
   9.500   0.8161   0.16818   0.14450  -0.1767   1.0000   1.0000
  10.000   0.8403   0.17362   0.14997  -0.1781   1.0000   1.0000
  10.500   0.8639   0.17915   0.15556  -0.1796   1.0000   1.0000
  11.000   0.8870   0.18476   0.16127  -0.1812   1.0000   1.0000
  11.500   0.9096   0.19046   0.16716  -0.1829   1.0000   1.0000
  12.000   0.9318   0.19625   0.17314  -0.1848   1.0000   1.0000
  12.500   0.9535   0.20212   0.17924  -0.1868   1.0000   1.0000
  13.000   0.9749   0.20809   0.18553  -0.1889   1.0000   1.0000
  13.500   0.9959   0.21417   0.19191  -0.1912   1.0000   1.0000
  14.000   1.0167   0.22039   0.19852  -0.1936   1.0000   1.0000
  14.500   1.0370   0.22668   0.20518  -0.1962   1.0000   1.0000
  15.000   1.0569   0.23310   0.21200  -0.1989   1.0000   1.0000
  15.500   1.0765   0.23964   0.21902  -0.2017   1.0000   1.0000
  16.000   1.0996   0.24620   0.22608  -0.2058   0.9941   1.0000
  16.500   1.1264   0.25129   0.23172  -0.2110   0.9735   1.0000
  17.000   1.1551   0.26006   0.24115  -0.2165   0.9514   1.0000
  17.500   1.1745   0.26196   0.24358  -0.2201   0.9313   1.0000
  18.000   1.1988   0.26898   0.25126  -0.2249   0.9089   1.0000
  18.500   1.2208   0.27559   0.25846  -0.2294   0.8881   1.0000
  19.000   1.2405   0.27952   0.26299  -0.2335   0.8648   1.0000
  19.500   1.2631   0.28811   0.27224  -0.2386   0.8418   1.0000
  20.000   1.2834   0.29418   0.27893  -0.2432   0.8155   1.0000
  20.500   1.3009   0.29836   0.28364  -0.2476   0.7900   1.0000
  21.500   1.3414   0.31401   0.30036  -0.2577   0.7333   1.0000
  22.000   1.3621   0.32287   0.30964  -0.2628   0.7039   1.0000
  22.500   1.3836   0.33302   0.32018  -0.2678   0.6744   1.0000
  23.000   1.3973   0.33344   0.32087  -0.2721   0.6497   1.0000
  23.500   1.4170   0.34222   0.32997  -0.2769   0.6257   1.0000
  24.000   1.4343   0.34764   0.33564  -0.2814   0.6020   1.0000
  24.500   1.4546   0.35876   0.34699  -0.2860   0.5815   1.0000
  25.000   1.4694   0.36132   0.34973  -0.2906   0.5634   1.0000
  25.500   1.4854   0.36628   0.35492  -0.2951   0.5453   1.0000
  26.000   1.5019   0.37239   0.36122  -0.2997   0.5284   1.0000
  26.500   1.5185   0.37862   0.36764  -0.3043   0.5123   1.0000
  27.000   1.5339   0.38445   0.37364  -0.3089   0.4975   1.0000
  27.500   1.5494   0.39033   0.37969  -0.3136   0.4834   1.0000
  28.000   1.5642   0.39654   0.38610  -0.3180   0.4700   1.0000
  28.500   1.5800   0.40397   0.39370  -0.3227   0.4567   1.0000
  29.000   1.5959   0.41283   0.40274  -0.3272   0.4432   1.0000
  29.500   1.6102   0.41891   0.40902  -0.3317   0.4297   1.0000
  30.000   1.6205   0.41855   0.40882  -0.3367   0.4183   1.0000
