  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.5087   0.08829   0.08143   0.0594   1.0000   0.7517
   0.500  -0.4827   0.08447   0.07685   0.0506   1.0000   0.7180
   1.000  -0.4170   0.08325   0.07441   0.0355   1.0000   0.6809
   1.500  -0.3384   0.08357   0.07351   0.0207   1.0000   0.6516
   2.000  -0.2579   0.08496   0.07366   0.0073   1.0000   0.6313
   2.500  -0.1794   0.08685   0.07459  -0.0042   1.0000   0.6200
   3.000  -0.1049   0.08914   0.07623  -0.0138   1.0000   0.6228
   3.500  -0.0362   0.09152   0.07861  -0.0215   1.0000   0.6469
   4.000   0.0255   0.09348   0.08050  -0.0286   1.0000   1.0000
   4.500   0.0798   0.09802   0.08368  -0.0331   1.0000   1.0000
   5.000   0.1258   0.10233   0.08677  -0.0354   1.0000   1.0000
   5.500   0.1655   0.10643   0.08974  -0.0364   1.0000   1.0000
   6.000   0.2011   0.11039   0.09268  -0.0365   1.0000   1.0000
   6.500   0.2333   0.11430   0.09565  -0.0363   1.0000   1.0000
   7.000   0.2633   0.11821   0.09868  -0.0359   1.0000   1.0000
   7.500   0.2916   0.12213   0.10177  -0.0354   1.0000   1.0000
   8.000   0.3186   0.12609   0.10497  -0.0349   1.0000   1.0000
   8.500   0.3444   0.13010   0.10827  -0.0347   1.0000   1.0000
   9.000   0.3692   0.13417   0.11168  -0.0345   1.0000   1.0000
   9.500   0.3933   0.13832   0.11522  -0.0346   1.0000   1.0000
  10.000   0.4167   0.14253   0.11889  -0.0348   1.0000   1.0000
  10.500   0.4396   0.14680   0.12269  -0.0352   1.0000   1.0000
  11.000   0.4619   0.15114   0.12665  -0.0358   1.0000   1.0000
  11.500   0.4839   0.15555   0.13076  -0.0366   1.0000   1.0000
  12.000   0.5055   0.16002   0.13499  -0.0374   1.0000   1.0000
  12.500   0.5267   0.16457   0.13936  -0.0384   1.0000   1.0000
  13.000   0.5476   0.16918   0.14386  -0.0395   1.0000   1.0000
  13.500   0.5681   0.17385   0.14845  -0.0408   1.0000   1.0000
  14.000   0.5883   0.17860   0.15316  -0.0422   1.0000   1.0000
  14.500   0.6082   0.18339   0.15799  -0.0437   1.0000   1.0000
  15.000   0.6278   0.18826   0.16290  -0.0453   1.0000   1.0000
  15.500   0.6471   0.19320   0.16792  -0.0470   1.0000   1.0000
  16.000   0.6783   0.20100   0.17594  -0.0522   0.9858   1.0000
  16.500   0.7191   0.21113   0.18630  -0.0597   0.9467   1.0000
  17.000   0.7484   0.21686   0.19231  -0.0642   0.9113   1.0000
  17.500   0.7755   0.22263   0.19832  -0.0679   0.8758   1.0000
  18.000   0.8009   0.22894   0.20488  -0.0713   0.8423   1.0000
  18.500   0.8260   0.23643   0.21271  -0.0745   0.8119   1.0000
  19.000   0.8512   0.24482   0.22140  -0.0778   0.7806   1.0000
  19.500   0.8668   0.24672   0.22358  -0.0794   0.7537   1.0000
  20.000   0.8872   0.25344   0.23066  -0.0820   0.7269   1.0000
  20.500   0.9057   0.25898   0.23654  -0.0845   0.7012   1.0000
  21.000   0.9241   0.26562   0.24351  -0.0870   0.6775   1.0000
  21.500   0.9394   0.26964   0.24792  -0.0892   0.6533   1.0000
  22.000   0.9605   0.28001   0.25869  -0.0923   0.6302   1.0000
  22.500   0.9724   0.28229   0.26127  -0.0945   0.6097   1.0000
  23.000   0.9862   0.28649   0.26586  -0.0970   0.5892   1.0000
  23.500   1.0018   0.29292   0.27267  -0.0998   0.5676   1.0000
  24.000   1.0169   0.29967   0.27979  -0.1027   0.5492   1.0000
  24.500   1.0335   0.30886   0.28941  -0.1058   0.5299   1.0000
  25.000   1.0464   0.31421   0.29511  -0.1088   0.5135   1.0000
  25.500   1.0601   0.32096   0.30221  -0.1118   0.4963   1.0000
  26.000   1.0698   0.32266   0.30425  -0.1149   0.4819   1.0000
  26.500   1.0809   0.32655   0.30845  -0.1181   0.4671   1.0000
  27.000   1.0920   0.33099   0.31319  -0.1215   0.4541   1.0000
  27.500   1.1044   0.33731   0.31981  -0.1250   0.4411   1.0000
  28.000   1.1186   0.34682   0.32964  -0.1285   0.4278   1.0000
  28.500   1.1305   0.35247   0.33566  -0.1321   0.4141   1.0000
  29.000   1.1383   0.35262   0.33603  -0.1358   0.4038   1.0000
  29.500   1.1508   0.36047   0.34414  -0.1396   0.3934   1.0000
  30.000   1.1642   0.36990   0.35390  -0.1432   0.3809   1.0000
