  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0162   0.04438   0.02395  -0.0312   1.0000   1.0000
   0.500   0.0197   0.04555   0.02416  -0.0306   1.0000   1.0000
   1.000   0.0547   0.04693   0.02478  -0.0301   1.0000   1.0000
   1.500   0.0888   0.04853   0.02569  -0.0297   1.0000   1.0000
   2.000   0.1218   0.05036   0.02705  -0.0295   1.0000   1.0000
   2.500   0.1539   0.05242   0.02876  -0.0294   1.0000   1.0000
   3.000   0.1848   0.05474   0.03080  -0.0295   1.0000   1.0000
   3.500   0.2146   0.05734   0.03320  -0.0299   1.0000   1.0000
   4.000   0.2431   0.06022   0.03597  -0.0304   1.0000   1.0000
   4.500   0.2702   0.06340   0.03915  -0.0311   1.0000   1.0000
   5.000   0.2959   0.06690   0.04266  -0.0320   1.0000   1.0000
   5.500   0.3202   0.07072   0.04664  -0.0331   1.0000   1.0000
   6.000   0.3432   0.07487   0.05091  -0.0344   1.0000   1.0000
   6.500   0.3651   0.07934   0.05554  -0.0358   1.0000   1.0000
   7.000   0.3860   0.08410   0.06049  -0.0375   1.0000   1.0000
   7.500   0.4063   0.08912   0.06573  -0.0393   1.0000   1.0000
   8.000   0.4259   0.09436   0.07135  -0.0411   1.0000   1.0000
   8.500   0.4452   0.09980   0.07703  -0.0431   1.0000   1.0000
   9.000   0.4642   0.10542   0.08292  -0.0452   1.0000   1.0000
   9.500   0.4829   0.11120   0.08898  -0.0473   1.0000   1.0000
  10.000   0.5013   0.11714   0.09523  -0.0496   1.0000   1.0000
  10.500   0.5196   0.12324   0.10165  -0.0520   1.0000   1.0000
  11.000   0.5377   0.12950   0.10825  -0.0546   1.0000   1.0000
  11.500   0.5555   0.13592   0.11502  -0.0573   1.0000   1.0000
  12.000   0.5731   0.14251   0.12197  -0.0602   1.0000   1.0000
  12.500   0.5907   0.14927   0.12937  -0.0632   1.0000   1.0000
  13.000   0.6083   0.15618   0.13662  -0.0665   1.0000   1.0000
  13.500   0.6259   0.16320   0.14396  -0.0698   1.0000   1.0000
  14.000   0.6438   0.17031   0.15140  -0.0733   1.0000   1.0000
  14.500   0.6619   0.17751   0.15889  -0.0769   1.0000   1.0000
  15.000   0.6803   0.18476   0.16645  -0.0806   1.0000   1.0000
  15.500   0.6990   0.19207   0.17407  -0.0843   1.0000   1.0000
  16.000   0.7417   0.20601   0.18850  -0.0945   0.9682   1.0000
  16.500   0.7754   0.21454   0.19748  -0.1017   0.9229   1.0000
  17.000   0.8049   0.22422   0.20754  -0.1075   0.8877   1.0000
  17.500   0.8331   0.23250   0.21616  -0.1125   0.8419   1.0000
  18.500   0.8873   0.25239   0.23679  -0.1216   0.7563   1.0000
  19.000   0.9123   0.26238   0.24684  -0.1256   0.7171   1.0000
  19.500   0.9332   0.26857   0.25301  -0.1284   0.6746   1.0000
  20.000   0.9555   0.27678   0.26123  -0.1316   0.6399   1.0000
  20.500   0.9793   0.28715   0.27158  -0.1351   0.6102   1.0000
  21.000   0.9965   0.29142   0.27582  -0.1378   0.5805   1.0000
  21.500   1.0159   0.29786   0.28225  -0.1407   0.5519   1.0000
  22.000   1.0388   0.30857   0.29298  -0.1443   0.5294   1.0000
  22.500   1.0535   0.31168   0.29607  -0.1476   0.5120   1.0000
  23.000   1.0718   0.31836   0.30278  -0.1511   0.4939   1.0000
  23.500   1.0921   0.32785   0.31232  -0.1548   0.4769   1.0000
  24.000   1.1088   0.33385   0.31852  -0.1584   0.4614   1.0000
  24.500   1.1238   0.33754   0.32223  -0.1621   0.4454   1.0000
  25.000   1.1398   0.34276   0.32748  -0.1659   0.4290   1.0000
  25.500   1.1569   0.34936   0.33413  -0.1697   0.4126   1.0000
  26.000   1.1741   0.35681   0.34164  -0.1735   0.3971   1.0000
  26.500   1.1904   0.36370   0.34858  -0.1774   0.3828   1.0000
  27.000   1.2049   0.36837   0.35328  -0.1815   0.3700   1.0000
  27.500   1.2184   0.37190   0.35685  -0.1859   0.3584   1.0000
  28.000   1.2321   0.37633   0.36150  -0.1903   0.3485   1.0000
  28.500   1.2473   0.38367   0.36891  -0.1946   0.3389   1.0000
  29.000   1.2634   0.39322   0.37859  -0.1987   0.3280   1.0000
  29.500   1.2734   0.39191   0.37731  -0.2038   0.3197   1.0000
  30.000   1.2870   0.39847   0.38396  -0.2083   0.3117   1.0000
