  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1948   0.07482   0.06237  -0.0205   1.0000   0.5683
   0.500  -0.1079   0.07142   0.05819  -0.0350   1.0000   0.5891
   1.000  -0.0296   0.06871   0.05493  -0.0449   1.0000   0.6427
   1.500   0.0286   0.06564   0.05205  -0.0477   1.0000   0.7539
   2.000   0.1922   0.06628   0.04914  -0.0808   1.0000   1.0000
   2.500   0.2400   0.06922   0.04959  -0.0825   1.0000   1.0000
   3.000   0.2776   0.07218   0.05121  -0.0830   1.0000   1.0000
   3.500   0.3128   0.07531   0.05335  -0.0835   1.0000   1.0000
   4.000   0.3464   0.07865   0.05592  -0.0841   1.0000   1.0000
   4.500   0.3785   0.08219   0.05886  -0.0847   1.0000   1.0000
   5.000   0.4093   0.08593   0.06213  -0.0853   1.0000   1.0000
   5.500   0.4390   0.08989   0.06573  -0.0861   1.0000   1.0000
   6.000   0.4676   0.09405   0.06963  -0.0869   1.0000   1.0000
   6.500   0.4951   0.09843   0.07383  -0.0879   1.0000   1.0000
   7.000   0.5215   0.10302   0.07832  -0.0889   1.0000   1.0000
   7.500   0.5470   0.10782   0.08307  -0.0901   1.0000   1.0000
   8.000   0.5716   0.11283   0.08810  -0.0914   1.0000   1.0000
   8.500   0.5953   0.11803   0.09337  -0.0928   1.0000   1.0000
   9.000   0.6183   0.12343   0.09888  -0.0944   1.0000   1.0000
   9.500   0.6405   0.12901   0.10463  -0.0961   1.0000   1.0000
  10.000   0.6621   0.13477   0.11057  -0.0980   1.0000   1.0000
  10.500   0.6831   0.14068   0.11670  -0.1000   1.0000   1.0000
  11.000   0.7037   0.14675   0.12304  -0.1023   1.0000   1.0000
  11.500   0.7238   0.15296   0.12953  -0.1047   1.0000   1.0000
  12.000   0.7435   0.15933   0.13618  -0.1073   1.0000   1.0000
  12.500   0.7629   0.16583   0.14303  -0.1100   1.0000   1.0000
  13.000   0.7820   0.17248   0.15000  -0.1129   1.0000   1.0000
  13.500   0.8009   0.17926   0.15711  -0.1160   1.0000   1.0000
  14.000   0.8195   0.18617   0.16441  -0.1193   1.0000   1.0000
  14.500   0.8378   0.19322   0.17181  -0.1227   1.0000   1.0000
  15.000   0.8561   0.20042   0.17937  -0.1263   1.0000   1.0000
  15.500   0.8841   0.20990   0.18934  -0.1327   0.9860   1.0000
  16.000   0.9236   0.22237   0.20231  -0.1417   0.9428   1.0000
  16.500   0.9487   0.22776   0.20812  -0.1470   0.9054   1.0000
  17.000   0.9750   0.23608   0.21690  -0.1523   0.8715   1.0000
  17.500   0.9990   0.24381   0.22501  -0.1570   0.8403   1.0000
  18.000   1.0213   0.25129   0.23284  -0.1614   0.8127   1.0000
  18.500   1.0471   0.26263   0.24459  -0.1664   0.7856   1.0000
  19.000   1.0643   0.26615   0.24841  -0.1698   0.7603   1.0000
  19.500   1.0885   0.27752   0.26014  -0.1745   0.7367   1.0000
  20.000   1.1043   0.28048   0.26337  -0.1778   0.7144   1.0000
  20.500   1.1271   0.29058   0.27380  -0.1822   0.6915   1.0000
  21.000   1.1451   0.29692   0.28038  -0.1860   0.6720   1.0000
  21.500   1.1619   0.30146   0.28520  -0.1897   0.6518   1.0000
  22.000   1.1822   0.31011   0.29412  -0.1938   0.6310   1.0000
  22.500   1.2026   0.32005   0.30430  -0.1979   0.6125   1.0000
  23.000   1.2177   0.32348   0.30797  -0.2016   0.5952   1.0000
  23.500   1.2338   0.32845   0.31315  -0.2054   0.5776   1.0000
  24.000   1.2507   0.33447   0.31940  -0.2093   0.5597   1.0000
  24.500   1.2679   0.34120   0.32638  -0.2133   0.5427   1.0000
  25.000   1.2851   0.34840   0.33379  -0.2173   0.5257   1.0000
  25.500   1.3016   0.35517   0.34078  -0.2213   0.5098   1.0000
  26.000   1.3177   0.36177   0.34758  -0.2253   0.4941   1.0000
  26.500   1.3331   0.36771   0.35375  -0.2294   0.4788   1.0000
  27.000   1.3473   0.37265   0.35888  -0.2334   0.4645   1.0000
  27.500   1.3617   0.37781   0.36421  -0.2376   0.4502   1.0000
  28.000   1.3753   0.38279   0.36937  -0.2418   0.4367   1.0000
  28.500   1.3894   0.38838   0.37517  -0.2460   0.4234   1.0000
  29.000   1.4031   0.39477   0.38173  -0.2502   0.4104   1.0000
  29.500   1.4180   0.40291   0.39007  -0.2544   0.3974   1.0000
  30.000   1.4330   0.41265   0.40000  -0.2584   0.3836   1.0000
