  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0140   0.04412   0.02201  -0.0312   1.0000   1.0000
   0.500   0.0203   0.04530   0.02231  -0.0304   1.0000   1.0000
   1.000   0.0536   0.04667   0.02298  -0.0297   1.0000   1.0000
   1.500   0.0859   0.04825   0.02399  -0.0290   1.0000   1.0000
   2.000   0.1171   0.05005   0.02522  -0.0285   1.0000   1.0000
   2.500   0.1472   0.05208   0.02692  -0.0281   1.0000   1.0000
   3.000   0.1760   0.05435   0.02898  -0.0279   1.0000   1.0000
   3.500   0.2036   0.05689   0.03134  -0.0279   1.0000   1.0000
   4.000   0.2299   0.05971   0.03406  -0.0281   1.0000   1.0000
   4.500   0.2549   0.06282   0.03714  -0.0285   1.0000   1.0000
   5.000   0.2788   0.06622   0.04056  -0.0292   1.0000   1.0000
   5.500   0.3017   0.06989   0.04429  -0.0300   1.0000   1.0000
   6.000   0.3241   0.07379   0.04827  -0.0310   1.0000   1.0000
   6.500   0.3462   0.07791   0.05251  -0.0322   1.0000   1.0000
   7.000   0.3681   0.08221   0.05697  -0.0334   1.0000   1.0000
   7.500   0.3899   0.08668   0.06185  -0.0347   1.0000   1.0000
   8.000   0.4116   0.09130   0.06674  -0.0361   1.0000   1.0000
   8.500   0.4330   0.09608   0.07183  -0.0376   1.0000   1.0000
   9.000   0.4541   0.10104   0.07715  -0.0392   1.0000   1.0000
   9.500   0.4750   0.10615   0.08283  -0.0409   1.0000   1.0000
  10.000   0.4954   0.11143   0.08852  -0.0427   1.0000   1.0000
  10.500   0.5153   0.11691   0.09444  -0.0447   1.0000   1.0000
  11.000   0.5347   0.12258   0.10059  -0.0468   1.0000   1.0000
  11.500   0.5535   0.12848   0.10699  -0.0492   1.0000   1.0000
  12.000   0.5715   0.13465   0.11366  -0.0517   1.0000   1.0000
  12.500   0.5887   0.14110   0.12063  -0.0545   1.0000   1.0000
  13.000   0.6050   0.14788   0.12796  -0.0577   1.0000   1.0000
  13.500   0.6209   0.15495   0.13549  -0.0611   1.0000   1.0000
  14.000   0.6363   0.16228   0.14328  -0.0647   1.0000   1.0000
  14.500   0.6519   0.16982   0.15164  -0.0685   1.0000   1.0000
  15.000   0.6677   0.17741   0.15961  -0.0724   1.0000   1.0000
  15.500   0.6841   0.18505   0.16757  -0.0763   1.0000   1.0000
  16.000   0.7304   0.20178   0.18488  -0.0881   0.9574   1.0000
  16.500   0.7629   0.21076   0.19431  -0.0955   0.9085   1.0000
  17.000   0.7924   0.21960   0.20350  -0.1013   0.8604   1.0000
  17.500   0.8188   0.22858   0.21275  -0.1062   0.8213   1.0000
  18.000   0.8479   0.23946   0.22389  -0.1110   0.7758   1.0000
  18.500   0.8733   0.24904   0.23363  -0.1149   0.7354   1.0000
  19.000   0.8927   0.25564   0.24026  -0.1180   0.7055   1.0000
  19.500   0.9168   0.26516   0.24983  -0.1213   0.6673   1.0000
  20.000   0.9406   0.27451   0.25919  -0.1244   0.6285   1.0000
  20.500   0.9584   0.28028   0.26495  -0.1272   0.6041   1.0000
  21.000   0.9751   0.28569   0.27034  -0.1302   0.5833   1.0000
  21.500   0.9967   0.29567   0.28063  -0.1335   0.5614   1.0000
  22.000   1.0162   0.30321   0.28820  -0.1365   0.5365   1.0000
  22.500   1.0317   0.30717   0.29214  -0.1393   0.5129   1.0000
  23.000   1.0494   0.31396   0.29892  -0.1424   0.4923   1.0000
  23.500   1.0659   0.31968   0.30466  -0.1457   0.4739   1.0000
  24.000   1.0829   0.32660   0.31161  -0.1491   0.4590   1.0000
  24.500   1.0993   0.33316   0.31820  -0.1526   0.4451   1.0000
  25.000   1.1150   0.33920   0.32426  -0.1561   0.4317   1.0000
  25.500   1.1300   0.34469   0.32978  -0.1597   0.4189   1.0000
  26.000   1.1444   0.34981   0.33493  -0.1634   0.4068   1.0000
  26.500   1.1589   0.35511   0.34044  -0.1672   0.3948   1.0000
  27.000   1.1731   0.36066   0.34603  -0.1709   0.3835   1.0000
  27.500   1.1875   0.36690   0.35232  -0.1747   0.3721   1.0000
  28.000   1.2021   0.37363   0.35912  -0.1785   0.3602   1.0000
  28.500   1.2168   0.38120   0.36676  -0.1823   0.3480   1.0000
  29.000   1.2303   0.38729   0.37296  -0.1861   0.3359   1.0000
  29.500   1.2405   0.38789   0.37359  -0.1903   0.3250   1.0000
  30.000   1.2516   0.39104   0.37689  -0.1945   0.3149   1.0000
