  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1310   0.05449   0.03461  -0.0124   1.0000   1.0000
   0.500  -0.1106   0.05595   0.03519  -0.0107   1.0000   1.0000
   1.000  -0.0889   0.05764   0.03611  -0.0094   1.0000   1.0000
   1.500  -0.0663   0.05954   0.03728  -0.0085   1.0000   1.0000
   2.000  -0.0428   0.06164   0.03874  -0.0077   1.0000   1.0000
   2.500  -0.0188   0.06392   0.04045  -0.0072   1.0000   1.0000
   3.000   0.0056   0.06637   0.04237  -0.0069   1.0000   1.0000
   3.500   0.0304   0.06898   0.04453  -0.0068   1.0000   1.0000
   4.000   0.0555   0.07175   0.04688  -0.0068   1.0000   1.0000
   4.500   0.0807   0.07469   0.04947  -0.0070   1.0000   1.0000
   5.000   0.1060   0.07777   0.05225  -0.0073   1.0000   1.0000
   5.500   0.1313   0.08100   0.05525  -0.0077   1.0000   1.0000
   6.000   0.1564   0.08438   0.05842  -0.0082   1.0000   1.0000
   6.500   0.1814   0.08790   0.06180  -0.0088   1.0000   1.0000
   7.000   0.2062   0.09155   0.06535  -0.0096   1.0000   1.0000
   7.500   0.2309   0.09533   0.06907  -0.0104   1.0000   1.0000
   8.000   0.2552   0.09925   0.07297  -0.0114   1.0000   1.0000
   8.500   0.2794   0.10327   0.07701  -0.0124   1.0000   1.0000
   9.000   0.3034   0.10740   0.08120  -0.0136   1.0000   1.0000
   9.500   0.3271   0.11165   0.08556  -0.0148   1.0000   1.0000
  10.000   0.3505   0.11600   0.09004  -0.0162   1.0000   1.0000
  10.500   0.3736   0.12046   0.09471  -0.0177   1.0000   1.0000
  11.000   0.3963   0.12504   0.09949  -0.0193   1.0000   1.0000
  11.500   0.4187   0.12974   0.10442  -0.0210   1.0000   1.0000
  12.000   0.4406   0.13456   0.10956  -0.0229   1.0000   1.0000
  12.500   0.4620   0.13952   0.11482  -0.0249   1.0000   1.0000
  13.000   0.4829   0.14464   0.12026  -0.0271   1.0000   1.0000
  13.500   0.5033   0.14992   0.12595  -0.0295   1.0000   1.0000
  14.000   0.5232   0.15536   0.13174  -0.0320   1.0000   1.0000
  14.500   0.5425   0.16096   0.13772  -0.0347   1.0000   1.0000
  15.000   0.5614   0.16673   0.14392  -0.0376   1.0000   1.0000
  15.500   0.5799   0.17265   0.15023  -0.0406   1.0000   1.0000
  16.000   0.5980   0.17873   0.15670  -0.0438   1.0000   1.0000
  16.500   0.6205   0.18622   0.16462  -0.0484   0.9950   1.0000
  17.000   0.6664   0.20180   0.18086  -0.0591   0.9521   1.0000
  17.500   0.6965   0.20906   0.18863  -0.0655   0.9111   1.0000
  18.000   0.7230   0.21619   0.19619  -0.0707   0.8725   1.0000
  18.500   0.7534   0.22792   0.20843  -0.0765   0.8345   1.0000
  19.000   0.7733   0.23283   0.21370  -0.0801   0.8023   1.0000
  19.500   0.7950   0.23931   0.22054  -0.0839   0.7673   1.0000
  20.000   0.8163   0.24675   0.22832  -0.0877   0.7372   1.0000
  20.500   0.8408   0.25699   0.23897  -0.0918   0.7035   1.0000
  21.000   0.8595   0.26320   0.24544  -0.0951   0.6754   1.0000
  21.500   0.8816   0.27270   0.25518  -0.0988   0.6446   1.0000
  22.000   0.8959   0.27553   0.25821  -0.1016   0.6197   1.0000
  22.500   0.9136   0.28166   0.26452  -0.1048   0.5931   1.0000
  23.000   0.9340   0.29129   0.27433  -0.1084   0.5703   1.0000
  23.500   0.9495   0.29561   0.27886  -0.1114   0.5467   1.0000
  24.000   0.9694   0.30560   0.28899  -0.1150   0.5266   1.0000
  24.500   0.9827   0.30843   0.29191  -0.1182   0.5084   1.0000
  25.000   0.9984   0.31386   0.29745  -0.1216   0.4895   1.0000
  25.500   1.0146   0.32029   0.30398  -0.1251   0.4731   1.0000
  26.000   1.0308   0.32684   0.31065  -0.1286   0.4571   1.0000
  26.500   1.0458   0.33254   0.31643  -0.1322   0.4425   1.0000
  27.000   1.0597   0.33725   0.32130  -0.1359   0.4298   1.0000
  27.500   1.0739   0.34247   0.32660  -0.1397   0.4173   1.0000
  28.000   1.0883   0.34844   0.33266  -0.1435   0.4053   1.0000
  28.500   1.1038   0.35609   0.34040  -0.1473   0.3934   1.0000
  29.500   1.1294   0.36438   0.34889  -0.1551   0.3702   1.0000
  30.000   1.1415   0.36861   0.35327  -0.1592   0.3610   1.0000
