  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0229   0.04775   0.02380  -0.0037   1.0000   1.0000
   0.500  -0.0135   0.04726   0.02335   0.0010   1.0000   1.0000
   1.000  -0.0038   0.04685   0.02301   0.0056   1.0000   1.0000
   1.500   0.0084   0.04660   0.02285   0.0097   1.0000   1.0000
   2.000   0.0270   0.04661   0.02300   0.0125   1.0000   1.0000
   2.500   0.0528   0.04698   0.02355   0.0138   1.0000   1.0000
   3.000   0.0841   0.04775   0.02455   0.0139   1.0000   1.0000
   3.500   0.1189   0.04891   0.02605   0.0130   1.0000   1.0000
   4.000   0.1552   0.05050   0.02803   0.0114   1.0000   1.0000
   4.500   0.1912   0.05257   0.03059   0.0093   1.0000   1.0000
   5.000   0.2252   0.05524   0.03385   0.0066   1.0000   1.0000
   5.500   0.2553   0.05868   0.03791   0.0033   1.0000   1.0000
   6.000   0.2791   0.06317   0.04305  -0.0009   1.0000   1.0000
   6.500   0.2950   0.06898   0.04949  -0.0061   1.0000   1.0000
   7.000   0.3056   0.07594   0.05692  -0.0121   1.0000   1.0000
   7.500   0.3165   0.08337   0.06472  -0.0182   1.0000   1.0000
   8.000   0.3304   0.09082   0.07247  -0.0241   1.0000   1.0000
   8.500   0.3471   0.09819   0.08009  -0.0296   1.0000   1.0000
   9.000   0.3659   0.10550   0.08767  -0.0349   1.0000   1.0000
   9.500   0.3861   0.11278   0.09516  -0.0400   1.0000   1.0000
  10.000   0.4074   0.12006   0.10265  -0.0450   1.0000   1.0000
  10.500   0.4295   0.12736   0.11015  -0.0499   1.0000   1.0000
  11.000   0.4522   0.13469   0.11772  -0.0549   1.0000   1.0000
  11.500   0.4753   0.14207   0.12529  -0.0598   1.0000   1.0000
  12.000   0.4987   0.14950   0.13292  -0.0648   1.0000   1.0000
  12.500   0.5223   0.15700   0.14065  -0.0698   1.0000   1.0000
  13.000   0.5461   0.16458   0.14842  -0.0748   1.0000   1.0000
  13.500   0.5701   0.17224   0.15628  -0.0800   1.0000   1.0000
  14.000   0.5940   0.17999   0.16424  -0.0851   1.0000   1.0000
  14.500   0.6180   0.18781   0.17226  -0.0904   1.0000   1.0000
  15.000   0.6419   0.19573   0.18037  -0.0957   1.0000   1.0000
  15.500   0.6822   0.20787   0.19281  -0.1052   0.9794   1.0000
  16.000   0.7173   0.21583   0.20103  -0.1132   0.9450   1.0000
  16.500   0.7515   0.22474   0.21015  -0.1205   0.9104   1.0000
  17.000   0.7828   0.23283   0.21846  -0.1268   0.8760   1.0000
  17.500   0.8128   0.24066   0.22647  -0.1326   0.8415   1.0000
  18.000   0.8424   0.24906   0.23505  -0.1382   0.8083   1.0000
  18.500   0.8735   0.25919   0.24534  -0.1440   0.7745   1.0000
  19.000   0.9036   0.26886   0.25522  -0.1492   0.7394   1.0000
  19.500   0.9242   0.27173   0.25817  -0.1530   0.7086   1.0000
  20.000   0.9505   0.27995   0.26651  -0.1576   0.6775   1.0000
  20.500   0.9815   0.29269   0.27941  -0.1627   0.6446   1.0000
  21.000   0.9983   0.29341   0.28021  -0.1662   0.6168   1.0000
  21.500   1.0290   0.30773   0.29468  -0.1711   0.5868   1.0000
  22.000   1.0453   0.30871   0.29572  -0.1749   0.5625   1.0000
  22.500   1.0662   0.31433   0.30145  -0.1791   0.5365   1.0000
  23.000   1.0898   0.32342   0.31067  -0.1835   0.5113   1.0000
  23.500   1.1140   0.33455   0.32193  -0.1879   0.4882   1.0000
  24.000   1.1353   0.34321   0.33066  -0.1924   0.4672   1.0000
  24.500   1.1548   0.35009   0.33763  -0.1968   0.4470   1.0000
  25.000   1.1720   0.35374   0.34141  -0.2013   0.4280   1.0000
  25.500   1.1871   0.35530   0.34302  -0.2061   0.4108   1.0000
  26.000   1.2030   0.35866   0.34645  -0.2111   0.3949   1.0000
  26.500   1.2206   0.36489   0.35277  -0.2160   0.3802   1.0000
  27.000   1.2407   0.37547   0.36345  -0.2207   0.3648   1.0000
  27.500   1.2588   0.38298   0.37110  -0.2254   0.3484   1.0000
  28.000   1.2705   0.38101   0.36917  -0.2311   0.3369   1.0000
  28.500   1.2889   0.39153   0.37979  -0.2360   0.3248   1.0000
  29.000   1.3040   0.39527   0.38366  -0.2412   0.3110   1.0000
  29.500   1.3173   0.39802   0.38647  -0.2469   0.3020   1.0000
  30.000   1.3374   0.41493   0.40356  -0.2511   0.2885   1.0000
