  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0067   0.03581   0.00958   0.0016   1.0000   1.0000
   0.500   0.0315   0.03579   0.00958   0.0055   1.0000   1.0000
   1.000   0.0565   0.03592   0.00979   0.0092   1.0000   1.0000
   1.500   0.0823   0.03621   0.01025   0.0128   1.0000   1.0000
   2.000   0.1093   0.03665   0.01103   0.0160   1.0000   1.0000
   2.500   0.1373   0.03727   0.01202   0.0188   1.0000   1.0000
   3.000   0.1662   0.03808   0.01332   0.0213   1.0000   1.0000
   3.500   0.1956   0.03909   0.01497   0.0233   1.0000   1.0000
   4.000   0.2250   0.04034   0.01712   0.0250   1.0000   1.0000
   4.500   0.2539   0.04188   0.01960   0.0263   1.0000   1.0000
   5.000   0.2816   0.04378   0.02262   0.0271   1.0000   1.0000
   5.500   0.3068   0.04624   0.02655   0.0273   1.0000   1.0000
   6.000   0.3236   0.04993   0.03164   0.0259   1.0000   1.0000
   6.500   0.3167   0.05678   0.03911   0.0207   1.0000   1.0000
   7.500   0.5539   0.09326   0.07739  -0.0233   0.5727   1.0000
   8.000   0.5558   0.10151   0.08548  -0.0255   0.5769   1.0000
   8.500   0.5516   0.10915   0.09295  -0.0275   0.5897   1.0000
   9.000   0.5445   0.11626   0.09990  -0.0297   0.6135   1.0000
   9.500   0.5355   0.12299   0.10647  -0.0324   0.6571   1.0000
  10.000   0.4991   0.12628   0.10947  -0.0340   0.7835   1.0000
  10.500   0.3879   0.11498   0.09742  -0.0126   1.0000   1.0000
  11.000   0.4046   0.12194   0.10444  -0.0156   1.0000   1.0000
  11.500   0.4218   0.12890   0.11145  -0.0186   1.0000   1.0000
  12.000   0.4394   0.13588   0.11861  -0.0217   1.0000   1.0000
  12.500   0.4573   0.14286   0.12564  -0.0248   1.0000   1.0000
  13.000   0.4755   0.14985   0.13269  -0.0280   1.0000   1.0000
  13.500   0.4939   0.15685   0.13975  -0.0313   1.0000   1.0000
  14.000   0.5127   0.16388   0.14683  -0.0346   1.0000   1.0000
  14.500   0.5316   0.17092   0.15394  -0.0380   1.0000   1.0000
  15.000   0.5507   0.17799   0.16106  -0.0415   1.0000   1.0000
  15.500   0.5976   0.19293   0.17635  -0.0525   0.9660   1.0000
  16.000   0.6336   0.20286   0.18646  -0.0601   0.9211   1.0000
  16.500   0.6663   0.21268   0.19641  -0.0661   0.8752   1.0000
  17.000   0.6995   0.22419   0.20806  -0.0717   0.8289   1.0000
  17.500   0.7261   0.23271   0.21665  -0.0755   0.7855   1.0000
  18.000   0.7522   0.24178   0.22595  -0.0791   0.7443   1.0000
  18.500   0.7722   0.24736   0.23158  -0.0817   0.7078   1.0000
  19.000   0.7971   0.25726   0.24156  -0.0851   0.6745   1.0000
  19.500   0.8156   0.26272   0.24705  -0.0876   0.6431   1.0000
  20.000   0.8364   0.27019   0.25458  -0.0905   0.6113   1.0000
  20.500   0.8591   0.27970   0.26417  -0.0935   0.5801   1.0000
  21.000   0.8798   0.28817   0.27268  -0.0964   0.5507   1.0000
  21.500   0.8982   0.29490   0.27945  -0.0992   0.5228   1.0000
  22.000   0.9177   0.30309   0.28785  -0.1021   0.4959   1.0000
  22.500   0.9317   0.30590   0.29070  -0.1049   0.4724   1.0000
  23.000   0.9491   0.31288   0.29771  -0.1081   0.4513   1.0000
  23.500   0.9666   0.31982   0.30473  -0.1114   0.4296   1.0000
  24.000   0.9835   0.32703   0.31198  -0.1148   0.4112   1.0000
  24.500   0.9977   0.33091   0.31590  -0.1183   0.3927   1.0000
  25.000   1.0152   0.33902   0.32409  -0.1218   0.3738   1.0000
  25.500   1.0324   0.34785   0.33308  -0.1254   0.3570   1.0000
  26.000   1.0457   0.35139   0.33667  -0.1293   0.3418   1.0000
  26.500   1.0599   0.35612   0.34147  -0.1333   0.3269   1.0000
  27.000   1.0742   0.36166   0.34706  -0.1374   0.3129   1.0000
  27.500   1.0888   0.36788   0.35336  -0.1415   0.2997   1.0000
  28.000   1.1038   0.37539   0.36095  -0.1456   0.2872   1.0000
  28.500   1.1188   0.38380   0.36950  -0.1497   0.2748   1.0000
  29.000   1.1291   0.38283   0.36863  -0.1546   0.2650   1.0000
  29.500   1.1418   0.38759   0.37346  -0.1592   0.2560   1.0000
  30.000   1.1561   0.39669   0.38266  -0.1634   0.2459   1.0000
