  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0008   0.03631   0.01088  -0.0056   1.0000   1.0000
   0.500   0.0283   0.03661   0.01088  -0.0023   1.0000   1.0000
   1.000   0.0583   0.03702   0.01110   0.0007   1.0000   1.0000
   1.500   0.0890   0.03754   0.01155   0.0034   1.0000   1.0000
   2.000   0.1201   0.03820   0.01224   0.0059   1.0000   1.0000
   2.500   0.1512   0.03901   0.01320   0.0081   1.0000   1.0000
   3.000   0.1818   0.04000   0.01451   0.0100   1.0000   1.0000
   3.500   0.2116   0.04122   0.01607   0.0116   1.0000   1.0000
   4.000   0.2399   0.04272   0.01803   0.0129   1.0000   1.0000
   4.500   0.2660   0.04458   0.02054   0.0138   1.0000   1.0000
   5.000   0.2890   0.04691   0.02348   0.0142   1.0000   1.0000
   5.500   0.3082   0.04986   0.02704   0.0138   1.0000   1.0000
   6.000   0.3232   0.05356   0.03136   0.0126   1.0000   1.0000
   6.500   0.3345   0.05807   0.03641   0.0104   1.0000   1.0000
   7.000   0.3438   0.06329   0.04210   0.0074   1.0000   1.0000
   7.500   0.3527   0.06908   0.04847   0.0040   1.0000   1.0000
   8.000   0.3623   0.07524   0.05503   0.0003   1.0000   1.0000
   8.500   0.3730   0.08174   0.06189  -0.0034   1.0000   1.0000
   9.000   0.3847   0.08847   0.06895  -0.0070   1.0000   1.0000
   9.500   0.3974   0.09540   0.07620  -0.0106   1.0000   1.0000
  10.000   0.4110   0.10249   0.08356  -0.0141   1.0000   1.0000
  10.500   0.4254   0.10968   0.09102  -0.0176   1.0000   1.0000
  11.000   0.4405   0.11693   0.09853  -0.0210   1.0000   1.0000
  11.500   0.4563   0.12425   0.10607  -0.0244   1.0000   1.0000
  12.000   0.4727   0.13161   0.11365  -0.0279   1.0000   1.0000
  12.500   0.4897   0.13903   0.12144  -0.0313   1.0000   1.0000
  13.000   0.5072   0.14643   0.12901  -0.0348   1.0000   1.0000
  13.500   0.5251   0.15389   0.13665  -0.0383   1.0000   1.0000
  14.000   0.5433   0.16133   0.14423  -0.0419   1.0000   1.0000
  14.500   0.5619   0.16883   0.15186  -0.0455   1.0000   1.0000
  15.000   0.5914   0.17902   0.16226  -0.0521   0.9868   1.0000
  15.500   0.6417   0.19420   0.17772  -0.0635   0.9232   1.0000
  16.000   0.6735   0.20423   0.18791  -0.0696   0.8810   1.0000
  16.500   0.7030   0.21465   0.19863  -0.0748   0.8445   1.0000
  17.000   0.7313   0.22457   0.20867  -0.0794   0.8073   1.0000
  17.500   0.7561   0.23200   0.21619  -0.0830   0.7670   1.0000
  18.000   0.7808   0.23947   0.22372  -0.0863   0.7257   1.0000
  18.500   0.8078   0.24966   0.23399  -0.0900   0.6894   1.0000
  19.000   0.8278   0.25540   0.23978  -0.0928   0.6582   1.0000
  19.500   0.8502   0.26324   0.24767  -0.0960   0.6273   1.0000
  20.000   0.8737   0.27249   0.25699  -0.0992   0.5968   1.0000
  20.500   0.8954   0.28078   0.26530  -0.1023   0.5671   1.0000
  21.000   0.9144   0.28693   0.27167  -0.1052   0.5387   1.0000
  21.500   0.9341   0.29404   0.27883  -0.1082   0.5112   1.0000
  22.000   0.9551   0.30297   0.28781  -0.1114   0.4854   1.0000
  22.500   0.9699   0.30605   0.29093  -0.1146   0.4642   1.0000
  23.000   0.9909   0.31625   0.30118  -0.1180   0.4442   1.0000
  23.500   1.0051   0.31925   0.30422  -0.1216   0.4265   1.0000
  24.000   1.0225   0.32579   0.31082  -0.1252   0.4080   1.0000
  24.500   1.0427   0.33661   0.32174  -0.1288   0.3903   1.0000
  25.000   1.0571   0.34057   0.32583  -0.1326   0.3750   1.0000
  25.500   1.0718   0.34474   0.33006  -0.1366   0.3597   1.0000
  26.000   1.0867   0.34973   0.33510  -0.1406   0.3447   1.0000
  26.500   1.1019   0.35515   0.34060  -0.1447   0.3302   1.0000
  27.000   1.1169   0.36087   0.34639  -0.1489   0.3169   1.0000
  27.500   1.1319   0.36710   0.35269  -0.1532   0.3046   1.0000
  28.000   1.1473   0.37478   0.36045  -0.1573   0.2929   1.0000
  28.500   1.1629   0.38306   0.36896  -0.1615   0.2810   1.0000
  29.000   1.1732   0.38217   0.36810  -0.1666   0.2721   1.0000
  29.500   1.1866   0.38813   0.37413  -0.1711   0.2637   1.0000
  30.000   1.2025   0.39983   0.38595  -0.1752   0.2533   1.0000
