  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0424   0.04769   0.02716  -0.0367   1.0000   1.0000
   0.500  -0.0068   0.04909   0.02747  -0.0366   1.0000   1.0000
   1.000   0.0282   0.05066   0.02809  -0.0364   1.0000   1.0000
   1.500   0.0626   0.05241   0.02906  -0.0363   1.0000   1.0000
   2.000   0.0964   0.05433   0.03031  -0.0362   1.0000   1.0000
   2.500   0.1296   0.05641   0.03186  -0.0362   1.0000   1.0000
   3.000   0.1622   0.05867   0.03366  -0.0362   1.0000   1.0000
   3.500   0.1941   0.06111   0.03576  -0.0364   1.0000   1.0000
   4.000   0.2253   0.06373   0.03812  -0.0366   1.0000   1.0000
   4.500   0.2557   0.06654   0.04075  -0.0369   1.0000   1.0000
   5.000   0.2853   0.06956   0.04366  -0.0374   1.0000   1.0000
   5.500   0.3140   0.07277   0.04685  -0.0379   1.0000   1.0000
   6.000   0.3418   0.07623   0.05034  -0.0386   1.0000   1.0000
   6.500   0.3686   0.07992   0.05415  -0.0394   1.0000   1.0000
   7.000   0.3944   0.08386   0.05824  -0.0404   1.0000   1.0000
   7.500   0.4192   0.08807   0.06265  -0.0415   1.0000   1.0000
   8.000   0.4428   0.09255   0.06742  -0.0428   1.0000   1.0000
   8.500   0.4654   0.09730   0.07247  -0.0443   1.0000   1.0000
   9.000   0.4868   0.10235   0.07784  -0.0460   1.0000   1.0000
   9.500   0.5073   0.10767   0.08358  -0.0478   1.0000   1.0000
  10.000   0.5268   0.11327   0.08955  -0.0499   1.0000   1.0000
  10.500   0.5455   0.11912   0.09581  -0.0522   1.0000   1.0000
  11.000   0.5635   0.12522   0.10238  -0.0547   1.0000   1.0000
  11.500   0.5810   0.13153   0.10912  -0.0573   1.0000   1.0000
  12.000   0.5981   0.13804   0.11605  -0.0602   1.0000   1.0000
  12.500   0.6150   0.14472   0.12315  -0.0633   1.0000   1.0000
  13.000   0.6317   0.15158   0.13049  -0.0665   1.0000   1.0000
  13.500   0.6485   0.15858   0.13791  -0.0699   1.0000   1.0000
  14.000   0.6652   0.16570   0.14543  -0.0735   1.0000   1.0000
  14.500   0.6820   0.17294   0.15306  -0.0772   1.0000   1.0000
  15.000   0.6990   0.18031   0.16086  -0.0810   1.0000   1.0000
  15.500   0.7161   0.18779   0.16870  -0.0849   1.0000   1.0000
  16.000   0.7626   0.20186   0.18340  -0.0966   0.9482   1.0000
  16.500   0.7993   0.21426   0.19625  -0.1047   0.8985   1.0000
  17.000   0.8271   0.22269   0.20512  -0.1101   0.8531   1.0000
  17.500   0.8519   0.23076   0.21352  -0.1147   0.8147   1.0000
  18.000   0.8760   0.23918   0.22221  -0.1189   0.7776   1.0000
  18.500   0.8978   0.24688   0.23015  -0.1228   0.7465   1.0000
  19.000   0.9198   0.25477   0.23832  -0.1264   0.7141   1.0000
  19.500   0.9408   0.26305   0.24678  -0.1301   0.6887   1.0000
  20.000   0.9627   0.27183   0.25572  -0.1337   0.6611   1.0000
  20.500   0.9818   0.27867   0.26272  -0.1371   0.6373   1.0000
  21.000   1.0005   0.28570   0.26985  -0.1405   0.6156   1.0000
  21.500   1.0204   0.29354   0.27783  -0.1439   0.5926   1.0000
  22.000   1.0401   0.30223   0.28668  -0.1475   0.5741   1.0000
  22.500   1.0552   0.30578   0.29032  -0.1507   0.5547   1.0000
  23.000   1.0741   0.31342   0.29807  -0.1543   0.5353   1.0000
  23.500   1.0942   0.32333   0.30811  -0.1579   0.5178   1.0000
  24.000   1.1104   0.32916   0.31399  -0.1614   0.5015   1.0000
  24.500   1.1256   0.33354   0.31845  -0.1650   0.4856   1.0000
  25.000   1.1412   0.33889   0.32396  -0.1687   0.4702   1.0000
  25.500   1.1571   0.34460   0.32976  -0.1724   0.4552   1.0000
  26.000   1.1725   0.35021   0.33546  -0.1761   0.4401   1.0000
  26.500   1.1877   0.35603   0.34137  -0.1799   0.4258   1.0000
  27.000   1.2030   0.36216   0.34760  -0.1838   0.4122   1.0000
  27.500   1.2182   0.36882   0.35436  -0.1877   0.3992   1.0000
  28.000   1.2333   0.37578   0.36149  -0.1916   0.3860   1.0000
  28.500   1.2486   0.38358   0.36941  -0.1954   0.3727   1.0000
  29.000   1.2622   0.38870   0.37465  -0.1994   0.3598   1.0000
  29.500   1.2724   0.38904   0.37506  -0.2038   0.3490   1.0000
  30.000   1.2846   0.39336   0.37947  -0.2081   0.3390   1.0000
