  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1618   0.05511   0.03878  -0.0277   1.0000   1.0000
   0.500  -0.0850   0.05593   0.03789  -0.0436   1.0000   1.0000
   1.000  -0.0219   0.05794   0.03841  -0.0522   1.0000   1.0000
   1.500   0.0294   0.06017   0.03946  -0.0570   1.0000   1.0000
   2.000   0.0750   0.06257   0.04093  -0.0602   1.0000   1.0000
   2.500   0.1172   0.06513   0.04276  -0.0626   1.0000   1.0000
   3.000   0.1572   0.06786   0.04488  -0.0646   1.0000   1.0000
   3.500   0.1952   0.07076   0.04731  -0.0664   1.0000   1.0000
   4.000   0.2317   0.07385   0.05002  -0.0679   1.0000   1.0000
   4.500   0.2668   0.07713   0.05302  -0.0694   1.0000   1.0000
   5.000   0.3007   0.08060   0.05628  -0.0708   1.0000   1.0000
   5.500   0.3333   0.08427   0.05983  -0.0723   1.0000   1.0000
   6.000   0.3647   0.08815   0.06365  -0.0737   1.0000   1.0000
   6.500   0.3950   0.09223   0.06775  -0.0752   1.0000   1.0000
   7.000   0.4242   0.09653   0.07213  -0.0767   1.0000   1.0000
   7.500   0.4523   0.10105   0.07676  -0.0784   1.0000   1.0000
   8.000   0.4793   0.10578   0.08170  -0.0801   1.0000   1.0000
   8.500   0.5052   0.11074   0.08687  -0.0819   1.0000   1.0000
   9.000   0.5302   0.11592   0.09231  -0.0839   1.0000   1.0000
   9.500   0.5542   0.12132   0.09803  -0.0859   1.0000   1.0000
  10.000   0.5774   0.12693   0.10396  -0.0882   1.0000   1.0000
  10.500   0.5998   0.13275   0.11016  -0.0906   1.0000   1.0000
  11.000   0.6215   0.13877   0.11655  -0.0932   1.0000   1.0000
  11.500   0.6426   0.14497   0.12314  -0.0960   1.0000   1.0000
  12.000   0.6630   0.15135   0.12997  -0.0989   1.0000   1.0000
  12.500   0.6830   0.15792   0.13695  -0.1021   1.0000   1.0000
  13.000   0.7027   0.16466   0.14412  -0.1054   1.0000   1.0000
  13.500   0.7220   0.17158   0.15150  -0.1090   1.0000   1.0000
  14.000   0.7409   0.17863   0.15898  -0.1127   1.0000   1.0000
  14.500   0.7597   0.18587   0.16664  -0.1165   1.0000   1.0000
  15.000   0.7783   0.19325   0.17448  -0.1206   1.0000   1.0000
  15.500   0.7968   0.20081   0.18245  -0.1247   1.0000   1.0000
  16.000   0.8343   0.21337   0.19558  -0.1340   0.9719   1.0000
  16.500   0.8692   0.22330   0.20606  -0.1422   0.9296   1.0000
  17.000   0.8959   0.22932   0.21253  -0.1480   0.8898   1.0000
  17.500   0.9263   0.24053   0.22416  -0.1543   0.8533   1.0000
  18.000   0.9491   0.24657   0.23058  -0.1589   0.8201   1.0000
  18.500   0.9723   0.25362   0.23795  -0.1635   0.7875   1.0000
  19.000   0.9962   0.26224   0.24686  -0.1681   0.7582   1.0000
  19.500   1.0203   0.27155   0.25645  -0.1727   0.7290   1.0000
  20.000   1.0411   0.27792   0.26306  -0.1767   0.7018   1.0000
  20.500   1.0599   0.28364   0.26900  -0.1805   0.6788   1.0000
  21.000   1.0858   0.29619   0.28176  -0.1851   0.6532   1.0000
  21.500   1.1007   0.29822   0.28393  -0.1886   0.6333   1.0000
  22.000   1.1214   0.30595   0.29183  -0.1925   0.6106   1.0000
  22.500   1.1430   0.31594   0.30201  -0.1966   0.5911   1.0000
  23.000   1.1586   0.31911   0.30528  -0.2004   0.5728   1.0000
  23.500   1.1763   0.32464   0.31092  -0.2042   0.5539   1.0000
  24.000   1.1953   0.33190   0.31831  -0.2082   0.5355   1.0000
  24.500   1.2148   0.34059   0.32712  -0.2121   0.5177   1.0000
  25.000   1.2339   0.34926   0.33595  -0.2162   0.5012   1.0000
  25.500   1.2513   0.35648   0.34324  -0.2201   0.4854   1.0000
  26.000   1.2675   0.36202   0.34886  -0.2241   0.4701   1.0000
  26.500   1.2835   0.36831   0.35523  -0.2280   0.4552   1.0000
  27.000   1.2999   0.37493   0.36195  -0.2321   0.4404   1.0000
  27.500   1.3136   0.37788   0.36506  -0.2362   0.4264   1.0000
  28.000   1.3265   0.38033   0.36757  -0.2404   0.4133   1.0000
  28.500   1.3397   0.38388   0.37119  -0.2447   0.4008   1.0000
  29.000   1.3534   0.38866   0.37604  -0.2490   0.3888   1.0000
  29.500   1.3678   0.39526   0.38273  -0.2532   0.3770   1.0000
  30.000   1.3832   0.40469   0.39226  -0.2572   0.3646   1.0000
