  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1284   0.05133   0.03119  -0.0151   1.0000   1.0000
   0.500  -0.1097   0.05081   0.03021  -0.0139   1.0000   1.0000
   1.000  -0.0794   0.05101   0.02992  -0.0145   1.0000   1.0000
   1.500  -0.0425   0.05178   0.03017  -0.0161   1.0000   1.0000
   2.000  -0.0027   0.05301   0.03103  -0.0183   1.0000   1.0000
   2.500   0.0383   0.05464   0.03238  -0.0207   1.0000   1.0000
   3.000   0.0791   0.05665   0.03416  -0.0234   1.0000   1.0000
   3.500   0.1187   0.05903   0.03645  -0.0262   1.0000   1.0000
   4.000   0.1569   0.06180   0.03922  -0.0291   1.0000   1.0000
   4.500   0.1929   0.06498   0.04243  -0.0322   1.0000   1.0000
   5.000   0.2268   0.06859   0.04616  -0.0354   1.0000   1.0000
   5.500   0.2584   0.07265   0.05040  -0.0388   1.0000   1.0000
   6.000   0.2877   0.07718   0.05516  -0.0424   1.0000   1.0000
   6.500   0.3152   0.08215   0.06040  -0.0463   1.0000   1.0000
   7.000   0.3410   0.08751   0.06601  -0.0502   1.0000   1.0000
   7.500   0.3657   0.09318   0.07195  -0.0543   1.0000   1.0000
   8.000   0.3902   0.09915   0.07819  -0.0585   1.0000   1.0000
   8.500   0.4143   0.10529   0.08470  -0.0626   1.0000   1.0000
   9.000   0.4385   0.11160   0.09130  -0.0669   1.0000   1.0000
   9.500   0.4628   0.11803   0.09807  -0.0711   1.0000   1.0000
  10.000   0.4872   0.12454   0.10491  -0.0754   1.0000   1.0000
  10.500   0.5118   0.13117   0.11191  -0.0797   1.0000   1.0000
  11.000   0.5364   0.13786   0.11895  -0.0841   1.0000   1.0000
  11.500   0.5611   0.14468   0.12611  -0.0885   1.0000   1.0000
  12.000   0.5859   0.15159   0.13340  -0.0930   1.0000   1.0000
  12.500   0.6104   0.15861   0.14089  -0.0976   1.0000   1.0000
  13.000   0.6346   0.16571   0.14839  -0.1022   1.0000   1.0000
  13.500   0.6586   0.17299   0.15608  -0.1069   1.0000   1.0000
  14.000   0.6824   0.18042   0.16393  -0.1118   1.0000   1.0000
  14.500   0.7059   0.18805   0.17199  -0.1168   1.0000   1.0000
  15.000   0.7287   0.19583   0.18021  -0.1218   1.0000   1.0000
  15.500   0.7514   0.20388   0.18883  -0.1270   1.0000   1.0000
  16.000   0.7856   0.21492   0.20039  -0.1355   0.9820   1.0000
  16.500   0.8181   0.22289   0.20886  -0.1436   0.9507   1.0000
  17.000   0.8527   0.23436   0.22079  -0.1519   0.9180   1.0000
  17.500   0.8793   0.24002   0.22681  -0.1581   0.8850   1.0000
  18.000   0.9094   0.24837   0.23549  -0.1648   0.8476   1.0000
  18.500   0.9396   0.25806   0.24546  -0.1712   0.8112   1.0000
  19.000   0.9709   0.26887   0.25654  -0.1773   0.7728   1.0000
  19.500   0.9937   0.27318   0.26117  -0.1820   0.7402   1.0000
  20.000   1.0234   0.28346   0.27165  -0.1873   0.7023   1.0000
  20.500   1.0479   0.29137   0.27972  -0.1921   0.6744   1.0000
  21.000   1.0724   0.29927   0.28778  -0.1968   0.6465   1.0000
  21.500   1.0945   0.30464   0.29327  -0.2011   0.6160   1.0000
  22.000   1.1170   0.31166   0.30041  -0.2054   0.5874   1.0000
  22.500   1.1434   0.32333   0.31226  -0.2102   0.5634   1.0000
  23.000   1.1598   0.32555   0.31454  -0.2146   0.5437   1.0000
  23.500   1.1842   0.33648   0.32574  -0.2192   0.5218   1.0000
  24.000   1.2011   0.33941   0.32872  -0.2236   0.5010   1.0000
  24.500   1.2235   0.34912   0.33851  -0.2279   0.4771   1.0000
  25.000   1.2412   0.35285   0.34231  -0.2325   0.4556   1.0000
  25.500   1.2623   0.36266   0.35221  -0.2369   0.4375   1.0000
  26.000   1.2822   0.37174   0.36133  -0.2416   0.4218   1.0000
  26.500   1.2992   0.37698   0.36661  -0.2464   0.4072   1.0000
  27.000   1.3157   0.38252   0.37219  -0.2511   0.3929   1.0000
  27.500   1.3320   0.38737   0.37717  -0.2560   0.3782   1.0000
  28.000   1.3474   0.39186   0.38169  -0.2608   0.3633   1.0000
  28.500   1.3631   0.39719   0.38706  -0.2657   0.3489   1.0000
  29.000   1.3793   0.40441   0.39433  -0.2704   0.3359   1.0000
  29.500   1.3947   0.41204   0.40206  -0.2749   0.3239   1.0000
  30.000   1.4065   0.41128   0.40131  -0.2808   0.3145   1.0000
