  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0361   0.04547   0.02269   0.0002   1.0000   1.0000
   0.500  -0.0286   0.04655   0.02343   0.0040   1.0000   1.0000
   1.000  -0.0176   0.04788   0.02442   0.0071   1.0000   1.0000
   1.500  -0.0037   0.04947   0.02570   0.0094   1.0000   1.0000
   2.000   0.0125   0.05130   0.02728   0.0110   1.0000   1.0000
   2.500   0.0303   0.05338   0.02914   0.0121   1.0000   1.0000
   3.000   0.0494   0.05572   0.03130   0.0127   1.0000   1.0000
   3.500   0.0692   0.05830   0.03375   0.0129   1.0000   1.0000
   4.000   0.0896   0.06114   0.03649   0.0127   1.0000   1.0000
   4.500   0.1101   0.06422   0.03952   0.0123   1.0000   1.0000
   5.000   0.1308   0.06755   0.04284   0.0116   1.0000   1.0000
   5.500   0.1513   0.07113   0.04643   0.0106   1.0000   1.0000
   6.000   0.1717   0.07496   0.05032   0.0095   1.0000   1.0000
   6.500   0.1919   0.07904   0.05447   0.0082   1.0000   1.0000
   7.000   0.2118   0.08335   0.05887   0.0068   1.0000   1.0000
   7.500   0.2314   0.08789   0.06354   0.0052   1.0000   1.0000
   8.000   0.2508   0.09262   0.06840   0.0034   1.0000   1.0000
   8.500   0.2701   0.09753   0.07345   0.0016   1.0000   1.0000
   9.000   0.2893   0.10259   0.07870  -0.0003   1.0000   1.0000
   9.500   0.3084   0.10779   0.08407  -0.0023   1.0000   1.0000
  10.000   0.3276   0.11310   0.08956  -0.0044   1.0000   1.0000
  10.500   0.3468   0.11850   0.09519  -0.0066   1.0000   1.0000
  11.000   0.3661   0.12399   0.10087  -0.0089   1.0000   1.0000
  11.500   0.3855   0.12955   0.10665  -0.0113   1.0000   1.0000
  12.000   0.4050   0.13518   0.11253  -0.0138   1.0000   1.0000
  12.500   0.4247   0.14088   0.11847  -0.0164   1.0000   1.0000
  13.000   0.4443   0.14666   0.12450  -0.0191   1.0000   1.0000
  13.500   0.4639   0.15252   0.13066  -0.0219   1.0000   1.0000
  14.000   0.4836   0.15849   0.13690  -0.0248   1.0000   1.0000
  14.500   0.5031   0.16457   0.14327  -0.0279   1.0000   1.0000
  15.000   0.5225   0.17078   0.14982  -0.0311   1.0000   1.0000
  15.500   0.5418   0.17715   0.15649  -0.0345   1.0000   1.0000
  16.000   0.5609   0.18369   0.16334  -0.0380   1.0000   1.0000
  16.500   0.6054   0.19789   0.17809  -0.0485   0.9688   1.0000
  17.000   0.6492   0.21151   0.19220  -0.0582   0.9117   1.0000
  17.500   0.6780   0.21896   0.19998  -0.0636   0.8595   1.0000
  18.000   0.7064   0.22795   0.20927  -0.0684   0.8091   1.0000
  18.500   0.7340   0.23786   0.21941  -0.0728   0.7619   1.0000
  19.000   0.7594   0.24694   0.22868  -0.0765   0.7176   1.0000
  19.500   0.7823   0.25562   0.23750  -0.0798   0.6806   1.0000
  20.000   0.8033   0.26314   0.24513  -0.0828   0.6472   1.0000
  20.500   0.8267   0.27307   0.25518  -0.0861   0.6157   1.0000
  21.000   0.8412   0.27569   0.25786  -0.0886   0.5893   1.0000
  21.500   0.8635   0.28576   0.26806  -0.0920   0.5648   1.0000
  22.000   0.8790   0.28947   0.27182  -0.0950   0.5422   1.0000
  22.500   0.8996   0.29817   0.28063  -0.0984   0.5199   1.0000
  23.000   0.9210   0.30892   0.29146  -0.1019   0.5002   1.0000
  23.500   0.9365   0.31338   0.29601  -0.1053   0.4829   1.0000
  24.000   0.9531   0.31907   0.30177  -0.1088   0.4661   1.0000
  24.500   0.9701   0.32544   0.30822  -0.1124   0.4499   1.0000
  25.000   0.9875   0.33268   0.31553  -0.1161   0.4342   1.0000
  25.500   1.0056   0.34120   0.32418  -0.1199   0.4189   1.0000
  26.000   1.0191   0.34327   0.32634  -0.1238   0.4050   1.0000
  26.500   1.0327   0.34613   0.32924  -0.1279   0.3926   1.0000
  27.000   1.0479   0.35177   0.33496  -0.1320   0.3811   1.0000
  27.500   1.0654   0.36116   0.34448  -0.1360   0.3691   1.0000
  28.000   1.0810   0.36742   0.35087  -0.1402   0.3562   1.0000
  28.500   1.0925   0.36800   0.35149  -0.1448   0.3466   1.0000
  29.000   1.1086   0.37691   0.36049  -0.1490   0.3368   1.0000
  29.500   1.1228   0.38181   0.36552  -0.1534   0.3254   1.0000
  30.000   1.1346   0.38423   0.36804  -0.1583   0.3176   1.0000
