  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0896   0.05309   0.03488  -0.0264   1.0000   1.0000
   0.500  -0.0537   0.05443   0.03436  -0.0250   1.0000   1.0000
   1.000  -0.0197   0.05590   0.03446  -0.0238   1.0000   1.0000
   1.500   0.0136   0.05752   0.03498  -0.0228   1.0000   1.0000
   2.000   0.0464   0.05930   0.03577  -0.0221   1.0000   1.0000
   2.500   0.0789   0.06123   0.03694  -0.0214   1.0000   1.0000
   3.000   0.1109   0.06333   0.03840  -0.0210   1.0000   1.0000
   3.500   0.1424   0.06559   0.04011  -0.0206   1.0000   1.0000
   4.000   0.1733   0.06803   0.04211  -0.0204   1.0000   1.0000
   4.500   0.2037   0.07062   0.04434  -0.0203   1.0000   1.0000
   5.000   0.2335   0.07340   0.04688  -0.0204   1.0000   1.0000
   5.500   0.2627   0.07636   0.04967  -0.0205   1.0000   1.0000
   6.000   0.2911   0.07951   0.05272  -0.0208   1.0000   1.0000
   6.500   0.3188   0.08285   0.05604  -0.0213   1.0000   1.0000
   7.000   0.3458   0.08640   0.05964  -0.0218   1.0000   1.0000
   7.500   0.3719   0.09015   0.06349  -0.0225   1.0000   1.0000
   8.000   0.3971   0.09413   0.06762  -0.0234   1.0000   1.0000
   8.500   0.4215   0.09834   0.07208  -0.0244   1.0000   1.0000
   9.000   0.4448   0.10278   0.07678  -0.0255   1.0000   1.0000
   9.500   0.4673   0.10747   0.08177  -0.0269   1.0000   1.0000
  10.000   0.4887   0.11243   0.08715  -0.0284   1.0000   1.0000
  10.500   0.5092   0.11764   0.09273  -0.0302   1.0000   1.0000
  11.000   0.5286   0.12312   0.09861  -0.0322   1.0000   1.0000
  11.500   0.5472   0.12889   0.10479  -0.0344   1.0000   1.0000
  12.000   0.5650   0.13492   0.11126  -0.0369   1.0000   1.0000
  12.500   0.5821   0.14122   0.11815  -0.0396   1.0000   1.0000
  13.000   0.5986   0.14777   0.12514  -0.0426   1.0000   1.0000
  13.500   0.6146   0.15458   0.13237  -0.0458   1.0000   1.0000
  14.000   0.6304   0.16163   0.13984  -0.0493   1.0000   1.0000
  14.500   0.6461   0.16886   0.14744  -0.0529   1.0000   1.0000
  15.000   0.6624   0.17617   0.15512  -0.0569   0.9992   1.0000
  15.500   0.7239   0.19445   0.17411  -0.0721   0.9074   1.0000
  16.000   0.7558   0.20512   0.18542  -0.0784   0.8493   1.0000
  16.500   0.7842   0.21598   0.19662  -0.0835   0.8027   1.0000
  17.000   0.8035   0.22261   0.20351  -0.0868   0.7702   1.0000
  17.500   0.8299   0.23418   0.21537  -0.0912   0.7364   1.0000
  18.000   0.8471   0.23997   0.22139  -0.0942   0.7117   1.0000
  18.500   0.8645   0.24639   0.22800  -0.0974   0.6921   1.0000
  19.000   0.8861   0.25558   0.23740  -0.1010   0.6678   1.0000
  19.500   0.9021   0.26056   0.24257  -0.1041   0.6492   1.0000
  20.000   0.9205   0.26786   0.25031  -0.1076   0.6339   1.0000
  20.500   0.9420   0.27800   0.26068  -0.1115   0.6162   1.0000
  21.000   0.9574   0.28237   0.26518  -0.1146   0.5988   1.0000
  21.500   0.9744   0.28837   0.27136  -0.1181   0.5831   1.0000
  22.000   0.9918   0.29524   0.27839  -0.1217   0.5701   1.0000
  22.500   1.0092   0.30217   0.28548  -0.1255   0.5574   1.0000
  23.000   1.0262   0.30850   0.29196  -0.1291   0.5431   1.0000
  23.500   1.0443   0.31567   0.29929  -0.1327   0.5253   1.0000
  25.000   1.0979   0.33965   0.32386  -0.1441   0.4817   1.0000
  25.500   1.1135   0.34528   0.32959  -0.1480   0.4686   1.0000
  26.500   1.1435   0.35546   0.33993  -0.1556   0.4402   1.0000
  27.000   1.1575   0.35902   0.34356  -0.1595   0.4249   1.0000
  27.500   1.1722   0.36422   0.34885  -0.1634   0.4106   1.0000
  28.000   1.1873   0.37084   0.35557  -0.1675   0.3982   1.0000
  28.500   1.2027   0.37847   0.36344  -0.1715   0.3860   1.0000
  29.500   1.2296   0.38801   0.37321  -0.1799   0.3620   1.0000
  30.000   1.2414   0.39102   0.37630  -0.1842   0.3508   1.0000
