  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2404   0.06915   0.05539  -0.0188   1.0000   1.0000
   0.500  -0.2039   0.07057   0.05415  -0.0168   1.0000   1.0000
   1.000  -0.1768   0.07183   0.05345  -0.0146   1.0000   1.0000
   1.500  -0.1507   0.07323   0.05352  -0.0128   1.0000   1.0000
   2.000  -0.1243   0.07482   0.05400  -0.0114   1.0000   1.0000
   2.500  -0.0976   0.07661   0.05483  -0.0104   1.0000   1.0000
   3.000  -0.0704   0.07859   0.05597  -0.0096   1.0000   1.0000
   3.500  -0.0429   0.08076   0.05739  -0.0090   1.0000   1.0000
   4.000  -0.0152   0.08309   0.05908  -0.0086   1.0000   1.0000
   4.500   0.0127   0.08559   0.06086  -0.0085   1.0000   1.0000
   5.000   0.0406   0.08826   0.06302  -0.0085   1.0000   1.0000
   5.500   0.0686   0.09106   0.06540  -0.0087   1.0000   1.0000
   6.000   0.0965   0.09401   0.06800  -0.0091   1.0000   1.0000
   6.500   0.1244   0.09709   0.07071  -0.0096   1.0000   1.0000
   7.000   0.1521   0.10031   0.07369  -0.0102   1.0000   1.0000
   7.500   0.1797   0.10365   0.07686  -0.0110   1.0000   1.0000
   8.000   0.2071   0.10710   0.08016  -0.0118   1.0000   1.0000
   8.500   0.2343   0.11067   0.08366  -0.0129   1.0000   1.0000
   9.000   0.2612   0.11436   0.08733  -0.0140   1.0000   1.0000
   9.500   0.2879   0.11816   0.09114  -0.0153   1.0000   1.0000
  10.000   0.3143   0.12208   0.09512  -0.0167   1.0000   1.0000
  10.500   0.3404   0.12609   0.09933  -0.0182   1.0000   1.0000
  11.000   0.3661   0.13023   0.10363  -0.0199   1.0000   1.0000
  11.500   0.3914   0.13449   0.10809  -0.0216   1.0000   1.0000
  12.000   0.4164   0.13886   0.11270  -0.0236   1.0000   1.0000
  12.500   0.4410   0.14335   0.11763  -0.0256   1.0000   1.0000
  13.000   0.4651   0.14796   0.12253  -0.0278   1.0000   1.0000
  13.500   0.4888   0.15271   0.12762  -0.0301   1.0000   1.0000
  14.000   0.5120   0.15758   0.13286  -0.0326   1.0000   1.0000
  14.500   0.5348   0.16259   0.13827  -0.0352   1.0000   1.0000
  15.000   0.5572   0.16775   0.14387  -0.0379   1.0000   1.0000
  15.500   0.5791   0.17306   0.14996  -0.0408   1.0000   1.0000
  16.000   0.6004   0.17852   0.15591  -0.0439   1.0000   1.0000
  16.500   0.6213   0.18415   0.16205  -0.0471   1.0000   1.0000
  17.000   0.6548   0.19410   0.17264  -0.0539   0.9841   1.0000
  17.500   0.6903   0.20267   0.18191  -0.0614   0.9484   1.0000
  18.000   0.7213   0.21097   0.19088  -0.0677   0.9124   1.0000
  18.500   0.7513   0.22051   0.20107  -0.0738   0.8755   1.0000
  19.000   0.7771   0.22809   0.20929  -0.0789   0.8377   1.0000
  19.500   0.7986   0.23398   0.21613  -0.0833   0.8011   1.0000
  20.000   0.8204   0.24158   0.22430  -0.0879   0.7649   1.0000
  20.500   0.8436   0.25136   0.23458  -0.0927   0.7288   1.0000
  21.000   0.8617   0.25714   0.24077  -0.0967   0.6950   1.0000
  21.500   0.8849   0.26861   0.25263  -0.1014   0.6637   1.0000
  22.000   0.9032   0.27597   0.26031  -0.1055   0.6372   1.0000
  22.500   0.9214   0.28305   0.26768  -0.1096   0.6115   1.0000
  23.000   0.9349   0.28582   0.27062  -0.1133   0.5926   1.0000
  23.500   0.9552   0.29543   0.28046  -0.1176   0.5704   1.0000
  24.000   0.9710   0.29978   0.28495  -0.1215   0.5501   1.0000
  24.500   0.9896   0.30817   0.29349  -0.1259   0.5345   1.0000
  25.000   1.0067   0.31449   0.30007  -0.1300   0.5171   1.0000
  25.500   1.0230   0.31916   0.30483  -0.1341   0.4982   1.0000
  26.000   1.0395   0.32529   0.31103  -0.1384   0.4860   1.0000
  26.500   1.0559   0.33164   0.31744  -0.1428   0.4751   1.0000
  27.000   1.0729   0.33890   0.32479  -0.1472   0.4640   1.0000
  27.500   1.0892   0.34511   0.33107  -0.1516   0.4511   1.0000
  28.000   1.1047   0.35037   0.33640  -0.1559   0.4375   1.0000
  28.500   1.1202   0.35580   0.34191  -0.1602   0.4240   1.0000
  29.000   1.1369   0.36353   0.34973  -0.1647   0.4121   1.0000
  30.000   1.1627   0.36990   0.35639  -0.1740   0.3936   1.0000
