  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2086   0.06772   0.04796  -0.0101   1.0000   1.0000
   0.500  -0.2075   0.06678   0.04656  -0.0065   1.0000   1.0000
   1.000  -0.1982   0.06636   0.04560  -0.0043   1.0000   1.0000
   1.500  -0.1791   0.06667   0.04527  -0.0036   1.0000   1.0000
   2.000  -0.1530   0.06762   0.04560  -0.0040   1.0000   1.0000
   2.500  -0.1228   0.06907   0.04642  -0.0051   1.0000   1.0000
   3.000  -0.0902   0.07089   0.04769  -0.0065   1.0000   1.0000
   3.500  -0.0566   0.07302   0.04929  -0.0080   1.0000   1.0000
   4.000  -0.0225   0.07540   0.05124  -0.0096   1.0000   1.0000
   4.500   0.0116   0.07800   0.05344  -0.0113   1.0000   1.0000
   5.000   0.0454   0.08079   0.05591  -0.0130   1.0000   1.0000
   5.500   0.0787   0.08376   0.05861  -0.0146   1.0000   1.0000
   6.000   0.1116   0.08690   0.06155  -0.0163   1.0000   1.0000
   6.500   0.1439   0.09019   0.06471  -0.0180   1.0000   1.0000
   7.000   0.1755   0.09365   0.06808  -0.0197   1.0000   1.0000
   7.500   0.2065   0.09726   0.07167  -0.0214   1.0000   1.0000
   8.000   0.2367   0.10102   0.07545  -0.0232   1.0000   1.0000
   8.500   0.2662   0.10493   0.07945  -0.0250   1.0000   1.0000
   9.000   0.2950   0.10899   0.08362  -0.0269   1.0000   1.0000
   9.500   0.3231   0.11320   0.08802  -0.0288   1.0000   1.0000
  10.000   0.3505   0.11756   0.09258  -0.0308   1.0000   1.0000
  10.500   0.3771   0.12207   0.09733  -0.0329   1.0000   1.0000
  11.000   0.4029   0.12673   0.10230  -0.0351   1.0000   1.0000
  11.500   0.4280   0.13153   0.10742  -0.0375   1.0000   1.0000
  12.000   0.4525   0.13650   0.11277  -0.0399   1.0000   1.0000
  12.500   0.4762   0.14163   0.11827  -0.0425   1.0000   1.0000
  13.000   0.4992   0.14691   0.12395  -0.0452   1.0000   1.0000
  13.500   0.5215   0.15237   0.12988  -0.0481   1.0000   1.0000
  14.000   0.5432   0.15799   0.13594  -0.0511   1.0000   1.0000
  14.500   0.5641   0.16381   0.14221  -0.0543   1.0000   1.0000
  15.000   0.5844   0.16981   0.14873  -0.0577   1.0000   1.0000
  15.500   0.6041   0.17604   0.15543  -0.0612   1.0000   1.0000
  16.000   0.6232   0.18249   0.16235  -0.0650   1.0000   1.0000
  16.500   0.6462   0.19041   0.17077  -0.0701   0.9952   1.0000
  17.000   0.6948   0.20608   0.18724  -0.0819   0.9425   1.0000
  17.500   0.7257   0.21353   0.19524  -0.0888   0.8919   1.0000
  18.000   0.7558   0.22305   0.20525  -0.0950   0.8423   1.0000
  18.500   0.7821   0.23187   0.21449  -0.1002   0.7974   1.0000
  19.000   0.8051   0.23962   0.22264  -0.1046   0.7572   1.0000
  19.500   0.8322   0.25158   0.23493  -0.1096   0.7182   1.0000
  20.000   0.8512   0.25786   0.24143  -0.1132   0.6871   1.0000
  20.500   0.8717   0.26552   0.24927  -0.1171   0.6573   1.0000
  21.000   0.8929   0.27407   0.25802  -0.1210   0.6302   1.0000
  21.500   0.9082   0.27803   0.26205  -0.1244   0.6095   1.0000
  22.000   0.9272   0.28513   0.26934  -0.1282   0.5895   1.0000
  22.500   0.9504   0.29703   0.28135  -0.1323   0.5697   1.0000
  23.000   0.9669   0.30219   0.28658  -0.1360   0.5542   1.0000
  23.500   0.9837   0.30774   0.29220  -0.1397   0.5389   1.0000
  24.000   1.0012   0.31416   0.29871  -0.1435   0.5243   1.0000
  24.500   1.0194   0.32172   0.30635  -0.1474   0.5103   1.0000
  25.500   1.0511   0.33140   0.31626  -0.1551   0.4842   1.0000
  26.000   1.0653   0.33491   0.31982  -0.1591   0.4734   1.0000
  26.500   1.0811   0.34058   0.32556  -0.1631   0.4622   1.0000
  27.000   1.0978   0.34764   0.33270  -0.1671   0.4505   1.0000
  27.500   1.1157   0.35666   0.34181  -0.1712   0.4383   1.0000
  28.000   1.1291   0.35945   0.34469  -0.1752   0.4270   1.0000
  28.500   1.1418   0.36205   0.34741  -0.1794   0.4172   1.0000
  29.000   1.1567   0.36833   0.35376  -0.1836   0.4071   1.0000
  29.500   1.1731   0.37707   0.36260  -0.1876   0.3954   1.0000
  30.000   1.1861   0.38050   0.36612  -0.1918   0.3839   1.0000
