  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2161   0.06977   0.05004  -0.0117   0.9998   1.0002
   0.500  -0.2144   0.06879   0.04863  -0.0086   0.9998   1.0002
   1.000  -0.2020   0.06848   0.04777  -0.0073   0.9998   1.0002
   1.500  -0.1788   0.06900   0.04771  -0.0079   0.9998   1.0002
   2.000  -0.1481   0.07021   0.04831  -0.0097   0.9998   1.0002
   2.500  -0.1135   0.07196   0.04949  -0.0120   0.9998   1.0002
   3.000  -0.0769   0.07411   0.05109  -0.0146   0.9998   1.0002
   3.500  -0.0395   0.07657   0.05307  -0.0173   0.9998   1.0002
   4.000  -0.0022   0.07928   0.05535  -0.0199   0.9998   1.0002
   4.500   0.0347   0.08220   0.05791  -0.0224   0.9998   1.0002
   5.000   0.0710   0.08531   0.06071  -0.0248   0.9998   1.0002
   5.500   0.1065   0.08859   0.06375  -0.0272   0.9998   1.0002
   6.000   0.1413   0.09202   0.06700  -0.0294   0.9998   1.0002
   6.500   0.1753   0.09560   0.07046  -0.0316   0.9998   1.0002
   7.000   0.2084   0.09933   0.07412  -0.0338   0.9998   1.0002
   7.500   0.2408   0.10319   0.07797  -0.0359   0.9998   1.0002
   8.000   0.2723   0.10718   0.08199  -0.0380   0.9998   1.0002
   8.500   0.3031   0.11131   0.08622  -0.0401   0.9998   1.0002
   9.000   0.3331   0.11557   0.09060  -0.0423   0.9998   1.0002
   9.500   0.3624   0.11996   0.09517  -0.0445   0.9998   1.0002
  10.000   0.3910   0.12447   0.09990  -0.0467   0.9998   1.0002
  10.500   0.4189   0.12912   0.10482  -0.0490   0.9998   1.0002
  11.000   0.4461   0.13389   0.10988  -0.0513   0.9998   1.0002
  11.500   0.4726   0.13880   0.11511  -0.0537   0.9998   1.0002
  12.000   0.4985   0.14386   0.12056  -0.0563   0.9998   1.0002
  12.500   0.5237   0.14906   0.12615  -0.0589   0.9998   1.0002
  13.000   0.5483   0.15442   0.13197  -0.0617   0.9998   1.0002
  13.500   0.5722   0.15996   0.13796  -0.0647   0.9998   1.0002
  14.000   0.5953   0.16567   0.14415  -0.0678   0.9998   1.0002
  14.500   0.6178   0.17159   0.15062  -0.0710   0.9998   1.0002
  15.000   0.6395   0.17776   0.15730  -0.0745   0.9998   1.0002
  15.500   0.6604   0.18420   0.16428  -0.0783   0.9998   1.0002
  16.000   0.6805   0.19096   0.17163  -0.0823   0.9998   1.0002
  16.500   0.6998   0.19809   0.17931  -0.0866   0.9998   1.0002
  17.000   0.7397   0.21076   0.19273  -0.0969   0.9660   1.0002
  17.500   0.7813   0.22333   0.20605  -0.1070   0.8970   1.0002
  18.000   0.8145   0.23499   0.21820  -0.1142   0.8329   1.0002
  18.500   0.8365   0.24067   0.22421  -0.1186   0.7781   1.0002
  19.000   0.8611   0.24959   0.23341  -0.1233   0.7310   1.0002
  19.500   0.8866   0.26049   0.24453  -0.1281   0.6927   1.0002
  20.000   0.9073   0.26780   0.25206  -0.1321   0.6612   1.0002
  20.500   0.9289   0.27587   0.26030  -0.1362   0.6340   1.0002
  21.000   0.9467   0.28139   0.26592  -0.1401   0.6129   1.0002
  21.500   0.9658   0.28767   0.27231  -0.1442   0.5930   1.0002
  22.000   0.9865   0.29566   0.28043  -0.1484   0.5744   1.0002
  22.500   1.0058   0.30263   0.28750  -0.1527   0.5590   1.0002
  23.000   1.0243   0.30894   0.29396  -0.1569   0.5444   1.0002
  23.500   1.0423   0.31487   0.29996  -0.1613   0.5316   1.0002
  24.000   1.0609   0.32175   0.30693  -0.1657   0.5196   1.0002
  24.500   1.0807   0.33008   0.31536  -0.1702   0.5073   1.0002
  25.000   1.1020   0.34066   0.32605  -0.1747   0.4945   1.0002
  25.500   1.1159   0.34152   0.32704  -0.1792   0.4834   1.0002
  26.000   1.1321   0.34616   0.33174  -0.1838   0.4731   1.0002
  26.500   1.1506   0.35421   0.33989  -0.1883   0.4626   1.0002
  27.500   1.1833   0.36427   0.35013  -0.1976   0.4405   1.0002
  28.000   1.1990   0.36950   0.35543  -0.2024   0.4309   1.0002
  28.500   1.2174   0.37902   0.36511  -0.2070   0.4202   1.0002
  29.000   1.2327   0.38338   0.36959  -0.2117   0.4089   1.0002
  29.500   1.2457   0.38520   0.37147  -0.2167   0.3999   1.0002
  30.000   1.2619   0.39277   0.37913  -0.2215   0.3902   1.0002
