  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1931   0.07720   0.05676  -0.0130   1.0000   1.0000
   0.500  -0.1943   0.07584   0.05509  -0.0092   1.0000   1.0000
   1.000  -0.1954   0.07439   0.05330  -0.0054   1.0000   1.0000
   1.500  -0.1951   0.07294   0.05155  -0.0018   1.0000   1.0000
   2.000  -0.1867   0.07204   0.05027   0.0004   1.0000   1.0000
   2.500  -0.1662   0.07209   0.04983   0.0003   1.0000   1.0000
   3.000  -0.1367   0.07303   0.05028  -0.0012   1.0000   1.0000
   3.500  -0.1023   0.07463   0.05137  -0.0034   1.0000   1.0000
   4.000  -0.0656   0.07668   0.05298  -0.0060   1.0000   1.0000
   4.500  -0.0281   0.07907   0.05496  -0.0086   1.0000   1.0000
   5.000   0.0092   0.08172   0.05727  -0.0112   1.0000   1.0000
   5.500   0.0460   0.08460   0.05988  -0.0137   1.0000   1.0000
   6.000   0.0821   0.08767   0.06274  -0.0161   1.0000   1.0000
   6.500   0.1173   0.09092   0.06583  -0.0184   1.0000   1.0000
   7.000   0.1516   0.09433   0.06916  -0.0206   1.0000   1.0000
   7.500   0.1850   0.09791   0.07270  -0.0228   1.0000   1.0000
   8.000   0.2174   0.10166   0.07648  -0.0250   1.0000   1.0000
   8.500   0.2490   0.10556   0.08046  -0.0272   1.0000   1.0000
   9.000   0.2796   0.10962   0.08466  -0.0294   1.0000   1.0000
   9.500   0.3093   0.11384   0.08904  -0.0317   1.0000   1.0000
  10.000   0.3381   0.11822   0.09366  -0.0340   1.0000   1.0000
  10.500   0.3661   0.12276   0.09844  -0.0364   1.0000   1.0000
  11.000   0.3932   0.12745   0.10343  -0.0388   1.0000   1.0000
  11.500   0.4195   0.13231   0.10864  -0.0414   1.0000   1.0000
  12.000   0.4449   0.13733   0.11400  -0.0441   1.0000   1.0000
  12.500   0.4696   0.14251   0.11961  -0.0469   1.0000   1.0000
  13.000   0.4936   0.14786   0.12536  -0.0498   1.0000   1.0000
  13.500   0.5168   0.15338   0.13130  -0.0529   1.0000   1.0000
  14.000   0.5394   0.15907   0.13749  -0.0561   1.0000   1.0000
  14.500   0.5612   0.16495   0.14383  -0.0595   1.0000   1.0000
  15.000   0.5824   0.17103   0.15037  -0.0630   1.0000   1.0000
  15.500   0.6029   0.17730   0.15718  -0.0668   1.0000   1.0000
  16.000   0.6229   0.18380   0.16416  -0.0707   1.0000   1.0000
  16.500   0.6480   0.19258   0.17347  -0.0763   0.9942   1.0000
  17.000   0.6901   0.20400   0.18559  -0.0864   0.9467   1.0000
  17.500   0.7244   0.21431   0.19655  -0.0942   0.8994   1.0000
  18.000   0.7542   0.22370   0.20646  -0.1006   0.8539   1.0000
  18.500   0.7793   0.23132   0.21451  -0.1059   0.8113   1.0000
  19.000   0.8032   0.23942   0.22297  -0.1109   0.7722   1.0000
  19.500   0.8305   0.25095   0.23486  -0.1162   0.7331   1.0000
  20.500   0.8721   0.26544   0.24981  -0.1246   0.6718   1.0000
  21.000   0.8908   0.27111   0.25565  -0.1285   0.6472   1.0000
  21.500   0.9104   0.27821   0.26286  -0.1326   0.6255   1.0000
  22.000   0.9287   0.28408   0.26885  -0.1366   0.6064   1.0000
  22.500   0.9504   0.29317   0.27807  -0.1408   0.5867   1.0000
  23.000   0.9700   0.30090   0.28590  -0.1450   0.5712   1.0000
  23.500   0.9891   0.30813   0.29330  -0.1491   0.5559   1.0000
  24.000   1.0069   0.31424   0.29948  -0.1532   0.5414   1.0000
  24.500   1.0227   0.31813   0.30343  -0.1572   0.5287   1.0000
  25.000   1.0390   0.32299   0.30835  -0.1613   0.5160   1.0000
  25.500   1.0557   0.32838   0.31382  -0.1655   0.5036   1.0000
  26.000   1.0731   0.33488   0.32039  -0.1697   0.4919   1.0000
  26.500   1.0916   0.34317   0.32883  -0.1740   0.4801   1.0000
  27.000   1.1100   0.35166   0.33741  -0.1782   0.4670   1.0000
  27.500   1.1242   0.35414   0.33998  -0.1824   0.4549   1.0000
  28.000   1.1376   0.35659   0.34248  -0.1867   0.4443   1.0000
  28.500   1.1528   0.36211   0.34806  -0.1911   0.4340   1.0000
  29.000   1.1696   0.36994   0.35597  -0.1954   0.4225   1.0000
  30.000   1.1985   0.37920   0.36548  -0.2040   0.3987   1.0000
