  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0000   0.05230   0.02999   0.0000   1.0000   1.0000
   0.500  -0.0050   0.05228   0.02998   0.0049   1.0000   1.0000
   1.000  -0.0100   0.05223   0.02993   0.0099   1.0000   1.0000
   1.500  -0.0152   0.05214   0.02987   0.0148   1.0000   1.0000
   2.000  -0.0198   0.05204   0.02978   0.0197   1.0000   1.0000
   2.500  -0.0223   0.05203   0.02977   0.0242   1.0000   1.0000
   3.000  -0.0198   0.05226   0.02995   0.0279   1.0000   1.0000
   3.500  -0.0095   0.05293   0.03057   0.0302   1.0000   1.0000
   4.000   0.0075   0.05407   0.03171   0.0312   1.0000   1.0000
   4.500   0.0283   0.05565   0.03334   0.0314   1.0000   1.0000
   5.000   0.0510   0.05764   0.03542   0.0310   1.0000   1.0000
   5.500   0.0745   0.06004   0.03798   0.0301   1.0000   1.0000
   6.000   0.0978   0.06284   0.04098   0.0288   1.0000   1.0000
   6.500   0.1203   0.06606   0.04446   0.0272   1.0000   1.0000
   7.000   0.1417   0.06974   0.04840   0.0251   1.0000   1.0000
   7.500   0.1617   0.07390   0.05286   0.0227   1.0000   1.0000
   8.000   0.1804   0.07855   0.05784   0.0200   1.0000   1.0000
   8.500   0.1977   0.08370   0.06330   0.0169   1.0000   1.0000
   9.000   0.2141   0.08930   0.06919   0.0136   1.0000   1.0000
   9.500   0.2300   0.09529   0.07547   0.0100   1.0000   1.0000
  10.000   0.2456   0.10159   0.08205   0.0063   1.0000   1.0000
  10.500   0.2617   0.10812   0.08881   0.0026   1.0000   1.0000
  11.000   0.2782   0.11480   0.09568  -0.0012   1.0000   1.0000
  11.500   0.2954   0.12158   0.10263  -0.0051   1.0000   1.0000
  12.000   0.3133   0.12843   0.10966  -0.0089   1.0000   1.0000
  12.500   0.3319   0.13528   0.11663  -0.0127   1.0000   1.0000
  13.000   0.3511   0.14217   0.12362  -0.0166   1.0000   1.0000
  13.500   0.3707   0.14906   0.13062  -0.0204   1.0000   1.0000
  14.000   0.3992   0.15830   0.13997  -0.0265   0.9914   1.0000
  14.500   0.4541   0.17348   0.15539  -0.0386   0.9302   1.0000
  15.000   0.4927   0.18508   0.16712  -0.0458   0.8841   1.0000
  15.500   0.5223   0.19353   0.17564  -0.0508   0.8459   1.0000
  16.000   0.5519   0.20298   0.18516  -0.0555   0.8128   1.0000
  16.500   0.5814   0.21299   0.19525  -0.0601   0.7824   1.0000
  17.000   0.6008   0.21732   0.19958  -0.0629   0.7569   1.0000
  17.500   0.6287   0.22751   0.20982  -0.0672   0.7330   1.0000
  18.000   0.6477   0.23178   0.21410  -0.0701   0.7102   1.0000
  18.500   0.6704   0.23857   0.22094  -0.0735   0.6872   1.0000
  19.000   0.6952   0.24705   0.22946  -0.0773   0.6649   1.0000
  19.500   0.7214   0.25755   0.24003  -0.0812   0.6435   1.0000
  20.000   0.7411   0.26293   0.24541  -0.0845   0.6243   1.0000
  20.500   0.7601   0.26772   0.25023  -0.0877   0.6053   1.0000
  21.000   0.7795   0.27292   0.25546  -0.0910   0.5864   1.0000
  21.500   0.7997   0.27915   0.26175  -0.0945   0.5682   1.0000
  22.000   0.8198   0.28565   0.26829  -0.0981   0.5505   1.0000
  22.500   0.8398   0.29214   0.27485  -0.1017   0.5333   1.0000
  23.000   0.8598   0.29920   0.28197  -0.1054   0.5168   1.0000
  23.500   0.8801   0.30680   0.28964  -0.1091   0.5003   1.0000
  24.000   0.9008   0.31537   0.29830  -0.1128   0.4837   1.0000
  24.500   0.9151   0.31651   0.29951  -0.1164   0.4691   1.0000
  25.000   0.9305   0.31978   0.30284  -0.1202   0.4556   1.0000
  25.500   0.9476   0.32530   0.30843  -0.1242   0.4427   1.0000
  26.000   0.9664   0.33352   0.31673  -0.1281   0.4292   1.0000
  26.500   0.9868   0.34428   0.32766  -0.1319   0.4142   1.0000
  27.000   0.9975   0.34174   0.32514  -0.1361   0.4026   1.0000
  27.500   1.0135   0.34774   0.33122  -0.1403   0.3921   1.0000
  28.000   1.0337   0.36052   0.34414  -0.1442   0.3789   1.0000
  28.500   1.0435   0.35706   0.34076  -0.1486   0.3684   1.0000
  29.000   1.0591   0.36387   0.34765  -0.1529   0.3584   1.0000
  29.500   1.0761   0.37301   0.35697  -0.1569   0.3456   1.0000
  30.000   1.0861   0.37158   0.35559  -0.1616   0.3373   1.0000
