  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2957   0.12521   0.11706   0.0279   1.0000   0.8731
   0.500  -0.3567   0.12286   0.11496   0.0392   1.0000   0.8366
   1.000  -0.3963   0.11961   0.11191   0.0443   1.0000   0.7941
   1.500  -0.4013   0.11650   0.10879   0.0390   1.0000   0.7417
   2.000  -0.3380   0.11351   0.10547   0.0165   1.0000   0.6723
   2.500  -0.2109   0.11216   0.10342  -0.0203   1.0000   0.6010
   3.000  -0.0525   0.11325   0.10357  -0.0608   1.0000   0.5468
   3.500   0.1020   0.11690   0.10618  -0.0966   1.0000   0.5218
   4.000   0.2228   0.12145   0.10984  -0.1207   1.0000   0.5247
   4.500   0.3192   0.12659   0.11426  -0.1369   1.0000   0.5557
   5.000   0.3913   0.13136   0.11889  -0.1456   1.0000   0.6289
   5.500   0.4405   0.13312   0.12129  -0.1490   1.0000   0.8584
   6.000   0.5528   0.14149   0.12615  -0.1695   1.0000   1.0000
   6.500   0.5935   0.14674   0.12920  -0.1705   1.0000   1.0000
   7.000   0.6277   0.15203   0.13313  -0.1720   1.0000   1.0000
   7.500   0.6600   0.15739   0.13754  -0.1737   1.0000   1.0000
   8.000   0.6911   0.16282   0.14220  -0.1756   1.0000   1.0000
   8.500   0.7212   0.16830   0.14709  -0.1776   1.0000   1.0000
   9.000   0.7504   0.17383   0.15214  -0.1796   1.0000   1.0000
   9.500   0.7788   0.17940   0.15735  -0.1816   1.0000   1.0000
  10.000   0.8065   0.18504   0.16270  -0.1837   1.0000   1.0000
  10.500   0.8336   0.19072   0.16818  -0.1858   1.0000   1.0000
  11.000   0.8600   0.19647   0.17381  -0.1880   1.0000   1.0000
  11.500   0.8858   0.20229   0.17956  -0.1903   1.0000   1.0000
  12.000   0.9110   0.20817   0.18542  -0.1927   1.0000   1.0000
  12.500   0.9357   0.21413   0.19147  -0.1951   1.0000   1.0000
  13.000   0.9598   0.22016   0.19760  -0.1976   1.0000   1.0000
  13.500   0.9834   0.22629   0.20387  -0.2002   1.0000   1.0000
  14.000   1.0064   0.23249   0.21032  -0.2029   1.0000   1.0000
  14.500   1.0290   0.23880   0.21686  -0.2057   1.0000   1.0000
  15.000   1.0510   0.24521   0.22354  -0.2087   1.0000   1.0000
  15.500   1.0779   0.25048   0.22926  -0.2131   0.9900   1.0000
  16.000   1.1098   0.25779   0.23698  -0.2188   0.9683   1.0000
  16.500   1.1363   0.26104   0.24065  -0.2234   0.9450   1.0000
  17.000   1.1615   0.26547   0.24562  -0.2276   0.9236   1.0000
  17.500   1.1879   0.27154   0.25217  -0.2321   0.8999   1.0000
  18.000   1.2130   0.27866   0.25986  -0.2365   0.8788   1.0000
  18.500   1.2337   0.28114   0.26287  -0.2401   0.8568   1.0000
  19.000   1.2583   0.28894   0.27129  -0.2445   0.8336   1.0000
  19.500   1.2807   0.29636   0.27931  -0.2488   0.8127   1.0000
  20.000   1.2989   0.29858   0.28211  -0.2524   0.7907   1.0000
  20.500   1.3204   0.30569   0.28988  -0.2567   0.7675   1.0000
  21.000   1.3431   0.31671   0.30155  -0.2613   0.7461   1.0000
  21.500   1.3579   0.31750   0.30292  -0.2650   0.7252   1.0000
  22.000   1.3760   0.32291   0.30899  -0.2692   0.7019   1.0000
  22.500   1.3983   0.33621   0.32295  -0.2740   0.6783   1.0000
  23.000   1.4109   0.33601   0.32329  -0.2780   0.6569   1.0000
  23.500   1.4300   0.34501   0.33293  -0.2827   0.6309   1.0000
  24.000   1.4449   0.35019   0.33859  -0.2872   0.6077   1.0000
  24.500   1.4628   0.35829   0.34718  -0.2919   0.5807   1.0000
  25.500   1.4928   0.36906   0.35867  -0.3015   0.5351   1.0000
  26.000   1.5120   0.38080   0.37075  -0.3061   0.5119   1.0000
  27.500   1.5583   0.40281   0.39352  -0.3203   0.4610   1.0000
  28.000   1.5696   0.40267   0.39355  -0.3254   0.4481   1.0000
  28.500   1.5820   0.40636   0.39741  -0.3304   0.4365   1.0000
  29.000   1.5966   0.41395   0.40520  -0.3352   0.4253   1.0000
  29.500   1.6124   0.42470   0.41615  -0.3398   0.4130   1.0000
  30.000   1.6243   0.42700   0.41869  -0.3448   0.4016   1.0000
