  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2648   0.11436   0.10606   0.0264   1.0000   0.8987
   0.500  -0.3201   0.11235   0.10432   0.0370   1.0000   0.8639
   1.000  -0.3550   0.11023   0.10239   0.0411   1.0000   0.8218
   1.500  -0.3327   0.10843   0.10051   0.0290   1.0000   0.7604
   2.000  -0.2208   0.10793   0.09949  -0.0060   1.0000   0.6757
   2.500  -0.0538   0.10957   0.10023  -0.0517   1.0000   0.6030
   3.000   0.0937   0.11221   0.10198  -0.0872   1.0000   0.5681
   3.500   0.2213   0.11619   0.10512  -0.1146   1.0000   0.5658
   4.000   0.3305   0.12115   0.10934  -0.1353   1.0000   0.5935
   4.500   0.4214   0.12638   0.11408  -0.1497   1.0000   0.6679
   5.000   0.4797   0.12849   0.11661  -0.1555   1.0000   0.8721
   5.500   0.6130   0.13868   0.12258  -0.1840   1.0000   1.0000
   6.000   0.6488   0.14415   0.12631  -0.1855   1.0000   1.0000
   6.500   0.6803   0.14959   0.13061  -0.1870   1.0000   1.0000
   7.000   0.7101   0.15508   0.13524  -0.1886   1.0000   1.0000
   7.500   0.7389   0.16062   0.14012  -0.1903   1.0000   1.0000
   8.000   0.7667   0.16620   0.14515  -0.1920   1.0000   1.0000
   8.500   0.7938   0.17184   0.15036  -0.1937   1.0000   1.0000
   9.000   0.8203   0.17753   0.15571  -0.1955   1.0000   1.0000
   9.500   0.8460   0.18326   0.16119  -0.1973   1.0000   1.0000
  10.000   0.8711   0.18902   0.16678  -0.1992   1.0000   1.0000
  10.500   0.8958   0.19487   0.17251  -0.2012   1.0000   1.0000
  11.000   0.9200   0.20076   0.17835  -0.2032   1.0000   1.0000
  11.500   0.9437   0.20673   0.18434  -0.2054   1.0000   1.0000
  12.000   0.9670   0.21276   0.19043  -0.2076   1.0000   1.0000
  12.500   0.9898   0.21887   0.19663  -0.2099   1.0000   1.0000
  13.000   1.0123   0.22507   0.20303  -0.2124   1.0000   1.0000
  13.500   1.0342   0.23133   0.20947  -0.2149   1.0000   1.0000
  14.000   1.0559   0.23771   0.21609  -0.2176   1.0000   1.0000
  14.500   1.0771   0.24419   0.22291  -0.2204   1.0000   1.0000
  15.000   1.0980   0.25076   0.22977  -0.2233   1.0000   1.0000
  15.500   1.1257   0.25695   0.23642  -0.2281   0.9872   1.0000
  16.000   1.1517   0.26061   0.24050  -0.2326   0.9655   1.0000
  16.500   1.1812   0.26894   0.24931  -0.2378   0.9427   1.0000
  17.000   1.2015   0.26980   0.25066  -0.2410   0.9210   1.0000
  17.500   1.2270   0.27694   0.25829  -0.2453   0.8998   1.0000
  18.000   1.2480   0.28014   0.26200  -0.2488   0.8781   1.0000
  18.500   1.2748   0.29083   0.27333  -0.2536   0.8564   1.0000
  19.000   1.2921   0.29209   0.27512  -0.2567   0.8372   1.0000
  19.500   1.3122   0.29680   0.28046  -0.2603   0.8158   1.0000
  20.000   1.3348   0.30521   0.28952  -0.2646   0.7956   1.0000
  20.500   1.3550   0.31217   0.29710  -0.2686   0.7763   1.0000
  21.000   1.3713   0.31481   0.30040  -0.2722   0.7570   1.0000
  21.500   1.3902   0.32052   0.30679  -0.2763   0.7356   1.0000
  22.000   1.4125   0.33269   0.31967  -0.2810   0.7136   1.0000
  22.500   1.4260   0.33295   0.32059  -0.2848   0.6923   1.0000
  23.000   1.4483   0.34571   0.33406  -0.2898   0.6659   1.0000
  23.500   1.4631   0.34829   0.33719  -0.2940   0.6379   1.0000
  24.000   1.4809   0.35526   0.34467  -0.2988   0.6065   1.0000
  24.500   1.5015   0.36660   0.35645  -0.3036   0.5723   1.0000
  25.000   1.5194   0.37374   0.36385  -0.3084   0.5409   1.0000
  25.500   1.5334   0.37544   0.36568  -0.3133   0.5156   1.0000
  26.000   1.5531   0.38722   0.37765  -0.3179   0.4919   1.0000
  26.500   1.5673   0.38955   0.38012  -0.3229   0.4730   1.0000
  27.000   1.5833   0.39524   0.38597  -0.3279   0.4549   1.0000
  27.500   1.5988   0.40148   0.39240  -0.3328   0.4399   1.0000
  28.000   1.6140   0.40782   0.39889  -0.3377   0.4262   1.0000
  28.500   1.6299   0.41577   0.40700  -0.3427   0.4139   1.0000
  29.000   1.6465   0.42636   0.41776  -0.3474   0.4011   1.0000
  29.500   1.6587   0.42770   0.41926  -0.3527   0.3897   1.0000
  30.000   1.6706   0.43076   0.42244  -0.3581   0.3806   1.0000
