  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.3344   0.08305   0.07071   0.0099   1.0000   0.6577
   0.500  -0.2702   0.07878   0.06598  -0.0018   1.0000   0.6806
   1.000  -0.2076   0.07540   0.06226  -0.0100   1.0000   0.7263
   1.500  -0.1502   0.07242   0.05912  -0.0153   1.0000   0.8117
   2.000   0.0784   0.07160   0.05573  -0.0724   1.0000   1.0000
   2.500   0.1544   0.07554   0.05657  -0.0823   1.0000   1.0000
   3.000   0.1958   0.07871   0.05835  -0.0840   1.0000   1.0000
   3.500   0.2331   0.08200   0.06065  -0.0851   1.0000   1.0000
   4.000   0.2684   0.08545   0.06335  -0.0862   1.0000   1.0000
   4.500   0.3021   0.08909   0.06636  -0.0872   1.0000   1.0000
   5.000   0.3345   0.09290   0.06970  -0.0882   1.0000   1.0000
   5.500   0.3657   0.09689   0.07331  -0.0893   1.0000   1.0000
   6.000   0.3958   0.10105   0.07720  -0.0904   1.0000   1.0000
   6.500   0.4250   0.10539   0.08132  -0.0916   1.0000   1.0000
   7.000   0.4532   0.10991   0.08569  -0.0929   1.0000   1.0000
   7.500   0.4806   0.11458   0.09028  -0.0942   1.0000   1.0000
   8.000   0.5071   0.11943   0.09510  -0.0957   1.0000   1.0000
   8.500   0.5328   0.12442   0.10011  -0.0972   1.0000   1.0000
   9.000   0.5578   0.12957   0.10534  -0.0989   1.0000   1.0000
   9.500   0.5821   0.13488   0.11075  -0.1007   1.0000   1.0000
  10.000   0.6057   0.14032   0.11633  -0.1027   1.0000   1.0000
  10.500   0.6288   0.14592   0.12211  -0.1048   1.0000   1.0000
  11.000   0.6513   0.15164   0.12803  -0.1071   1.0000   1.0000
  11.500   0.6733   0.15749   0.13413  -0.1095   1.0000   1.0000
  12.000   0.6949   0.16346   0.14034  -0.1120   1.0000   1.0000
  12.500   0.7161   0.16955   0.14668  -0.1147   1.0000   1.0000
  13.000   0.7370   0.17576   0.15320  -0.1176   1.0000   1.0000
  13.500   0.7576   0.18206   0.15979  -0.1205   1.0000   1.0000
  14.000   0.7779   0.18847   0.16652  -0.1236   1.0000   1.0000
  14.500   0.7981   0.19495   0.17332  -0.1269   1.0000   1.0000
  15.000   0.8181   0.20151   0.18020  -0.1302   1.0000   1.0000
  15.500   0.8427   0.20968   0.18877  -0.1348   0.9956   1.0000
  16.000   0.8790   0.22006   0.19961  -0.1424   0.9681   1.0000
  16.500   0.9084   0.22799   0.20800  -0.1483   0.9421   1.0000
  17.000   0.9317   0.23209   0.21252  -0.1527   0.9173   1.0000
  17.500   0.9577   0.24022   0.22107  -0.1577   0.8944   1.0000
  18.000   0.9794   0.24506   0.22637  -0.1619   0.8719   1.0000
  18.500   1.0065   0.25586   0.23763  -0.1672   0.8482   1.0000
  19.000   1.0267   0.26138   0.24357  -0.1713   0.8279   1.0000
  19.500   1.0456   0.26550   0.24809  -0.1753   0.8058   1.0000
  20.000   1.0682   0.27381   0.25682  -0.1799   0.7816   1.0000
  20.500   1.0903   0.28327   0.26670  -0.1847   0.7594   1.0000
  21.000   1.1068   0.28609   0.26985  -0.1885   0.7364   1.0000
  21.500   1.1314   0.29866   0.28279  -0.1935   0.7107   1.0000
  22.000   1.1459   0.29985   0.28424  -0.1972   0.6881   1.0000
  22.500   1.1699   0.31265   0.29737  -0.2019   0.6632   1.0000
  23.000   1.1837   0.31365   0.29858  -0.2056   0.6422   1.0000
  23.500   1.2037   0.32187   0.30705  -0.2099   0.6189   1.0000
  24.000   1.2231   0.33090   0.31631  -0.2141   0.5986   1.0000
  24.500   1.2378   0.33365   0.31923  -0.2180   0.5792   1.0000
  25.000   1.2544   0.33909   0.32486  -0.2220   0.5598   1.0000
  25.500   1.2715   0.34566   0.33160  -0.2261   0.5411   1.0000
  26.000   1.2883   0.35234   0.33849  -0.2301   0.5235   1.0000
  26.500   1.3040   0.35817   0.34449  -0.2342   0.5072   1.0000
  27.000   1.3191   0.36364   0.35011  -0.2383   0.4914   1.0000
  27.500   1.3338   0.36895   0.35559  -0.2425   0.4767   1.0000
  28.000   1.3484   0.37480   0.36159  -0.2467   0.4625   1.0000
  28.500   1.3635   0.38178   0.36873  -0.2508   0.4484   1.0000
  29.000   1.3795   0.39105   0.37816  -0.2549   0.4342   1.0000
  29.500   1.3941   0.39809   0.38543  -0.2590   0.4195   1.0000
  30.000   1.4034   0.39646   0.38389  -0.2636   0.4079   1.0000
