  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1294   0.07525   0.06097  -0.0182   1.0000   1.0000
   0.500  -0.1604   0.06977   0.05569  -0.0159   1.0000   1.0000
   1.000  -0.1343   0.06422   0.04920  -0.0327   1.0000   1.0000
   1.500  -0.0510   0.06669   0.04904  -0.0481   1.0000   1.0000
   2.000  -0.0043   0.06925   0.05023  -0.0518   1.0000   1.0000
   2.500   0.0365   0.07197   0.05196  -0.0541   1.0000   1.0000
   3.000   0.0744   0.07489   0.05407  -0.0560   1.0000   1.0000
   3.500   0.1104   0.07801   0.05654  -0.0575   1.0000   1.0000
   4.000   0.1448   0.08134   0.05935  -0.0590   1.0000   1.0000
   4.500   0.1778   0.08488   0.06245  -0.0605   1.0000   1.0000
   5.000   0.2096   0.08862   0.06584  -0.0619   1.0000   1.0000
   5.500   0.2403   0.09256   0.06949  -0.0634   1.0000   1.0000
   6.000   0.2700   0.09669   0.07340  -0.0650   1.0000   1.0000
   6.500   0.2987   0.10102   0.07756  -0.0666   1.0000   1.0000
   7.000   0.3267   0.10552   0.08193  -0.0683   1.0000   1.0000
   7.500   0.3539   0.11018   0.08652  -0.0701   1.0000   1.0000
   8.000   0.3804   0.11500   0.09129  -0.0719   1.0000   1.0000
   8.500   0.4063   0.11995   0.09625  -0.0739   1.0000   1.0000
   9.000   0.4317   0.12504   0.10135  -0.0760   1.0000   1.0000
   9.500   0.4567   0.13023   0.10660  -0.0782   1.0000   1.0000
  10.000   0.4813   0.13553   0.11198  -0.0804   1.0000   1.0000
  10.500   0.5055   0.14093   0.11749  -0.0828   1.0000   1.0000
  11.000   0.5293   0.14642   0.12310  -0.0853   1.0000   1.0000
  11.500   0.5529   0.15200   0.12882  -0.0879   1.0000   1.0000
  12.000   0.5761   0.15767   0.13466  -0.0906   1.0000   1.0000
  12.500   0.5990   0.16342   0.14058  -0.0934   1.0000   1.0000
  13.000   0.6217   0.16925   0.14662  -0.0963   1.0000   1.0000
  13.500   0.6440   0.17517   0.15276  -0.0994   1.0000   1.0000
  14.000   0.6660   0.18118   0.15899  -0.1025   1.0000   1.0000
  14.500   0.6877   0.18729   0.16535  -0.1058   1.0000   1.0000
  15.000   0.7091   0.19349   0.17179  -0.1091   1.0000   1.0000
  15.500   0.7440   0.20290   0.18156  -0.1160   0.9816   1.0000
  16.000   0.7766   0.21062   0.18962  -0.1224   0.9552   1.0000
  16.500   0.8083   0.22000   0.19934  -0.1283   0.9303   1.0000
  17.000   0.8338   0.22497   0.20464  -0.1330   0.9051   1.0000
  17.500   0.8620   0.23430   0.21427  -0.1382   0.8827   1.0000
  18.000   0.8832   0.23784   0.21813  -0.1420   0.8614   1.0000
  18.500   0.9066   0.24374   0.22434  -0.1463   0.8392   1.0000
  19.000   0.9302   0.25069   0.23162  -0.1507   0.8183   1.0000
  19.500   0.9538   0.25820   0.23945  -0.1551   0.7976   1.0000
  20.000   0.9766   0.26574   0.24730  -0.1594   0.7778   1.0000
  20.500   0.9992   0.27386   0.25576  -0.1638   0.7584   1.0000
  21.000   1.0205   0.28117   0.26334  -0.1679   0.7395   1.0000
  21.500   1.0384   0.28504   0.26751  -0.1717   0.7213   1.0000
  22.000   1.0560   0.28866   0.27140  -0.1754   0.7026   1.0000
  22.500   1.0741   0.29324   0.27625  -0.1793   0.6832   1.0000
  23.000   1.0931   0.29909   0.28240  -0.1833   0.6632   1.0000
  23.500   1.1136   0.30704   0.29063  -0.1875   0.6428   1.0000
  24.500   1.1507   0.32096   0.30504  -0.1957   0.6052   1.0000
  25.000   1.1661   0.32429   0.30858  -0.1995   0.5865   1.0000
  25.500   1.1821   0.32878   0.31328  -0.2034   0.5677   1.0000
  26.000   1.1984   0.33392   0.31863  -0.2074   0.5489   1.0000
  26.500   1.2146   0.33938   0.32429  -0.2113   0.5304   1.0000
  27.000   1.2303   0.34488   0.32996  -0.2153   0.5132   1.0000
  27.500   1.2457   0.35034   0.33561  -0.2194   0.4967   1.0000
  28.000   1.2608   0.35601   0.34145  -0.2234   0.4809   1.0000
  28.500   1.2763   0.36279   0.34839  -0.2274   0.4658   1.0000
  29.000   1.2925   0.37133   0.35712  -0.2315   0.4505   1.0000
  29.500   1.3080   0.37892   0.36492  -0.2355   0.4349   1.0000
  30.000   1.3169   0.37656   0.36264  -0.2398   0.4222   1.0000
