  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.1620   0.18958   0.16995  -0.0077   0.9999   1.0001
   0.500  -0.1585   0.18928   0.16938  -0.0058   0.9999   1.0001
   1.000  -0.1547   0.18900   0.16885  -0.0040   0.9999   1.0001
   1.500  -0.1508   0.18873   0.16834  -0.0021   0.9999   1.0001
   2.000  -0.1466   0.18844   0.16782  -0.0001   0.9999   1.0001
   2.500  -0.1424   0.18811   0.16726   0.0018   0.9999   1.0001
   3.000  -0.1381   0.18773   0.16667   0.0038   0.9999   1.0001
   3.500  -0.1337   0.18728   0.16601   0.0059   0.9999   1.0001
   4.000  -0.1294   0.18673   0.16526   0.0080   0.9999   1.0001
   4.500  -0.1250   0.18605   0.16440   0.0101   0.9999   1.0001
   5.000  -0.1207   0.18520   0.16338   0.0122   0.9999   1.0001
   5.500  -0.1165   0.18416   0.16217   0.0144   0.9999   1.0001
   6.000  -0.1124   0.18290   0.16075   0.0166   0.9999   1.0001
   6.500  -0.1085   0.18136   0.15906   0.0188   0.9999   1.0001
   7.000  -0.1046   0.17949   0.15706   0.0211   0.9999   1.0001
   7.500  -0.1008   0.17728   0.15472   0.0233   0.9999   1.0001
   8.000  -0.0971   0.17469   0.15201   0.0256   0.9999   1.0001
   8.500  -0.0931   0.17172   0.14894   0.0278   0.9999   1.0001
   9.000  -0.0885   0.16849   0.14560   0.0298   0.9999   1.0001
   9.500  -0.0806   0.16577   0.14277   0.0310   0.9999   1.0001
  10.000  -0.0659   0.16445   0.14136   0.0306   0.9999   1.0001
  10.500  -0.0445   0.16475   0.14159   0.0285   0.9999   1.0001
  11.000  -0.0175   0.16646   0.14324   0.0251   0.9999   1.0001
  11.500   0.0288   0.17515   0.15189   0.0170   0.9887   1.0001
  12.000   0.0811   0.18512   0.16181   0.0075   0.9680   1.0001
  12.500   0.1275   0.19125   0.16793  -0.0005   0.9459   1.0001
  13.000   0.1749   0.19925   0.17592  -0.0088   0.9247   1.0001
  13.500   0.2216   0.20723   0.18395  -0.0169   0.9034   1.0001
  14.000   0.2590   0.20896   0.18570  -0.0229   0.8831   1.0001
  14.500   0.2966   0.21241   0.18918  -0.0293   0.8664   1.0001
  15.000   0.3432   0.22301   0.19983  -0.0375   0.8503   1.0001
  15.500   0.3828   0.22757   0.20449  -0.0443   0.8306   1.0001
  16.000   0.4158   0.22927   0.20625  -0.0500   0.8162   1.0001
  16.500   0.4641   0.24341   0.22047  -0.0587   0.8005   1.0001
  17.000   0.4926   0.24107   0.21824  -0.0636   0.7840   1.0001
  17.500   0.5293   0.24761   0.22487  -0.0703   0.7712   1.0001
  18.000   0.5699   0.25658   0.23397  -0.0775   0.7543   1.0001
  18.500   0.5969   0.25599   0.23348  -0.0827   0.7421   1.0001
  19.000   0.6401   0.27022   0.24782  -0.0905   0.7286   1.0001
  19.500   0.6637   0.26647   0.24422  -0.0952   0.7151   1.0001
  20.000   0.6993   0.27594   0.25383  -0.1020   0.7045   1.0001
  20.500   0.7272   0.27733   0.25537  -0.1075   0.6910   1.0001
  21.000   0.7577   0.28351   0.26170  -0.1137   0.6809   1.0001
  21.500   0.7876   0.28818   0.26655  -0.1196   0.6674   1.0001
  22.000   0.8148   0.29268   0.27121  -0.1254   0.6583   1.0001
  22.500   0.8446   0.29869   0.27742  -0.1314   0.6443   1.0001
  23.000   0.8690   0.30173   0.28063  -0.1371   0.6353   1.0001
  23.500   0.8982   0.30885   0.28797  -0.1431   0.6219   1.0001
  24.000   0.9203   0.31065   0.28996  -0.1486   0.6133   1.0001
  24.500   0.9489   0.31887   0.29841  -0.1547   0.6005   1.0001
  25.000   0.9689   0.31965   0.29938  -0.1602   0.5925   1.0001
  25.500   0.9961   0.32800   0.30801  -0.1663   0.5797   1.0001
  26.000   1.0151   0.32895   0.30915  -0.1719   0.5719   1.0001
  26.500   1.0403   0.33649   0.31697  -0.1778   0.5591   1.0001
  27.000   1.0585   0.33789   0.31857  -0.1836   0.5508   1.0001
  27.500   1.0834   0.34683   0.32781  -0.1896   0.5378   1.0001
  28.000   1.0991   0.34602   0.32720  -0.1953   0.5296   1.0001
  28.500   1.1232   0.35592   0.33739  -0.2014   0.5172   1.0001
  29.000   1.1377   0.35493   0.33660  -0.2073   0.5096   1.0001
  29.500   1.1592   0.36255   0.34450  -0.2133   0.4975   1.0001
  30.000   1.1750   0.36488   0.34703  -0.2194   0.4899   1.0001
