  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0002   0.05247   0.02965  -0.0000   1.0005   0.9995
   0.500  -0.0065   0.05244   0.02964   0.0050   1.0005   0.9995
   1.000  -0.0133   0.05235   0.02956   0.0099   1.0005   0.9995
   1.500  -0.0201   0.05219   0.02942   0.0149   1.0005   0.9995
   2.000  -0.0258   0.05202   0.02926   0.0198   1.0005   0.9995
   2.500  -0.0278   0.05198   0.02920   0.0239   1.0005   0.9995
   3.000  -0.0201   0.05236   0.02953   0.0265   1.0005   0.9995
   3.500  -0.0031   0.05327   0.03040   0.0273   1.0005   0.9995
   4.000   0.0197   0.05467   0.03181   0.0271   1.0005   0.9995
   4.500   0.0453   0.05650   0.03372   0.0262   1.0005   0.9995
   5.000   0.0719   0.05873   0.03607   0.0249   1.0005   0.9995
   5.500   0.0986   0.06135   0.03889   0.0233   1.0005   0.9995
   6.000   0.1246   0.06438   0.04215   0.0214   1.0005   0.9995
   6.500   0.1494   0.06782   0.04589   0.0192   1.0005   0.9995
   7.000   0.1726   0.07171   0.05009   0.0167   1.0005   0.9995
   7.500   0.1943   0.07608   0.05481   0.0140   1.0005   0.9995
   8.000   0.2141   0.08094   0.06001   0.0109   1.0005   0.9995
   8.500   0.2325   0.08626   0.06567   0.0077   1.0005   0.9995
   9.000   0.2497   0.09198   0.07174   0.0043   1.0005   0.9995
   9.500   0.2665   0.09802   0.07808   0.0007   1.0005   0.9995
  10.000   0.2832   0.10428   0.08463  -0.0029   1.0005   0.9995
  10.500   0.3002   0.11072   0.09134  -0.0066   1.0005   0.9995
  11.000   0.3175   0.11729   0.09818  -0.0103   1.0005   0.9995
  11.500   0.3353   0.12396   0.10509  -0.0141   1.0005   0.9995
  12.000   0.3536   0.13070   0.11205  -0.0179   1.0005   0.9995
  12.500   0.3724   0.13752   0.11907  -0.0217   1.0005   0.9995
  13.000   0.3917   0.14439   0.12617  -0.0256   1.0005   0.9995
  13.500   0.4114   0.15132   0.13328  -0.0295   1.0005   0.9995
  14.000   0.4313   0.15830   0.14043  -0.0335   1.0005   0.9995
  14.500   0.4516   0.16535   0.14763  -0.0376   1.0005   0.9995
  15.000   0.5136   0.18329   0.16600  -0.0520   0.9419   0.9995
  15.500   0.5485   0.19248   0.17542  -0.0587   0.8914   0.9995
  16.000   0.5833   0.20425   0.18737  -0.0650   0.8525   0.9995
  16.500   0.6068   0.21038   0.19366  -0.0686   0.8161   0.9995
  17.000   0.6326   0.21853   0.20193  -0.0727   0.7833   0.9995
  17.500   0.6576   0.22657   0.21008  -0.0766   0.7516   0.9995
  18.000   0.6815   0.23442   0.21804  -0.0802   0.7226   0.9995
  18.500   0.7067   0.24352   0.22723  -0.0841   0.6950   0.9995
  19.000   0.7309   0.25207   0.23587  -0.0878   0.6678   0.9995
  19.500   0.7491   0.25689   0.24071  -0.0908   0.6450   0.9995
  20.000   0.7730   0.26584   0.24977  -0.0945   0.6212   0.9995
  20.500   0.7935   0.27277   0.25672  -0.0980   0.6004   0.9995
  21.000   0.8122   0.27777   0.26174  -0.1013   0.5785   0.9995
  21.500   0.8348   0.28640   0.27042  -0.1050   0.5577   0.9995
  22.000   0.8578   0.29636   0.28040  -0.1089   0.5383   0.9995
  22.500   0.8741   0.29957   0.28366  -0.1123   0.5202   0.9995
  23.000   0.8920   0.30436   0.28846  -0.1159   0.5014   0.9995
  23.500   0.9112   0.31062   0.29476  -0.1196   0.4831   0.9995
  24.000   0.9305   0.31735   0.30152  -0.1235   0.4655   0.9995
  24.500   0.9495   0.32411   0.30836  -0.1273   0.4484   0.9995
  25.000   0.9678   0.33028   0.31457  -0.1313   0.4323   0.9995
  25.500   0.9850   0.33566   0.31997  -0.1353   0.4173   0.9995
  26.000   1.0017   0.34074   0.32508  -0.1394   0.4028   0.9995
  26.500   1.0182   0.34587   0.33024  -0.1436   0.3891   0.9995
  27.000   1.0349   0.35163   0.33607  -0.1479   0.3762   0.9995
  27.500   1.0524   0.35890   0.34340  -0.1522   0.3636   0.9995
  28.000   1.0710   0.36870   0.35325  -0.1563   0.3503   0.9995
  28.500   1.0839   0.36924   0.35385  -0.1609   0.3384   0.9995
  29.000   1.0977   0.37261   0.35724  -0.1657   0.3288   0.9995
  29.500   1.1153   0.38291   0.36765  -0.1699   0.3179   0.9995
  30.000   1.1280   0.38406   0.36888  -0.1748   0.3069   0.9995
