  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0810   0.04816   0.03608  -0.0385   1.0000   0.5736
   0.500   0.1355   0.04717   0.03513  -0.0442   1.0000   0.6169
   1.000   0.1741   0.04664   0.03533  -0.0467   1.0000   0.7042
   1.500   0.2187   0.04806   0.03653  -0.0552   1.0000   1.0000
   2.000   0.2744   0.05248   0.03894  -0.0639   1.0000   1.0000
   2.500   0.3066   0.05677   0.04176  -0.0667   1.0000   1.0000
   3.000   0.3331   0.06118   0.04498  -0.0685   1.0000   1.0000
   3.500   0.3576   0.06578   0.04864  -0.0704   1.0000   1.0000
   4.000   0.3816   0.07057   0.05265  -0.0724   1.0000   1.0000
   4.500   0.4053   0.07555   0.05696  -0.0745   1.0000   1.0000
   5.000   0.4288   0.08072   0.06159  -0.0767   1.0000   1.0000
   5.500   0.4521   0.08608   0.06651  -0.0790   1.0000   1.0000
   6.000   0.4752   0.09163   0.07166  -0.0813   1.0000   1.0000
   6.500   0.4979   0.09734   0.07707  -0.0836   1.0000   1.0000
   7.000   0.5204   0.10323   0.08271  -0.0860   1.0000   1.0000
   7.500   0.5425   0.10927   0.08855  -0.0884   1.0000   1.0000
   8.000   0.5645   0.11545   0.09458  -0.0908   1.0000   1.0000
   8.500   0.5861   0.12175   0.10077  -0.0934   1.0000   1.0000
   9.000   0.6076   0.12817   0.10709  -0.0960   1.0000   1.0000
   9.500   0.6289   0.13466   0.11353  -0.0987   1.0000   1.0000
  10.000   0.6501   0.14122   0.12011  -0.1014   1.0000   1.0000
  10.500   0.6712   0.14785   0.12672  -0.1043   1.0000   1.0000
  11.000   0.6924   0.15452   0.13339  -0.1072   1.0000   1.0000
  11.500   0.7134   0.16121   0.14012  -0.1102   1.0000   1.0000
  12.000   0.7344   0.16794   0.14690  -0.1132   1.0000   1.0000
  12.500   0.7554   0.17470   0.15379  -0.1164   1.0000   1.0000
  13.000   0.7763   0.18150   0.16068  -0.1196   1.0000   1.0000
  13.500   0.7971   0.18834   0.16763  -0.1229   1.0000   1.0000
  14.000   0.8177   0.19521   0.17463  -0.1263   1.0000   1.0000
  14.500   0.8383   0.20215   0.18179  -0.1298   1.0000   1.0000
  15.000   0.8587   0.20915   0.18895  -0.1334   1.0000   1.0000
  15.500   0.8932   0.21841   0.19848  -0.1408   0.9767   1.0000
  16.000   0.9334   0.22939   0.20987  -0.1491   0.9331   1.0000
  16.500   0.9641   0.23676   0.21751  -0.1548   0.8955   1.0000
  17.000   0.9896   0.24175   0.22276  -0.1592   0.8599   1.0000
  17.500   1.0163   0.24880   0.23014  -0.1636   0.8242   1.0000
  18.000   1.0441   0.25850   0.24012  -0.1682   0.7918   1.0000
  18.500   1.0705   0.26711   0.24906  -0.1723   0.7574   1.0000
  19.000   1.0887   0.27010   0.25234  -0.1753   0.7272   1.0000
  19.500   1.1144   0.28045   0.26299  -0.1793   0.6967   1.0000
  20.000   1.1330   0.28474   0.26758  -0.1824   0.6678   1.0000
  20.500   1.1558   0.29467   0.27786  -0.1862   0.6428   1.0000
  21.000   1.1714   0.29752   0.28098  -0.1893   0.6181   1.0000
  21.500   1.1929   0.30701   0.29080  -0.1930   0.5933   1.0000
  22.000   1.2114   0.31445   0.29856  -0.1966   0.5720   1.0000
  22.500   1.2265   0.31758   0.30196  -0.2002   0.5496   1.0000
  23.000   1.2438   0.32435   0.30903  -0.2037   0.5280   1.0000
  23.500   1.2643   0.33584   0.32089  -0.2074   0.5061   1.0000
  24.000   1.2791   0.34078   0.32606  -0.2112   0.4873   1.0000
  24.500   1.2926   0.34381   0.32932  -0.2150   0.4682   1.0000
  25.000   1.3072   0.34889   0.33469  -0.2188   0.4493   1.0000
  25.500   1.3224   0.35504   0.34109  -0.2227   0.4308   1.0000
  26.000   1.3378   0.36179   0.34809  -0.2267   0.4132   1.0000
  26.500   1.3521   0.36790   0.35445  -0.2308   0.3972   1.0000
  27.000   1.3662   0.37377   0.36055  -0.2349   0.3817   1.0000
  27.500   1.3799   0.37950   0.36649  -0.2392   0.3670   1.0000
  28.000   1.3927   0.38470   0.37190  -0.2434   0.3528   1.0000
  28.500   1.4057   0.38984   0.37723  -0.2479   0.3397   1.0000
  29.000   1.4185   0.39526   0.38285  -0.2524   0.3270   1.0000
  29.500   1.4310   0.40084   0.38860  -0.2568   0.3149   1.0000
  30.000   1.4431   0.40687   0.39480  -0.2612   0.3033   1.0000
