  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0163   0.03777   0.01267  -0.0022   1.0000   1.0000
   0.500   0.0361   0.03818   0.01289   0.0020   1.0000   1.0000
   1.000   0.0570   0.03873   0.01331   0.0058   1.0000   1.0000
   1.500   0.0795   0.03943   0.01394   0.0092   1.0000   1.0000
   2.000   0.1034   0.04031   0.01481   0.0120   1.0000   1.0000
   2.500   0.1284   0.04137   0.01593   0.0143   1.0000   1.0000
   3.000   0.1538   0.04266   0.01736   0.0161   1.0000   1.0000
   3.500   0.1792   0.04422   0.01924   0.0174   1.0000   1.0000
   4.000   0.2040   0.04608   0.02140   0.0183   1.0000   1.0000
   4.500   0.2275   0.04833   0.02402   0.0186   1.0000   1.0000
   5.000   0.2490   0.05106   0.02731   0.0183   1.0000   1.0000
   5.500   0.2679   0.05436   0.03105   0.0173   1.0000   1.0000
   6.000   0.2841   0.05828   0.03540   0.0157   1.0000   1.0000
   6.500   0.2986   0.06277   0.04029   0.0135   1.0000   1.0000
   7.000   0.3125   0.06768   0.04560   0.0109   1.0000   1.0000
   7.500   0.3264   0.07292   0.05123   0.0082   1.0000   1.0000
   8.000   0.3406   0.07847   0.05716   0.0054   1.0000   1.0000
   8.500   0.3548   0.08432   0.06340   0.0024   1.0000   1.0000
   9.000   0.3690   0.09047   0.06994  -0.0006   1.0000   1.0000
   9.500   0.3828   0.09695   0.07706  -0.0037   1.0000   1.0000
  10.000   0.3965   0.10373   0.08419  -0.0069   1.0000   1.0000
  10.500   0.4100   0.11079   0.09157  -0.0102   1.0000   1.0000
  11.000   0.4238   0.11807   0.09914  -0.0136   1.0000   1.0000
  11.500   0.4380   0.12550   0.10680  -0.0171   1.0000   1.0000
  12.000   0.4530   0.13297   0.11448  -0.0206   1.0000   1.0000
  12.500   0.4689   0.14045   0.12212  -0.0241   1.0000   1.0000
  13.000   0.4856   0.14789   0.12970  -0.0276   1.0000   1.0000
  13.500   0.5030   0.15529   0.13723  -0.0311   1.0000   1.0000
  14.000   0.5210   0.16266   0.14470  -0.0346   1.0000   1.0000
  14.500   0.5394   0.17000   0.15215  -0.0382   1.0000   1.0000
  15.000   0.5922   0.18580   0.16827  -0.0508   0.9502   1.0000
  15.500   0.6266   0.19633   0.17899  -0.0577   0.9083   1.0000
  16.000   0.6602   0.20737   0.19053  -0.0638   0.8635   1.0000
  16.500   0.6880   0.21558   0.19885  -0.0679   0.8150   1.0000
  17.000   0.7169   0.22541   0.20880  -0.0721   0.7708   1.0000
  17.500   0.7403   0.23351   0.21696  -0.0754   0.7392   1.0000
  18.000   0.7616   0.24040   0.22391  -0.0783   0.7084   1.0000
  18.500   0.7849   0.24885   0.23243  -0.0816   0.6784   1.0000
  19.000   0.8078   0.25747   0.24111  -0.0848   0.6501   1.0000
  19.500   0.8289   0.26515   0.24883  -0.0878   0.6232   1.0000
  20.000   0.8500   0.27309   0.25681  -0.0908   0.5960   1.0000
  20.500   0.8710   0.28109   0.26482  -0.0938   0.5678   1.0000
  21.000   0.8893   0.28691   0.27089  -0.0965   0.5400   1.0000
  21.500   0.9088   0.29414   0.27815  -0.0994   0.5134   1.0000
  22.000   0.9275   0.30080   0.28485  -0.1025   0.4895   1.0000
  22.500   0.9438   0.30588   0.28993  -0.1058   0.4713   1.0000
  23.000   0.9613   0.31195   0.29604  -0.1092   0.4521   1.0000
  23.500   0.9823   0.32263   0.30678  -0.1127   0.4343   1.0000
  24.000   0.9966   0.32589   0.31006  -0.1164   0.4190   1.0000
  24.500   1.0120   0.33050   0.31470  -0.1201   0.4034   1.0000
  25.000   1.0280   0.33605   0.32031  -0.1240   0.3884   1.0000
  25.500   1.0441   0.34191   0.32636  -0.1279   0.3741   1.0000
  26.000   1.0597   0.34766   0.33218  -0.1320   0.3608   1.0000
  26.500   1.0753   0.35337   0.33795  -0.1361   0.3480   1.0000
  27.000   1.0903   0.35907   0.34373  -0.1403   0.3357   1.0000
  27.500   1.1055   0.36506   0.34979  -0.1446   0.3236   1.0000
  28.000   1.1206   0.37162   0.35642  -0.1489   0.3117   1.0000
  28.500   1.1359   0.37899   0.36388  -0.1532   0.2995   1.0000
  29.000   1.1509   0.38698   0.37211  -0.1574   0.2873   1.0000
  29.500   1.1616   0.38605   0.37121  -0.1625   0.2775   1.0000
  30.000   1.1740   0.39026   0.37549  -0.1673   0.2688   1.0000
