  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0252   0.03529   0.00997  -0.0073   1.0000   1.0000
   0.500   0.0543   0.03563   0.00991  -0.0043   1.0000   1.0000
   1.000   0.0845   0.03612   0.01020  -0.0015   1.0000   1.0000
   1.500   0.1157   0.03675   0.01075   0.0008   1.0000   1.0000
   2.000   0.1476   0.03753   0.01159   0.0028   1.0000   1.0000
   2.500   0.1799   0.03849   0.01266   0.0044   1.0000   1.0000
   3.000   0.2123   0.03964   0.01404   0.0057   1.0000   1.0000
   3.500   0.2443   0.04102   0.01577   0.0067   1.0000   1.0000
   4.000   0.2755   0.04268   0.01811   0.0074   1.0000   1.0000
   4.500   0.3054   0.04465   0.02066   0.0076   1.0000   1.0000
   5.000   0.3334   0.04704   0.02373   0.0074   1.0000   1.0000
   5.500   0.3587   0.04995   0.02738   0.0067   1.0000   1.0000
   6.000   0.3807   0.05350   0.03198   0.0053   1.0000   1.0000
   6.500   0.3988   0.05785   0.03710   0.0030   1.0000   1.0000
   7.000   0.4124   0.06313   0.04313  -0.0001   1.0000   1.0000
   7.500   0.4213   0.06953   0.05017  -0.0042   1.0000   1.0000
   8.000   0.4265   0.07702   0.05813  -0.0090   1.0000   1.0000
   8.500   0.4315   0.08516   0.06658  -0.0141   1.0000   1.0000
   9.000   0.4388   0.09340   0.07503  -0.0188   1.0000   1.0000
   9.500   0.4488   0.10152   0.08332  -0.0230   1.0000   1.0000
  10.000   0.4610   0.10948   0.09143  -0.0268   1.0000   1.0000
  10.500   0.4749   0.11731   0.09938  -0.0304   1.0000   1.0000
  11.000   0.4900   0.12503   0.10722  -0.0338   1.0000   1.0000
  11.500   0.5061   0.13266   0.11496  -0.0372   1.0000   1.0000
  12.000   0.5230   0.14023   0.12264  -0.0406   1.0000   1.0000
  12.500   0.5405   0.14776   0.13027  -0.0440   1.0000   1.0000
  13.000   0.5585   0.15528   0.13789  -0.0474   1.0000   1.0000
  13.500   0.5769   0.16277   0.14547  -0.0509   1.0000   1.0000
  14.000   0.5957   0.17032   0.15350  -0.0545   1.0000   1.0000
  14.500   0.6222   0.18020   0.16352  -0.0601   0.9940   1.0000
  15.000   0.6664   0.19418   0.17775  -0.0703   0.9568   1.0000
  15.500   0.6999   0.20435   0.18809  -0.0772   0.9179   1.0000
  16.000   0.7320   0.21481   0.19868  -0.0831   0.8767   1.0000
  16.500   0.7582   0.22185   0.20583  -0.0871   0.8298   1.0000
  17.000   0.7883   0.23221   0.21628  -0.0915   0.7826   1.0000
  17.500   0.8142   0.24129   0.22541  -0.0951   0.7436   1.0000
  18.000   0.8346   0.24753   0.23169  -0.0979   0.7118   1.0000
  18.500   0.8598   0.25748   0.24170  -0.1015   0.6802   1.0000
  19.000   0.8815   0.26551   0.24973  -0.1045   0.6515   1.0000
  19.500   0.9010   0.27200   0.25623  -0.1074   0.6237   1.0000
  20.000   0.9210   0.27918   0.26379  -0.1103   0.5967   1.0000
  20.500   0.9414   0.28693   0.27158  -0.1134   0.5709   1.0000
  21.000   0.9623   0.29552   0.28019  -0.1167   0.5457   1.0000
  21.500   0.9813   0.30247   0.28720  -0.1198   0.5214   1.0000
  22.000   0.9972   0.30679   0.29152  -0.1228   0.4992   1.0000
  22.500   1.0155   0.31390   0.29865  -0.1261   0.4767   1.0000
  23.000   1.0355   0.32296   0.30776  -0.1294   0.4530   1.0000
  23.500   1.0516   0.32783   0.31269  -0.1327   0.4302   1.0000
  24.000   1.0675   0.33321   0.31808  -0.1362   0.4105   1.0000
  24.500   1.0851   0.34083   0.32596  -0.1397   0.3899   1.0000
  25.000   1.1017   0.34788   0.33306  -0.1435   0.3733   1.0000
  25.500   1.1158   0.35184   0.33707  -0.1475   0.3582   1.0000
  26.000   1.1308   0.35724   0.34254  -0.1516   0.3443   1.0000
  26.500   1.1457   0.36296   0.34833  -0.1557   0.3311   1.0000
  27.000   1.1607   0.36915   0.35460  -0.1600   0.3186   1.0000
  27.500   1.1757   0.37613   0.36168  -0.1642   0.3066   1.0000
  28.000   1.1913   0.38443   0.37019  -0.1685   0.2945   1.0000
  28.500   1.2033   0.38658   0.37246  -0.1732   0.2837   1.0000
  29.000   1.2151   0.38903   0.37497  -0.1781   0.2745   1.0000
  29.500   1.2287   0.39551   0.38154  -0.1827   0.2655   1.0000
  30.000   1.2437   0.40627   0.39244  -0.1869   0.2550   1.0000
