  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0391   0.03537   0.01230  -0.0073   1.0000   1.0000
   0.500   0.0696   0.03576   0.01231  -0.0044   1.0000   1.0000
   1.000   0.1005   0.03634   0.01260  -0.0020   1.0000   1.0000
   1.500   0.1315   0.03712   0.01320   0.0002   1.0000   1.0000
   2.000   0.1623   0.03813   0.01412   0.0019   1.0000   1.0000
   2.500   0.1926   0.03939   0.01540   0.0032   1.0000   1.0000
   3.000   0.2219   0.04096   0.01707   0.0040   1.0000   1.0000
   3.500   0.2500   0.04288   0.01915   0.0043   1.0000   1.0000
   4.000   0.2765   0.04519   0.02172   0.0042   1.0000   1.0000
   4.500   0.3011   0.04796   0.02479   0.0034   1.0000   1.0000
   5.000   0.3233   0.05127   0.02844   0.0020   1.0000   1.0000
   5.500   0.3429   0.05519   0.03279  -0.0000   1.0000   1.0000
   6.000   0.3596   0.05982   0.03781  -0.0027   1.0000   1.0000
   6.500   0.3736   0.06517   0.04353  -0.0060   1.0000   1.0000
   7.000   0.3858   0.07114   0.04985  -0.0097   1.0000   1.0000
   7.500   0.3974   0.07760   0.05661  -0.0136   1.0000   1.0000
   8.000   0.4093   0.08440   0.06368  -0.0175   1.0000   1.0000
   8.500   0.4218   0.09140   0.07097  -0.0212   1.0000   1.0000
   9.000   0.4352   0.09851   0.07828  -0.0248   1.0000   1.0000
   9.500   0.4494   0.10567   0.08563  -0.0282   1.0000   1.0000
  10.000   0.4645   0.11286   0.09299  -0.0316   1.0000   1.0000
  10.500   0.4803   0.12006   0.10034  -0.0349   1.0000   1.0000
  11.000   0.4968   0.12725   0.10768  -0.0381   1.0000   1.0000
  11.500   0.5139   0.13444   0.11507  -0.0414   1.0000   1.0000
  12.000   0.5315   0.14162   0.12238  -0.0447   1.0000   1.0000
  12.500   0.5496   0.14879   0.12967  -0.0481   1.0000   1.0000
  13.000   0.5680   0.15596   0.13696  -0.0515   1.0000   1.0000
  13.500   0.5869   0.16314   0.14425  -0.0550   1.0000   1.0000
  14.000   0.6060   0.17033   0.15163  -0.0585   1.0000   1.0000
  14.500   0.6253   0.17754   0.15896  -0.0622   1.0000   1.0000
  15.000   0.6554   0.18705   0.16866  -0.0688   0.9868   1.0000
  15.500   0.7005   0.20032   0.18221  -0.0790   0.9407   1.0000
  16.000   0.7387   0.21225   0.19441  -0.0864   0.8935   1.0000
  16.500   0.7665   0.21942   0.20174  -0.0910   0.8474   1.0000
  17.000   0.7969   0.22968   0.21217  -0.0958   0.8064   1.0000
  17.500   0.8180   0.23522   0.21783  -0.0989   0.7731   1.0000
  18.000   0.8428   0.24353   0.22628  -0.1025   0.7385   1.0000
  18.500   0.8679   0.25269   0.23564  -0.1061   0.7044   1.0000
  19.000   0.8876   0.25823   0.24128  -0.1088   0.6718   1.0000
  19.500   0.9087   0.26545   0.24862  -0.1119   0.6427   1.0000
  20.000   0.9304   0.27369   0.25699  -0.1152   0.6165   1.0000
  20.500   0.9526   0.28256   0.26605  -0.1185   0.5894   1.0000
  21.000   0.9730   0.29023   0.27387  -0.1216   0.5620   1.0000
  21.500   0.9881   0.29357   0.27728  -0.1245   0.5378   1.0000
  22.000   1.0079   0.30192   0.28574  -0.1279   0.5159   1.0000
  22.500   1.0243   0.30676   0.29069  -0.1312   0.4950   1.0000
  23.000   1.0457   0.31744   0.30156  -0.1348   0.4741   1.0000
  23.500   1.0591   0.31966   0.30387  -0.1382   0.4550   1.0000
  24.000   1.0771   0.32696   0.31130  -0.1417   0.4345   1.0000
  24.500   1.0972   0.33810   0.32255  -0.1454   0.4166   1.0000
  25.000   1.1119   0.34262   0.32717  -0.1493   0.4016   1.0000
  25.500   1.1268   0.34737   0.33209  -0.1533   0.3865   1.0000
  26.000   1.1415   0.35220   0.33702  -0.1573   0.3715   1.0000
  26.500   1.1564   0.35743   0.34236  -0.1615   0.3567   1.0000
  27.000   1.1715   0.36358   0.34862  -0.1657   0.3427   1.0000
  27.500   1.1873   0.37136   0.35652  -0.1698   0.3295   1.0000
  28.000   1.2020   0.37752   0.36284  -0.1741   0.3166   1.0000
  28.500   1.2132   0.37803   0.36350  -0.1790   0.3057   1.0000
  29.000   1.2262   0.38243   0.36800  -0.1837   0.2954   1.0000
  29.500   1.2404   0.38992   0.37561  -0.1881   0.2848   1.0000
