  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0542   0.03559   0.01770  -0.0111   1.0000   1.0000
   0.500   0.0857   0.03636   0.01756  -0.0081   1.0000   1.0000
   1.000   0.1153   0.03735   0.01780  -0.0056   1.0000   1.0000
   1.500   0.1440   0.03858   0.01841  -0.0037   1.0000   1.0000
   2.000   0.1722   0.04008   0.01944  -0.0025   1.0000   1.0000
   2.500   0.1998   0.04190   0.02090  -0.0020   1.0000   1.0000
   3.000   0.2265   0.04407   0.02284  -0.0020   1.0000   1.0000
   3.500   0.2520   0.04665   0.02530  -0.0027   1.0000   1.0000
   4.000   0.2756   0.04973   0.02835  -0.0040   1.0000   1.0000
   4.500   0.2967   0.05341   0.03208  -0.0059   1.0000   1.0000
   5.000   0.3152   0.05774   0.03650  -0.0085   1.0000   1.0000
   5.500   0.3317   0.06266   0.04151  -0.0115   1.0000   1.0000
   6.000   0.3475   0.06802   0.04696  -0.0148   1.0000   1.0000
   6.500   0.3632   0.07369   0.05274  -0.0180   1.0000   1.0000
   7.000   0.3791   0.07963   0.05876  -0.0212   1.0000   1.0000
   7.500   0.3952   0.08579   0.06500  -0.0244   1.0000   1.0000
   8.000   0.4116   0.09212   0.07141  -0.0274   1.0000   1.0000
   8.500   0.4282   0.09861   0.07799  -0.0305   1.0000   1.0000
   9.000   0.4451   0.10520   0.08467  -0.0334   1.0000   1.0000
   9.500   0.4622   0.11189   0.09143  -0.0364   1.0000   1.0000
  10.000   0.4796   0.11864   0.09826  -0.0393   1.0000   1.0000
  10.500   0.4974   0.12545   0.10516  -0.0422   1.0000   1.0000
  11.000   0.5154   0.13229   0.11208  -0.0452   1.0000   1.0000
  11.500   0.5338   0.13916   0.11902  -0.0483   1.0000   1.0000
  12.000   0.5524   0.14605   0.12599  -0.0514   1.0000   1.0000
  12.500   0.5714   0.15298   0.13303  -0.0546   1.0000   1.0000
  13.000   0.5905   0.15992   0.14005  -0.0578   1.0000   1.0000
  13.500   0.6099   0.16690   0.14711  -0.0612   1.0000   1.0000
  14.000   0.6294   0.17390   0.15420  -0.0646   1.0000   1.0000
  14.500   0.6490   0.18094   0.16137  -0.0681   1.0000   1.0000
  15.000   0.6864   0.19276   0.17338  -0.0764   0.9800   1.0000
  15.500   0.7289   0.20385   0.18471  -0.0854   0.9264   1.0000
  16.000   0.7660   0.21516   0.19625  -0.0922   0.8765   1.0000
  16.500   0.7903   0.22133   0.20254  -0.0959   0.8365   1.0000
  17.000   0.8189   0.23079   0.21215  -0.1003   0.7983   1.0000
  17.500   0.8456   0.24007   0.22159  -0.1042   0.7622   1.0000
  18.000   0.8679   0.24706   0.22870  -0.1072   0.7295   1.0000
  18.500   0.8922   0.25591   0.23768  -0.1107   0.6988   1.0000
  19.000   0.9135   0.26296   0.24492  -0.1137   0.6683   1.0000
  19.500   0.9305   0.26710   0.24915  -0.1162   0.6407   1.0000
  20.000   0.9517   0.27523   0.25739  -0.1195   0.6164   1.0000
  20.500   0.9707   0.28145   0.26380  -0.1225   0.5911   1.0000
  21.000   0.9907   0.28927   0.27173  -0.1258   0.5685   1.0000
  21.500   1.0074   0.29400   0.27660  -0.1289   0.5456   1.0000
  22.000   1.0284   0.30329   0.28609  -0.1324   0.5247   1.0000
  22.500   1.0473   0.31148   0.29441  -0.1359   0.5058   1.0000
  23.000   1.0621   0.31507   0.29813  -0.1394   0.4876   1.0000
  23.500   1.0779   0.32008   0.30327  -0.1429   0.4696   1.0000
  24.000   1.0945   0.32609   0.30947  -0.1467   0.4531   1.0000
  24.500   1.1108   0.33210   0.31564  -0.1505   0.4368   1.0000
  25.000   1.1267   0.33808   0.32177  -0.1544   0.4209   1.0000
  25.500   1.1427   0.34438   0.32827  -0.1584   0.4059   1.0000
  26.000   1.1590   0.35168   0.33573  -0.1625   0.3920   1.0000
  26.500   1.1756   0.35976   0.34399  -0.1665   0.3777   1.0000
  27.000   1.1920   0.36858   0.35302  -0.1705   0.3631   1.0000
  27.500   1.2040   0.36950   0.35411  -0.1751   0.3502   1.0000
  28.000   1.2164   0.37220   0.35694  -0.1798   0.3394   1.0000
  28.500   1.2309   0.37877   0.36367  -0.1843   0.3282   1.0000
  29.000   1.2466   0.38873   0.37384  -0.1885   0.3158   1.0000
  29.500   1.2587   0.39103   0.37633  -0.1933   0.3041   1.0000
  30.000   1.2702   0.39374   0.37917  -0.1984   0.2953   1.0000
