  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2051   0.03734   0.01731  -0.0785   1.0000   1.0000
   0.500   0.2607   0.03850   0.01693  -0.0812   1.0000   1.0000
   1.000   0.3072   0.03981   0.01718  -0.0821   1.0000   1.0000
   1.500   0.3493   0.04134   0.01800  -0.0824   1.0000   1.0000
   2.000   0.3881   0.04311   0.01928  -0.0824   1.0000   1.0000
   2.500   0.4244   0.04516   0.02102  -0.0824   1.0000   1.0000
   3.000   0.4583   0.04750   0.02324  -0.0825   1.0000   1.0000
   3.500   0.4899   0.05017   0.02586  -0.0828   1.0000   1.0000
   4.000   0.5195   0.05318   0.02894  -0.0832   1.0000   1.0000
   4.500   0.5472   0.05656   0.03248  -0.0838   1.0000   1.0000
   5.000   0.5731   0.06032   0.03655  -0.0847   1.0000   1.0000
   5.500   0.5972   0.06448   0.04102  -0.0859   1.0000   1.0000
   6.000   0.6197   0.06905   0.04595  -0.0873   1.0000   1.0000
   6.500   0.6409   0.07401   0.05144  -0.0890   1.0000   1.0000
   7.000   0.6607   0.07939   0.05727  -0.0910   1.0000   1.0000
   7.500   0.6795   0.08516   0.06353  -0.0931   1.0000   1.0000
   8.000   0.6972   0.09132   0.07021  -0.0955   1.0000   1.0000
   8.500   0.7140   0.09787   0.07731  -0.0981   1.0000   1.0000
   9.000   0.7298   0.10481   0.08495  -0.1008   1.0000   1.0000
   9.500   0.7447   0.11215   0.09288  -0.1039   1.0000   1.0000
  10.000   0.7587   0.11991   0.10123  -0.1071   1.0000   1.0000
  10.500   0.7719   0.12810   0.11000  -0.1107   1.0000   1.0000
  11.000   0.7843   0.13674   0.11919  -0.1146   1.0000   1.0000
  11.500   0.7964   0.14579   0.12873  -0.1188   1.0000   1.0000
  12.000   0.8086   0.15513   0.13860  -0.1233   1.0000   1.0000
  12.500   0.8217   0.16459   0.14840  -0.1278   1.0000   1.0000
  13.000   0.8360   0.17403   0.15811  -0.1324   1.0000   1.0000
  13.500   0.8514   0.18332   0.16762  -0.1368   1.0000   1.0000
  14.000   0.8677   0.19248   0.17696  -0.1412   1.0000   1.0000
  14.500   0.9034   0.20602   0.19080  -0.1505   0.9744   1.0000
  15.000   0.9436   0.21886   0.20394  -0.1598   0.9215   1.0000
  15.500   0.9726   0.22762   0.21287  -0.1656   0.8780   1.0000
  16.000   1.0002   0.23566   0.22119  -0.1703   0.8313   1.0000
  16.500   1.0300   0.24774   0.23341  -0.1753   0.7965   1.0000
  17.000   1.0511   0.25442   0.24019  -0.1787   0.7665   1.0000
  17.500   1.0737   0.26183   0.24769  -0.1820   0.7320   1.0000
  18.000   1.1003   0.27307   0.25903  -0.1858   0.6982   1.0000
  18.500   1.1219   0.28127   0.26731  -0.1890   0.6701   1.0000
  19.000   1.1398   0.28669   0.27294  -0.1919   0.6457   1.0000
  19.500   1.1586   0.29342   0.27972  -0.1950   0.6219   1.0000
  20.000   1.1795   0.30207   0.28845  -0.1982   0.5970   1.0000
  20.500   1.2017   0.31248   0.29894  -0.2015   0.5713   1.0000
  21.000   1.2166   0.31580   0.30231  -0.2044   0.5490   1.0000
  21.500   1.2379   0.32671   0.31330  -0.2078   0.5288   1.0000
  22.000   1.2522   0.33016   0.31680  -0.2111   0.5109   1.0000
  22.500   1.2697   0.33716   0.32388  -0.2144   0.4915   1.0000
  23.000   1.2897   0.34829   0.33522  -0.2177   0.4727   1.0000
  23.500   1.3030   0.35091   0.33790  -0.2212   0.4557   1.0000
  24.000   1.3181   0.35611   0.34318  -0.2247   0.4380   1.0000
  24.500   1.3344   0.36332   0.35048  -0.2281   0.4208   1.0000
  25.000   1.3504   0.37071   0.35796  -0.2317   0.4053   1.0000
  25.500   1.3651   0.37684   0.36416  -0.2355   0.3913   1.0000
  26.000   1.3790   0.38219   0.36959  -0.2393   0.3779   1.0000
  26.500   1.3926   0.38740   0.37500  -0.2432   0.3646   1.0000
  27.000   1.4058   0.39245   0.38013  -0.2472   0.3519   1.0000
  27.500   1.4187   0.39763   0.38540  -0.2512   0.3394   1.0000
  28.000   1.4316   0.40332   0.39118  -0.2552   0.3275   1.0000
  28.500   1.4449   0.41040   0.39836  -0.2591   0.3160   1.0000
  29.000   1.4589   0.41994   0.40802  -0.2629   0.3041   1.0000
  29.500   1.4690   0.42104   0.40923  -0.2674   0.2934   1.0000
  30.000   1.4790   0.42366   0.41202  -0.2720   0.2850   1.0000
