  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.2204   0.06374   0.04964  -0.0199   1.0000   1.0000
   0.500  -0.1309   0.06471   0.04582  -0.0326   1.0000   1.0000
   1.000  -0.0871   0.06613   0.04492  -0.0316   1.0000   1.0000
   1.500  -0.0497   0.06755   0.04471  -0.0300   1.0000   1.0000
   2.000  -0.0142   0.06909   0.04502  -0.0285   1.0000   1.0000
   2.500   0.0204   0.07076   0.04546  -0.0270   1.0000   1.0000
   3.000   0.0540   0.07257   0.04649  -0.0257   1.0000   1.0000
   3.500   0.0868   0.07453   0.04772  -0.0245   1.0000   1.0000
   4.000   0.1188   0.07662   0.04913  -0.0234   1.0000   1.0000
   4.500   0.1500   0.07887   0.05098  -0.0224   1.0000   1.0000
   5.000   0.1803   0.08126   0.05306  -0.0215   1.0000   1.0000
   5.500   0.2098   0.08380   0.05535  -0.0207   1.0000   1.0000
   6.000   0.2385   0.08649   0.05790  -0.0200   1.0000   1.0000
   6.500   0.2663   0.08934   0.06071  -0.0194   1.0000   1.0000
   7.000   0.2934   0.09235   0.06375  -0.0190   1.0000   1.0000
   7.500   0.3195   0.09552   0.06702  -0.0186   1.0000   1.0000
   8.000   0.3447   0.09886   0.07051  -0.0184   1.0000   1.0000
   8.500   0.3690   0.10239   0.07427  -0.0183   1.0000   1.0000
   9.000   0.3924   0.10611   0.07827  -0.0184   1.0000   1.0000
   9.500   0.4149   0.11002   0.08278  -0.0185   1.0000   1.0000
  10.000   0.4364   0.11414   0.08737  -0.0189   1.0000   1.0000
  10.500   0.4566   0.11849   0.09220  -0.0195   1.0000   1.0000
  11.000   0.4757   0.12306   0.09750  -0.0202   1.0000   1.0000
  11.500   0.4939   0.12788   0.10288  -0.0212   1.0000   1.0000
  12.000   0.5110   0.13290   0.10843  -0.0224   1.0000   1.0000
  12.500   0.5270   0.13819   0.11432  -0.0239   1.0000   1.0000
  13.000   0.5422   0.14371   0.12046  -0.0256   1.0000   1.0000
  13.500   0.5565   0.14950   0.12689  -0.0277   1.0000   1.0000
  14.000   0.5701   0.15553   0.13350  -0.0300   1.0000   1.0000
  14.500   0.5831   0.16186   0.14045  -0.0327   1.0000   1.0000
  15.000   0.5954   0.16845   0.14759  -0.0356   1.0000   1.0000
  16.000   0.6314   0.18540   0.16604  -0.0455   0.9880   1.0000
  16.500   0.6616   0.19547   0.17668  -0.0537   0.9560   1.0000
  17.000   0.6896   0.20646   0.18825  -0.0604   0.9274   1.0000
  17.500   0.7117   0.21391   0.19615  -0.0653   0.9027   1.0000
  18.000   0.7290   0.21834   0.20095  -0.0688   0.8819   1.0000
  18.500   0.7487   0.22507   0.20808  -0.0728   0.8605   1.0000
  19.000   0.7703   0.23348   0.21697  -0.0771   0.8382   1.0000
  19.500   0.7918   0.24228   0.22610  -0.0814   0.8141   1.0000
  20.000   0.8099   0.24799   0.23200  -0.0850   0.7865   1.0000
  20.500   0.8286   0.25450   0.23859  -0.0885   0.7577   1.0000
  21.000   0.8501   0.26307   0.24717  -0.0923   0.7261   1.0000
  21.500   0.8704   0.27047   0.25453  -0.0956   0.6947   1.0000
  22.000   0.8899   0.27795   0.26202  -0.0988   0.6689   1.0000
  22.500   0.9078   0.28425   0.26833  -0.1018   0.6458   1.0000
  23.000   0.9240   0.28902   0.27308  -0.1044   0.6227   1.0000
  23.500   0.9417   0.29526   0.27962  -0.1073   0.5986   1.0000
  24.000   0.9620   0.30443   0.28883  -0.1104   0.5760   1.0000
  24.500   0.9751   0.30769   0.29210  -0.1131   0.5591   1.0000
  25.000   0.9905   0.31316   0.29759  -0.1160   0.5422   1.0000
  25.500   1.0064   0.31962   0.30409  -0.1191   0.5262   1.0000
  26.000   1.0232   0.32749   0.31202  -0.1222   0.5103   1.0000
  26.500   1.0383   0.33404   0.31859  -0.1253   0.4950   1.0000
  27.000   1.0503   0.33698   0.32155  -0.1282   0.4795   1.0000
  27.500   1.0631   0.34111   0.32572  -0.1312   0.4642   1.0000
  28.000   1.0759   0.34562   0.33030  -0.1343   0.4483   1.0000
  28.500   1.0909   0.35248   0.33740  -0.1373   0.4306   1.0000
  29.000   1.1051   0.35956   0.34457  -0.1405   0.4153   1.0000
  29.500   1.1172   0.36444   0.34948  -0.1436   0.4001   1.0000
  30.000   1.1283   0.36828   0.35338  -0.1469   0.3862   1.0000
