  
       XFOIL         Version 6.99
  
 Calculated polar for:                                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0701   0.04403   0.02056  -0.0080   1.0000   1.0000
   0.500  -0.0418   0.04471   0.02077  -0.0065   1.0000   1.0000
   1.000  -0.0113   0.04562   0.02129  -0.0054   1.0000   1.0000
   1.500   0.0202   0.04676   0.02209  -0.0046   1.0000   1.0000
   2.000   0.0520   0.04813   0.02325  -0.0042   1.0000   1.0000
   2.500   0.0836   0.04974   0.02475  -0.0039   1.0000   1.0000
   3.000   0.1146   0.05161   0.02656  -0.0039   1.0000   1.0000
   3.500   0.1447   0.05377   0.02873  -0.0041   1.0000   1.0000
   4.000   0.1735   0.05625   0.03133  -0.0046   1.0000   1.0000
   4.500   0.2010   0.05906   0.03426  -0.0053   1.0000   1.0000
   5.000   0.2269   0.06222   0.03759  -0.0063   1.0000   1.0000
   5.500   0.2514   0.06573   0.04141  -0.0075   1.0000   1.0000
   6.000   0.2746   0.06958   0.04552  -0.0090   1.0000   1.0000
   6.500   0.2966   0.07379   0.05001  -0.0107   1.0000   1.0000
   7.000   0.3174   0.07834   0.05488  -0.0126   1.0000   1.0000
   7.500   0.3373   0.08324   0.06010  -0.0147   1.0000   1.0000
   8.000   0.3562   0.08846   0.06586  -0.0170   1.0000   1.0000
   8.500   0.3742   0.09398   0.07173  -0.0194   1.0000   1.0000
   9.000   0.3916   0.09980   0.07789  -0.0221   1.0000   1.0000
   9.500   0.4085   0.10587   0.08432  -0.0248   1.0000   1.0000
  10.000   0.4251   0.11217   0.09097  -0.0278   1.0000   1.0000
  10.500   0.4414   0.11868   0.09783  -0.0308   1.0000   1.0000
  11.000   0.4578   0.12538   0.10487  -0.0340   1.0000   1.0000
  11.500   0.4742   0.13224   0.11206  -0.0374   1.0000   1.0000
  12.000   0.4908   0.13923   0.11937  -0.0409   1.0000   1.0000
  12.500   0.5079   0.14636   0.12679  -0.0445   1.0000   1.0000
  13.000   0.5252   0.15358   0.13429  -0.0482   1.0000   1.0000
  13.500   0.5430   0.16089   0.14185  -0.0520   1.0000   1.0000
  14.000   0.5612   0.16830   0.14980  -0.0559   1.0000   1.0000
  14.500   0.5798   0.17576   0.15749  -0.0599   1.0000   1.0000
  15.000   0.6067   0.18600   0.16796  -0.0660   0.9938   1.0000
  15.500   0.6570   0.20123   0.18359  -0.0779   0.9419   1.0000
  16.000   0.6881   0.20980   0.19240  -0.0841   0.9005   1.0000
  16.500   0.7190   0.21966   0.20248  -0.0898   0.8619   1.0000
  17.000   0.7467   0.22781   0.21083  -0.0943   0.8215   1.0000
  17.500   0.7691   0.23416   0.21734  -0.0979   0.7911   1.0000
  18.000   0.7927   0.24192   0.22526  -0.1018   0.7640   1.0000
  18.500   0.8159   0.24963   0.23312  -0.1055   0.7374   1.0000
  19.000   0.8435   0.26035   0.24427  -0.1097   0.7039   1.0000
  19.500   0.8630   0.26542   0.24944  -0.1125   0.6725   1.0000
  20.000   0.8851   0.27340   0.25753  -0.1160   0.6469   1.0000
  20.500   0.9085   0.28297   0.26718  -0.1198   0.6224   1.0000
  21.000   0.9274   0.28862   0.27290  -0.1230   0.5990   1.0000
  21.500   0.9458   0.29442   0.27872  -0.1264   0.5777   1.0000
  22.000   0.9668   0.30230   0.28663  -0.1299   0.5532   1.0000
  22.500   0.9864   0.30881   0.29316  -0.1331   0.5256   1.0000
  23.000   1.0067   0.31642   0.30079  -0.1365   0.5003   1.0000
  23.500   1.0250   0.32247   0.30687  -0.1400   0.4799   1.0000
  24.000   1.0459   0.33250   0.31709  -0.1438   0.4624   1.0000
  24.500   1.0610   0.33578   0.32038  -0.1477   0.4468   1.0000
  25.000   1.0773   0.34071   0.32534  -0.1516   0.4309   1.0000
  25.500   1.0941   0.34655   0.33123  -0.1556   0.4158   1.0000
  26.000   1.1108   0.35256   0.33728  -0.1597   0.4014   1.0000
  26.500   1.1273   0.35864   0.34341  -0.1638   0.3869   1.0000
  27.000   1.1438   0.36499   0.34981  -0.1680   0.3722   1.0000
  27.500   1.1599   0.37140   0.35638  -0.1721   0.3578   1.0000
  28.000   1.1750   0.37684   0.36188  -0.1765   0.3442   1.0000
  28.500   1.1894   0.38154   0.36663  -0.1809   0.3313   1.0000
  29.000   1.2029   0.38531   0.37045  -0.1855   0.3199   1.0000
  29.500   1.2167   0.39016   0.37536  -0.1902   0.3098   1.0000
  30.000   1.2319   0.39837   0.38366  -0.1947   0.3001   1.0000
